m/z	z	I
1061.23025	8-	2016082.09
1065.942	8-	9459687.764
1065.97744	8-	139227200.2
1067.73093	8-	20994747.56
1068.69073	8-	2248206.594
1068.72654	8-	19299035.96
1069.98001	8-	2425001.116
1070.72291	8-	12077411.64
1071.47432	8-	1451740.439
1072.34943	8-	1361181.047
1072.4772	2-	2918593.35
1073.36051	8-	11637771.19
1074.98621	8-	2076953.652
1076.23179	8-	1690321.612
1076.24335	7-	3544524.768
1077.35638	2-	2938415.495
1090.75647	8-	1466816.718
1097.37679	8-	32783342.76
1097.5761	8-	1785338.636
1099.1288	8-	7224718.985
1100.12536	8-	5658472.648
1101.99697	8-	4252118.853
1102.00116	8-	1319479.301
1104.75678	8-	2984471.132
1122.75393	8-	6837649.141
1127.4975	8-	1712766.339
1128.7761	8-	3130982.39
1169.11075	7-	1794812.637
1174.82547	7-	3685263.021
1205.11386	2-	2709135.758
1210.9662	7-	1315636.878
1218.39881	7-	68763374.79
1218.61474	2-	9013094.047
1218.647	2-	7741040.867
1220.40161	7-	8860912.971
1221.54	7-	12013120.37
1223.8163	7-	1820719.234
1223.96327	7-	8220157.931
1226.8338	7-	9683420.333
1229.97413	7-	1538064.235
1254.23902	7-	2701612.633
1254.28278	7-	19911633.22
1255.78256	6-	3678783.908
1256.28662	7-	3255758.744
1257.42393	7-	3350355.973
1259.7048	7-	2799350.672
1262.72032	7-	2951063.435
1283.09805	7-	1998470.694
1283.28512	7-	12454198.41
1286.42468	7-	3481497.354
1288.70723	7-	6006339.689
1290.1708	7-	1477658.692
1291.71414	7-	1780398.818
1297.6436	6-	1829137.428
1319.0246	7-	1697934.973
1370.79169	6-	3627443.663
1412.94747	6-	1927528.694
1421.54631	6-	10999345.29
1421.55217	2-	4417049.582
1421.61952	6-	65438652.69
1422.18781	1-	14909102.8
1423.45027	12-	1440039.967
1423.95818	6-	8645730.021
1425.28288	6-	13740755.83
1427.691	12-	4622003.503
1428.11187	6-	7611237.667
1431.12033	5-	1965344.705
1431.46627	6-	13745980.45
1433.64084	6-	2504153.31
1435.02658	5-	2113279.425
1435.80299	6-	12130104.08
1437.79322	6-	3147325.31
1441.4704	6-	2611032.139
1463.41954	6-	4696597.992
1463.48772	6-	25076712.19
1465.81864	6-	4248162.204
1467.14936	6-	4600413.006
1469.64344	6-	3002357.619
1473.32668	6-	4996153.313
1477.66823	6-	3105547.535
1497.25292	6-	3152405.764
1497.31939	6-	13847180.53
1500.98164	6-	3779228.796
1503.64652	6-	6202231.523
1505.35021	6-	2716529.201
1507.16177	6-	2567357.457
1539.1889	6-	2904562.481

m/z	z	I
255.22926	1-	35512204.88
281.245	1-	14377891.47
283.26066	1-	28387515.25
453.21601	1-	9726007.031
485.27842	1-	5640461.828
642.06672	5-	1327783.014
644.56969	6-	1733132.137
655.6058	13-	612736.2184
666.05173	1-	88732333.26
695.57302	6-	1716066.871
697.73477	12-	994060.1439
699.06767	12-	960959.3304
701.0695	12-	2859328.703
705.99175	12-	567940.7476
706.33773	4-	2601415.027
710.32339	12-	28816525.57
711.49109	12-	3779851.875
712.14971	8-	871816.4639
712.1554	12-	2610237.367
712.73997	3-	2026948.135
713.48541	12-	1186940.344
722.47393	10-	795050.8869
727.07259	7-	1314006.955
731.25592	12-	8192282.858
732.42297	12-	1476910.998
743.62265	11-	1438960.148
747.25888	11-	2285618.745
753.07565	10-	3134556.175
754.37702	10-	1021166.88
757.6916	5-	1981459.199
761.25548	11-	1337597.302
762.71136	11-	2268670.677
764.89413	11-	3777526.223
766.44122	11-	1246402.339
770.2614	11-	2636001.43
771.53647	11-	1670661.769
774.98794	11-	96068151
776.26245	11-	14978394.47
776.98686	11-	14099488.79
777.89662	11-	1374675.578
777.89934	11-	802042.0914
778.43741	11-	5076914.571
782.58283	4-	2424273.155
783.57894	10-	1581714.375
789.40269	6-	3258520.157
793.0958	11-	918692.3572
797.81339	11-	1390084.132
797.82386	11-	23117708.09
798.07427	5-	2599914.645
799.09844	11-	5111057.145
799.82244	11-	3133427.843
801.27745	11-	1286280.655
802.8598	9-	2021555.961
809.08344	5-	2901376.248
818.08297	10-	3937610.365
819.68364	10-	1249658.255
822.08432	10-	5539102.37
836.86234	9-	4272927.071
841.48254	10-	2326093.541
843.18761	10-	2223818.152
847.38675	10-	4829579.414
848.78839	10-	3576764.979
852.58601	10-	184690354
852.97076	1-	24622913.64
853.98723	10-	24485401.29
854.78395	10-	27073935.72
854.86454	10-	1609055.475
855.3542	3-	2120242.29
855.78693	10-	3690439.914
856.22023	6-	1401050.161
856.38137	10-	12302710.2
857.08244	10-	1939621.234
857.88271	10-	1375533.627
858.57587	10-	1996712.854
864.77189	9-	1886332.875
870.2916	10-	1607651.649
872.50722	10-	1759904.558
877.70557	10-	39118894.4
879.10651	10-	8342243.125
879.90324	10-	6674263.107
881.00551	10-	1218510.482
881.50187	10-	3080425.544
882.30737	10-	1489377.023
902.82444	10-	1893916.241
903.34092	8-	1732483.909
909.09099	9-	3922820.584
913.5371	9-	6741062.05
915.09311	9-	1028606.896
923.97774	9-	1129786.597
936.98834	9-	1447910.895
941.37953	10-	935195.4576
941.59373	8-	2801118.974
941.64976	9-	5100290.422
943.20911	9-	2029938.315
947.42654	9-	156349654.8
948.78574	5-	2155558.76
948.98459	9-	23594207.28
949.15196	4-	2655296.376
949.31765	9-	1538303.615
949.83857	9-	1828111.67
949.8698	9-	30583096.55
950.54042	9-	1988475.028
950.98575	9-	3861758.266
951.64564	9-	14430913.21
952.42322	9-	2968082.216
953.31202	9-	2334178.168
953.97444	9-	2929568.157
957.54158	9-	1103633.437
967.10647	9-	2161324.605
972.99257	8-	1397751.844
975.33788	9-	43850170.54
975.48947	8-	1903225.885
976.89396	9-	8512984.105
977.77979	9-	6622909.245
978.67325	9-	1235540.52
979.55488	9-	3797668.699
980.33572	9-	1594899.854
997.717	5-	3849657.909
1003.2463	9-	2167951.897
1022.84814	8-	2636842.695
1027.85204	8-	6619369.484
1059.12176	8-	1262974.873
1059.48513	8-	3940156.072
1061.23055	8-	1726196.313
1065.97865	8-	137033910.8
1067.731	8-	19750391.92
1068.6856	8-	2587562.832
1068.72631	8-	25242140.13
1069.97766	8-	2152350.781
1070.68575	8-	1242916.377
1070.72269	8-	12314962.24
1071.47226	8-	2837447.961
1072.60307	8-	1163683.544
1073.36175	8-	4362493.989
1073.4619	8-	2649133.209
1074.73147	8-	1167295.66
1076.24547	7-	2616875.662
1088.11877	8-	1167120.008
1097.33184	8-	3147999.901
1097.37666	8-	30437351.07
1099.12887	8-	6993320.102
1100.12553	8-	6485271.61
1100.62542	8-	1624122.386
1102.1221	8-	4647805.952
1104.75705	8-	1088218.889
1122.75356	8-	4315797.511
1127.49801	8-	3163183.49
1128.77378	8-	1977076.452
1174.82268	7-	2829511.569
1218.36059	7-	6744248.299
1218.40036	7-	66988953.36
1218.51797	4-	5869577.898
1220.36623	7-	1332928.642
1220.40094	7-	8851174.491
1221.54008	7-	16360859.8
1223.82079	7-	9210601.306
1224.68059	7-	1644376.079
1226.8306	7-	3680612.012
1254.28255	7-	21350393.06
1256.2916	7-	3972382.401
1257.42403	7-	5156906.701
1259.70741	7-	4064277.55
1283.28457	7-	8313584.642
1286.42352	7-	3686052.736
1288.70827	7-	6952870.733
1290.16831	7-	1841724.613
1297.64812	6-	1412533.656
1319.17039	7-	2078354.525
1364.11717	6-	1891208.304
1370.79025	6-	3643833.962
1412.94848	6-	2277973.115
1415.30021	6-	1617594.454
1421.37421	6-	10197812.22
1421.62109	6-	54358954.71
1423.95842	6-	6880472.07
1425.03756	6-	3261379.298
1425.28665	6-	17104482.82
1425.95836	6-	1908737.574
1427.87125	2-	4912580.648
1427.87368	3-	2585900.5
1427.947	6-	11139275.74
1428.9505	6-	3497248.853
1431.61759	6-	6437795.896
1435.57612	6-	1938961.914
1435.80636	6-	10115889.51
1463.24248	6-	4236829.688
1463.48592	6-	27145196.94
1465.81461	6-	4036080.739
1467.08104	3-	3097881.18
1467.14971	6-	6919842.236
1469.80936	6-	4313904.463
1473.32477	6-	1887151.825
1477.67006	6-	2516939.706
1497.32113	6-	9782672.358
1501.15312	6-	5260861.704
1503.65022	6-	8458844.02
1504.09516	2-	2693206.272
1539.3568	6-	2678414.311
m/z	z	I
227.19785	1-	12774663.19
255.22939	1-	26782004.22
281.24513	1-	9425134.016
283.26078	1-	24774082.59
453.21623	1-	13533292.13
485.27851	1-	6394981.609
639.78055	7-	1054257.172
642.06635	5-	1821272.063
644.57001	6-	1822378.764
655.60674	13-	759930.4456
666.05177	1-	58163744.52
674.19272	8-	1213747.642
683.63953	7-	1026865.442
