fragment,mass,Intensities
a09,2834.430176,0.2954728
,2835.432827,0.326076
,2836.435296,0.214122
,2837.437714,0.103924
,2838.440092,0.041024
,2839.442444,0.013832
,2840.444775,0.004109
a09+CMCT,3085.629939,0.2497783
,3086.632635,0.317313
,3087.635172,0.230763
,3088.637648,0.122456
,3089.64008,0.052351
,3090.642482,0.018997
,3091.644861,0.006043
a09+CMCT-A,2950.575443,0.2686963
,2951.578194,0.321639
,2952.580754,0.224017
,2953.583249,0.11453
,2954.585697,0.047374
,2955.588113,0.016681
,2956.590504,0.005161
a09+CMCT-G,2934.580529,0.2693504
,2935.583279,0.322319
,2936.585841,0.223886
,2937.588338,0.114061
,2938.590787,0.046986
,2939.593205,0.016469
,2940.595597,0.00507
a09-A,2699.375681,0.31785
,2700.378393,0.327459
,2701.380878,0.205572
,2702.383316,0.095931
,2703.385707,0.036596
,2704.388073,0.01196
,2705.390416,0.003452
a09-G,2683.380766,0.3186237
,2684.383477,0.328134
,2685.385965,0.205293
,2686.388405,0.095412
,2687.390798,0.036227
,2688.393164,0.01178
,2689.395509,0.003382
a10,3139.471463,0.2602557
,3140.474128,0.316648
,3141.476618,0.226345
,3142.479054,0.119142
,3143.481449,0.050862
,3144.483816,0.018514
,3145.486163,0.005929
a10+CMCT,3390.671225,0.2200017
,3391.67393,0.304369
,3392.676482,0.23931
,3393.678971,0.136891
,3394.681416,0.062959
,3395.68383,0.024545
,3396.68622,0.008381
,3397.688592,0.002562
a10+CMCT-A,3255.61673,0.2366699
,3256.619485,0.310071
,3257.622059,0.234142
,3258.624567,0.129348
,3259.627027,0.057677
,3260.629454,0.021859
,3261.631856,0.007271
,3262.634238,0.002169
a10+CMCT-G,3239.621815,0.237246
,3240.62457,0.310735
,3241.627146,0.234106
,3242.629655,0.128935
,3243.632117,0.057287
,3244.634545,0.021626
,3245.636949,0.007163
,3246.639332,0.002127
a10-A,3004.416968,0.2799704
,3005.419688,0.3201
,3006.422196,0.219354
,3007.424651,0.111312
,3008.427059,0.04602
,3009.429439,0.016269
,3010.431797,0.005071
a10-G,2988.422053,0.2806519
,2989.424773,0.320772
,2990.427283,0.219189
,2991.429739,0.11084
,2992.432149,0.045639
,2993.43453,0.016063
,2994.436889,0.004984
a11,3444.51275,0.2292351
,3445.515426,0.304833
,3446.517936,0.235545
,3447.520388,0.13354
,3448.522798,0.061241
,3449.52518,0.023906
,3450.52754,0.0082
,3451.529882,0.002525
a11+CMCT,3695.712512,0.1937803
,3696.715224,0.29001
,3697.717789,0.245026
,3698.72029,0.150183
,3699.722747,0.07387
,3700.725173,0.030758
,3701.727573,0.011206
,3702.729955,0.003653
a11+CMCT-A,3560.658017,0.2084589
,3561.660775,0.296688
,3562.663362,0.241335
,3563.665881,0.14315
,3564.668353,0.068384
,3565.67079,0.027724
,3566.673203,0.009853
,3567.675594,0.003138
a11+CMCT-G,3544.663102,0.2089664
,3545.66586,0.297331
,3546.668449,0.24138
,3547.670969,0.142796
,3548.673442,0.068
,3549.675881,0.027472
,3550.678295,0.009727
,3551.680688,0.003086
a11-A,3309.458254,0.2466096
,3310.460982,0.309851
,3311.46351,0.23009
,3312.46598,0.126044
,3313.468403,0.056082
,3314.470797,0.021297
,3315.473168,0.007122
,3316.475521,0.002141
a11-G,3293.46334,0.2472099
,3294.466067,0.31051
,3295.468597,0.230025
,3296.471068,0.125625
,3297.473493,0.055698
,3298.475888,0.02107
,3299.47826,0.007016
,3300.480613,0.002101
a12,3750.538052,0.2021893
,3751.540752,0.291051
,3752.543287,0.241679
,3753.545761,0.14686
,3754.548192,0.072055
,3755.550592,0.030057
,3756.55297,0.011007
,3757.555329,0.003616
a12+CMCT,4001.737814,0.1709216
,4002.740545,0.274552
,4003.74313,0.247929
,4004.74565,0.162113
,4005.748124,0.084958
,4006.750565,0.037658
,4007.752981,0.014596
,4008.755376,0.005059
a12+CMCT-A,3866.683319,0.1838714
,3867.686094,0.281868
,3868.688701,0.245606
,3869.691237,0.155709
,3870.693725,0.079382
,3871.696178,0.03431
,3872.698605,0.012991
,3873.70101,0.004405
a12+CMCT-G,3850.688405,0.184319
,3851.691179,0.282484
,3852.693787,0.245718
,3853.696325,0.155415
,3854.698814,0.079012
,3855.701268,0.034045
,3856.703696,0.012847
,3857.706103,0.004341
a12-A,3615.483557,0.2175038
,3616.486305,0.297145
,3617.488859,0.237679
,3618.49135,0.139841
,3619.493793,0.066683
,3620.496206,0.027102
,3621.498594,0.00969
,3622.500962,0.003113
a12-G,3599.488642,0.2180333
,3600.49139,0.297785
,3601.493945,0.237696
,3602.496438,0.139479
,3603.498882,0.066304
,3604.501296,0.026857
,3605.503685,0.009567
,3606.506055,0.003061
a13,4056.563354,0.1783334
,4057.566075,0.276277
,4058.568633,0.245233
,4059.571127,0.158888
,4060.573576,0.082972
,4061.575994,0.036793
,4062.578388,0.014311
,4063.580762,0.00499
a13+CMCT,4307.763117,0.1507509
,4308.765864,0.258692
,4309.768468,0.248538
,4310.771004,0.17257
,4311.773493,0.095912
,4312.775949,0.045046
,4313.778379,0.018488
,4314.780787,0.006782
,4315.783179,0.00226
a13+CMCT-A,4172.708621,0.1621738
,4173.711411,0.2664
,4174.714035,0.24745
,4175.716588,0.166862
,4176.719091,0.090346
