ion,mass,Intensities
,5403.919206,0.0734611
,5404.921631,0.0356748
,5405.924036,0.0154368
,5406.926425,0.006053
,5407.9288,0.0021782
a16-G,4996.657311,0.1219253
,4997.660008,0.2301977
,4998.662572,0.2437692
,4999.665073,0.1867161
,5000.667532,0.1145501
,5001.66996,0.0594169
,5002.672364,0.0269434
,5003.674748,0.0109254
,5004.677117,0.0040265
a16+CMCT-G,5247.857074,0.1030691
,5248.859795,0.2117892
,5249.862395,0.2400872
,5250.864932,0.1952558
,5251.867425,0.1264737
,5252.869886,0.0689779
,5253.872321,0.0327836
,5254.874736,0.0138972
,5255.877133,0.0053429
,5256.879516,0.0018865
a16-A,5012.652226,0.1216292
,5013.654923,0.2296851
,5014.657486,0.2435151
,5015.659987,0.1868277
,5016.662445,0.1148431
,5017.664872,0.0596993
,5018.667275,0.0271356
,5019.669658,0.0110311
,5020.672026,0.0040761
a16+CMCT-A,5263.851988,0.1028188
,5264.85471,0.2113141
,5265.857309,0.2397963
,5266.859846,0.1953076
,5267.862338,0.1267335
,5268.864798,0.0692591
,5269.867232,0.0329897
,5270.869646,0.0140175
,5271.872043,0.0054024
,5272.874425,0.0019124
a17,5452.748008,0.0995901
,5453.750679,0.2066346
,5454.753235,0.2375312
,5455.755733,0.1963185
,5456.75819,0.1294277
,5457.760617,0.0719285
,5458.763021,0.0348661
,5459.765406,0.0150853
,5460.767775,0.0059231
,5461.770131,0.002137
a17+CMCT,5703.94777,0.0841881
,5704.950465,0.1887207
,5705.953055,0.2312059
,5706.955586,0.202174
,5707.958075,0.1403043
,5708.960533,0.0817689
,5709.962967,0.0414431
,5710.96538,0.0187035
,5711.967777,0.007645
,5712.97016,0.0028665
a17-G,5301.698598,0.1073944
,5302.701301,0.2149099
,5303.703875,0.2398239
,5304.706387,0.1930461
,5305.708856,0.1242298
,5306.711294,0.0675005
,5307.713707,0.0320309
,5308.716101,0.0135807
,5309.718479,0.0052298
,5310.720842,0.0018519
a17+CMCT-G,5552.89836,0.0907854
,5553.901086,0.1968167
,5554.903694,0.2344106
,5555.90624,0.1998431
,5556.908742,0.1354853
,5557.911211,0.0772532
,5558.913654,0.0383529
,5559.916076,0.0169707
,5560.918482,0.0068066
,5561.920872,0.002506
a17-A,5317.693513,0.1071336
,5318.696216,0.2144289
,5319.698789,0.2395437
,5320.701301,0.1931095
,5321.703769,0.1244936
,5322.706206,0.0677799
,5323.708619,0.0322337
,5324.711012,0.0136984
,5325.713389,0.005288
,5326.715752,0.0018773
a17+CMCT-A,5568.893275,0.090565
,5569.896,0.1963733
,5570.898609,0.2341026
,5571.901153,0.1998509
,5572.903654,0.1357133
,5573.906123,0.0775272
,5574.908565,0.0385671
,5575.910987,0.0171026
,5576.913391,0.0068752
,5577.915781,0.0025373
a18,5781.800528,0.0863542
,5782.80319,0.1904786
,5783.805746,0.2311732
,5784.808246,0.2009927
,5785.810705,0.139048
,5786.813135,0.0809395
,5787.815542,0.0410361
,5788.817931,0.018549
,5789.820303,0.0076018
,5790.822663,0.0028604
a18+CMCT,6033.00029,0.0729992
,6034.002976,0.173197
,6035.005564,0.2233839
,6036.008094,0.2050113
,6037.010585,0.1490007
,6038.013045,0.0907967
,6039.01548,0.048056
,6040.017896,0.0226249
,6041.020295,0.0096392
,6042.02268,0.0037645
a18-G,5630.751118,0.0931213
,5631.75381,0.1985401
,5632.756384,0.2342379
,5633.758897,0.1985739
,5634.761368,0.1342245
,5635.763809,0.0764574
,5636.766225,0.0379785
,5637.768622,0.0168356
,5638.771003,0.0067718
,5639.77337,0.0025026
a18+CMCT-G,5881.950881,0.0787197
,5882.953594,0.1809659
,5883.9562,0.2271979
,5884.958745,0.2035074
,5885.961248,0.1446283
,5886.963718,0.0862996
,5887.966163,0.0447758
,5888.968588,0.0206839
,5889.970995,0.008653
,5890.973387,0.0033204
a18-A,5646.746033,0.0928952
,5647.748725,0.1980934
,5648.751298,0.2339358
,5649.75381,0.1985883
,5650.756281,0.1344547
,5651.758721,0.0767302
,5652.761137,0.0381908
,5653.763533,0.016966
,5654.765913,0.0068397
,5655.768279,0.0025337
a18+CMCT-A,5897.945795,0.0785286
,5898.948509,0.1805565
,5899.951114,0.2268766
,5900.953659,0.203471
,5901.956161,0.1448207
,5902.95863,0.0865626
,5903.961075,0.0449966
,5904.963498,0.0208278
,5905.965905,0.0087317
,5906.968297,0.0033581
a19,6110.853048,0.0748774
,6111.855702,0.1749671
,6112.858258,0.2235932
,6113.860759,0.2040179
,6114.863221,0.1477799
,6115.865654,0.0899142
,6116.868064,0.0475849
,6117.870456,0.0224279
,6118.872832,0.0095754
,6119.875194,0.0037507
a19+CMCT,6362.052811,0.0632973
,6363.055487,0.1584661
,6364.058073,0.2146422
,6365.060604,0.2062921
,6366.063095,0.1566986
,6367.065557,0.0996464
,6368.067994,0.0549712
,6369.070412,0.0269493
,6370.072814,0.011946
,6371.075201,0.0048508
,6372.077576,0.0018227
a19-G,5959.803638,0.0807452
,5960.80632,0.1827255
,5961.808893,0.2272848
,5962.811407,0.2024215
,5963.813881,0.1433911
,5964.816324,0.085444
,5965.818743,0.0443365
,5966.821143,0.0205079
,5967.823527,0.0085994
,5968.825897,0.0033104
a19+CMCT-G,6211.003401,0.0682576
,6212.006104,0.165852
,6213.008707,0.218932
,6214.011252,0.2055671
,6215.013755,0.1528173
,6216.016227,0.0952317
,6217.018674,0.0515377
,6218.0211,0.0248074
,6219.023509,0.0108048
,6220.025904,0.0043136
a19-A,5975.798553,0.0805491
,5976.801235,0.1823125
,5977.803807,0.2269682
,5978.806321,0.2023913
,5979.808794,0.1435862
,5980.811236,0.0857064
,5981.813655,0.0445556
,5982.816054,0.0206503
,5983.818437,0.0086772
,5984.820807,0.0033477
a19+CMCT-A,6226.998315,0.0680918
,6228.001018,0.1654752
,6229.003621,0.2186035
,6230.006165,0.2054916
,6231.008668,0.1529736
,6232.011139,0.0954803
,6233.013585,0.0517623
,6234.016011,0.0249622
,6235.01842,0.0108937
,6236.020814,0.0043581
a20,6416.87835,0.0660416
,6417.88102,0.1615662
,6418.883591,0.2155875
,6419.886106,0.2050924
,6420.888582,0.1547238
,6421.891028,0.0979698
,6422.893451,0.0539251
,6423.895854,0.0264216
,6424.898242,0.0117221
,6425.900616,0.0047698
,6426.902977,0.0017979
a20+CMCT,6668.078113,0.055828
,6669.080803,0.1458917
,6670.083402,0.2058721
,6671.085946,0.205893
,6672.088449,0.1626064
,6673.090923,0.1074419
,6674.093371,0.0615561
,6675.0958,0.0313281
,6676.098212,0.0144118
,6677.100609,0.0060716
,6678.102994,0.0023665
a20-G,6265.828941,0.0712169
,6266.831636,0.1689768
,6267.834225,0.2197077
,6268.836753,0.2042018
,6269.839241,0.1507843
,6270.841697,0.0935794
,6271.844128,0.0505407
,6272.84654,0.0243196
,6273.848935,0.010604
,6274.851316,0.0042433
a20+CMCT-G,6517.028703,0.0602029
,6518.031418,0.152886
,6519.034035,0.2104662
,6520.036592,0.2058201
,6521.039107,0.1592096
,6522.041591,0.1031673
,6523.044049,0.0580251
,6524.046486,0.0290146
,6525.048905,0.0131232
,6526.05131,0.005439
,6527.053701,0.0020866
a20-A,6281.823855,0.071044
,6282.826551,0.1685936
,6283.829139,0.2193847
,6284.831667,0.2041363
,6285.834154,0.1509467
,6286.836609,0.0938285
,6287.83904,0.050763
,6288.841451,0.0244717
,6289.843846,0.0106912
,6290.846226,0.0042869
a20+CMCT-A,6533.023618,0.0600567
,6534.026333,0.1525377
,6535.028949,0.2101369
,6536.031506,0.2057141
,6537.034021,0.1593331
,6538.036503,0.1033997
,6539.038961,0.0582501
,6540.041397,0.0291779
,6541.043816,0.0132214
,6542.04622,0.0054903
,6543.048611,0.0021105
a21,6761.925785,0.0571254
,6762.928447,0.1472546
,6763.931017,0.2061116
,6764.933533,0.2051442
,6765.93601,0.1616224
,6766.938458,0.1067267
,6767.940882,0.0611981
