fragment,mass,Intensities
RNA-C,12497.686102,0.0051899
,12498.688766,0.024561
,12499.691378,0.060865
,12500.69395,0.104678
,12501.696491,0.139947
,12502.699006,0.154603
,12503.701499,0.146602
,12504.703974,0.12245
,12505.706433,0.091788
,12506.708877,0.062622
,12507.711309,0.039315
,12508.71373,0.022913
,12509.71614,0.012485
,12510.718541,0.006399
,12511.720934,0.0031
,12512.723318,0.001426
RNA-G,12457.679954,0.0052849
,12458.682625,0.024915
,12459.685243,0.061524
,12460.687821,0.105471
,12461.690366,0.140582
,12462.692886,0.154863
,12463.695384,0.146452
,12464.697862,0.12201
,12465.700325,0.091232
,12466.702773,0.062096
,12467.705208,0.038895
,12468.707632,0.022618
,12469.710045,0.012298
,12470.712449,0.00629
,12471.714845,0.003041
RNA-H2O,12590.718799,0.0049141
,12591.721457,0.023526
,12592.724064,0.058913
,12593.726633,0.102309
,12594.72917,0.138024
,12595.731683,0.153787
,12596.734174,0.147015
,12597.736647,0.123749
,12598.739104,0.093451
,12599.741547,0.064213
,12600.743978,0.040592
,12601.746397,0.023814
,12602.748807,0.01306
,12603.751207,0.006736
,12604.753598,0.003283
,12605.755982,0.001519
a01,265.081104,0.8714244
,266.083609,0.11333
,267.085682,0.013977
a01-G,114.031694,0.939713
,115.035102,0.052932
,116.036389,0.006997
a02,610.128539,0.7537734
,611.131053,0.19701
,612.133226,0.041817
,613.135504,0.006444
a02+CMCT,861.328301,0.637196
,862.331002,0.272829
,863.333438,0.072759
,864.335836,0.014484
,865.33819,0.002355
a02+CMCT-G,710.278891,0.6871352
,711.281776,0.243552
,712.284237,0.057455
,713.286698,0.010168
a02+rev,3601.793503,0.1505507
,3602.796018,0.2731
,3603.798487,0.259675
,3604.800923,0.1715
,3605.803333,0.088093
,3606.805721,0.0374
,3607.808091,0.013629
,3608.810447,0.004374
a02+rev+CMCT,3852.993266,0.1272692
,3853.995821,0.252096
,3854.998333,0.259952
,3856.000812,0.18521
,3857.003264,0.102203
,3858.005694,0.046456
,3859.008105,0.018074
,3860.0105,0.006178
,3861.012881,0.00189
a02+rev+CMCT-G,3701.943856,0.137248
,3702.946439,0.261744
,3703.948976,0.260427
,3704.951475,0.179343
,3705.953946,0.095787
,3706.956393,0.042188
,3707.95882,0.015919
,3708.961229,0.005281
,3709.963624,0.00157
a02+rev-G,3450.744094,0.1623475
,3451.746638,0.28253
,3452.749131,0.258472
,3453.751588,0.164597
,3454.754015,0.081658
,3455.75642,0.033528
,3456.758806,0.011829
,3457.761175,0.003679
a02-G,459.079129,0.812844
,460.081918,0.152523
,461.083955,0.030241
,462.086399,0.003883
a03,916.153841,0.6648266
,917.156497,0.246705
,918.158746,0.0705
,919.161092,0.014836
,920.163344,0.00266
a03+CMCT,1167.353603,0.562007
,1168.356363,0.302296
,1169.358827,0.102877
,1170.361258,0.026184
,1171.363636,0.005473
a03+CMCT-G,1016.304194,0.6060517
,1017.307104,0.281306
,1018.30958,0.08751
,1019.312061,0.020418
,1020.314466,0.00395
a03+rev,3907.818806,0.1327903
,3908.821348,0.255451
,3909.82384,0.258377
,3910.826295,0.181931
,3911.828723,0.099811
,3912.831128,0.045326
,3913.833514,0.01769
,3914.835885,0.006087
,3915.838242,0.001881
a03+rev+CMCT,4159.018568,0.1122491
,4160.021146,0.23466
,4161.023677,0.256124
,4162.026172,0.193593
,4163.028639,0.113542
,4164.031083,0.054937
,4165.033507,0.022781
,4166.035914,0.008309
,4167.038307,0.002716
a03+rev+CMCT-G,4007.969158,0.1210482
,4008.971764,0.24413
,4009.974318,0.257666
,4010.976833,0.188665
,4011.979317,0.10734
,4012.981777,0.05044
,4013.984215,0.020334
,4014.986636,0.007215
,4015.989042,0.002296
a03+rev-G,3756.769396,0.1431928
,3757.771967,0.264906
,3758.774482,0.258451
