fragment,mass,Intensities
,2836.441322,0.103974
,2837.443738,0.041428
,2838.446125,0.01413
,2839.448489,0.004254
a09+2DEPC+H2O-CO-Eth-G,2771.39681,0.3060448
,2772.399544,0.325678
,2773.40205,0.210009
,2774.404504,0.100543
,2775.406911,0.039306
,2776.40929,0.013157
,2777.411646,0.003887
a09+2DEPC+H2O-CO-G,2817.438675,0.2985559
,2818.441424,0.324537
,2819.443945,0.212792
,2820.446411,0.10348
,2821.448828,0.041052
,2822.451217,0.013936
,2823.453582,0.004174
a09-A,2699.375681,0.31785
,2700.378393,0.327459
,2701.380878,0.205572
,2702.383316,0.095931
,2703.385707,0.036596
,2704.388073,0.01196
,2705.390416,0.003452
a09-G,2683.380766,0.3186237
,2684.383477,0.328134
,2685.385965,0.205293
,2686.388405,0.095412
,2687.390798,0.036227
,2688.393164,0.01178
,2689.395509,0.003382
a10+2DEPC+H2O-CO-A,3138.474876,0.2623369
,3139.477631,0.314938
,3140.480169,0.225191
,3141.482648,0.119042
,3142.485079,0.051201
,3143.48748,0.018816
,3144.489857,0.006094
a10+2DEPC+H2O-CO-Eth-G,3076.438097,0.2695799
,3077.440837,0.317364
,3078.443364,0.222881
,3079.445834,0.11577
,3080.448256,0.048942
,3081.450649,0.017682
,3082.453018,0.00563
a10+2DEPC+H2O-CO-G,3122.479962,0.2629755
,3123.482716,0.315604
,3124.485256,0.225079
,3125.487737,0.118598
,3126.490169,0.050818
,3127.492571,0.018599
,3128.494949,0.005997
a10-A,3004.416968,0.2799704
,3005.419688,0.3201
,3006.422196,0.219354
,3007.424651,0.111312
,3008.427059,0.04602
,3009.429439,0.016269
,3010.431797,0.005071
a10-G,2988.422053,0.2806519
,2989.424773,0.320772
,2990.427283,0.219189
,2991.429739,0.11084
,2992.432149,0.045639
,2993.43453,0.016063
,2994.436889,0.004984
a11+2DEPC+H2O-CO-A,3443.516163,0.2310656
,3444.518921,0.303531
,3445.521477,0.234392
,3446.52397,0.133308
,3447.526415,0.061505
,3448.528828,0.024201
,3449.531217,0.00838
,3450.533586,0.002608
a11+2DEPC+H2O-CO-Eth-G,3381.479384,0.2374457
,3382.482129,0.306391
,3383.484674,0.232729
,3384.487158,0.130251
,3385.489595,0.059154
,3386.492001,0.022916
,3387.494382,0.007814
,3388.496745,0.002395
a11+2DEPC+H2O-CO-G,3427.521249,0.2316281
,3428.524006,0.304181
,3429.526564,0.234371
,3430.529058,0.132918
,3431.531504,0.061123
,3432.533919,0.023964
,3433.536308,0.008266
,3434.538679,0.002562
a11-A,3309.458254,0.2466096
,3310.460982,0.309851
,3311.46351,0.23009
,3312.46598,0.126044
,3313.468403,0.056082
,3314.470797,0.021297
,3315.473168,0.007122
,3316.475521,0.002141
a11-G,3293.46334,0.2472099
,3294.466067,0.31051
,3295.468597,0.230025
,3296.471068,0.125625
,3297.473493,0.055698
,3298.475888,0.02107
,3299.47826,0.007016
,3300.480613,0.002101
a12+2DEPC+H2O-CO-A,3749.541466,0.2037994
,3750.544242,0.290074
,3751.546821,0.240567
,3752.549333,0.146519
,3753.551796,0.07224
,3754.554227,0.030336
,3755.556631,0.011199
,3756.559016,0.003713
a12+2DEPC+H2O-CO-Eth-G,3687.504686,0.2094265
,3688.507451,0.293213
,3689.51002,0.2395
,3690.512524,0.143727
,3691.51498,0.069845
,3692.517403,0.028913
,3693.519801,0.010524
,3694.52218,0.003441
a12+2DEPC+H2O-CO-G,3733.546551,0.2042955
,3734.549327,0.290702
,3735.551907,0.240622
,3736.554421,0.146187
,3737.556885,0.071866
,3738.559317,0.030082
,3739.561723,0.011067
,3740.564108,0.003656
a12-A,3615.483557,0.2175038
,3616.486305,0.297145
,3617.488859,0.237679
,3618.49135,0.139841
,3619.493793,0.066683
,3620.496206,0.027102
,3621.498594,0.00969
,3622.500962,0.003113
a12-G,3599.488642,0.2180333
,3600.49139,0.297785
,3601.493945,0.237696
,3602.496438,0.139479
,3603.498882,0.066304
,3604.501296,0.026857
,3605.503685,0.009567
,3606.506055,0.003061
a13+2DEPC+H2O-CO-A,4055.566768,0.1797547
,4056.569559,0.275572
,4057.572159,0.24419
,4058.57469,0.158465
,4059.57717,0.08308
,4060.579616,0.037048
,4061.582036,0.01451
,4062.584434,0.0051
a13+2DEPC+H2O-CO-Eth-G,3993.529988,0.1847179
,3994.53277,0.278886
,3995.53536,0.243661
,3996.537883,0.15597
,3997.540356,0.080683
,3998.542796,0.035507
,3999.545209,0.013726
,4000.547602,0.004762
a13+2DEPC+H2O-CO-G,4039.571853,0.1801923
,4040.574644,0.276174
,4041.577246,0.244309
,4042.579777,0.15819
,4043.582259,0.08272
,4044.584706,0.036782
,4045.587127,0.014362
,4046.589526,0.005032
a13-A,3921.508859,0.1918379
,3922.511626,0.283129
,3923.514202,0.242586
,3924.516713,0.152452
,3925.519174,0.077489
,3926.521604,0.033526
,3927.524007,0.012746
,3928.526391,0.004351
a13-G,3905.513944,0.1923049
,3906.516711,0.283744
,3907.519289,0.242673
,3908.5218,0.152148
,3909.524263,0.077121
,3910.526693,0.033265
,3911.529098,0.012606
,3912.531483,0.004288
a14+2DEPC+H2O-CO-A,4360.608055,0.1583283
,4361.610847,0.260632
,4362.613458,0.245736
,4363.615999,0.169093
,4364.61849,0.093775
,4365.620946,0.044162
,4366.623375,0.018243
,4367.625782,0.006757
,4368.628173,0.002279
a14+2DEPC+H2O-CO-Eth-G,4298.571275,0.1627019
,4299.574058,0.264049
,4300.57666,0.245691
,4301.579194,0.166912
,4302.581678,0.091413
,4303.584128,0.042521
,4304.586551,0.017352
,4305.588953,0.006349
,4306.591338,0.002116
a14+2DEPC+H2O-CO-G,4344.61314,0.1587138
,4345.615932,0.261206
,4346.618544,0.245908
,4347.621086,0.168875
,4348.623578,0.093434
,4349.626035,0.043887
,4350.628465,0.018079
,4351.630874,0.006676
,4352.633265,0.002245
a14-A,4226.550146,0.1689721
,4227.552915,0.268493
,4228.555504,0.245292
,4229.558026,0.163792
,4230.560499,0.088237
,4231.562939,0.040394
,4232.565353,0.016229
,4233.567747,0.005848
,4234.570124,0.00192
a14-G,4210.555231,0.1693834
,4211.558,0.269082
,4212.560591,0.245439
,4213.563113,0.163545
,4214.565588,0.087886
,4215.568029,0.040123
,4216.570444,0.016073
,4217.572838,0.005774
,4218.575216,0.00189
a15+2DEPC+H2O-CO-A,4705.655489,0.136954
,4706.658262,0.243431
,4707.660871,0.245228
,4708.663411,0.179518
,4709.665903,0.105595
,4710.66836,0.052635
,4711.67079,0.022977
,4712.6732,0.008982
,4713.675592,0.003195
a15+2DEPC+H2O-CO-Eth-G,4643.61871,0.1407321
,4644.621473,0.246874
,4645.624074,0.245653
,4646.626607,0.177694
,4647.629092,0.103307
,4648.631543,0.050904
,4649.633968,0.02197
,4650.636372,0.008492
,4651.638759,0.002987
a15+2DEPC+H2O-CO-G,4689.660575,0.1372874
,4690.663347,0.243971
,4691.665957,0.24545
,4692.668498,0.17936
,4693.670991,0.10528
,4694.673449,0.052355
,4695.67588,0.022797
,4696.678291,0.008888
,4697.680684,0.003152
a15-A,4571.597581,0.1461632
,4572.600331,0.251443
,4573.60292,0.245947
,4574.605441,0.175057
,4575.607916,0.100213
,4576.610358,0.048646
,4577.612774,0.020691
,4578.61517,0.007884
,4579.617549,0.002734
a15-G,4555.602666,0.146519
,4556.605416,0.252
,4557.608006,0.246149
,4558.610528,0.174871
,4559.613004,0.099885
,4560.615447,0.048367
,4561.617864,0.020518
,4562.62026,0.007796
,4563.62264,0.002696
a16+2DEPC+H2O-CO-A,5050.702924,0.1184692
,5051.705679,0.226131
,5052.708286,0.24243
,5053.710826,0.18811
,5054.713318,0.116962
,5055.715777,0.061506
,5056.718209,0.028284
,5057.72062,0.011633
,5058.723014,0.00435
a16+2DEPC+H2O-CO-Eth-G,4988.666145,0.1217341
,4989.668891,0.229533
,4990.67149,0.243255
,4991.674023,0.18665
,4992.676509,0.114788
,4993.678962,0.059714
,4994.681388,0.027168
,4995.683795,0.011056
,4996.686184,0.00409
a16+2DEPC+H2O-CO-G,5034.708009,0.1187576
,5035.710764,0.226637
,5036.713372,0.24269
,5037.715912,0.18801
,5038.718406,0.116677
,5039.720865,0.061226
,5040.723298,0.02809
,5041.72571,0.011525
,5042.728105,0.004298
a16-A,4916.645015,0.1264302
,4917.647749,0.234099
,4918.650337,0.24413
,4919.652859,0.184498
,4920.655335,0.111825
,4921.657779,0.057358
,4922.660197,0.025739
,4923.662595,0.010335
,4924.664976,0.003773
a16-G,4900.650101,0.126738
,4901.652834,0.23462
,4902.655423,0.244374
,4903.657946,0.184372
,4904.660423,0.111526
,4905.662867,0.057077
,4906.665286,0.025551
,4907.667685,0.010233
,4908.670067,0.003726
