fragment,mass,Intensities
a07+DEPC+H2O-CO-A,2127.318654,0.4049862
,2128.321406,0.327815
,2129.323858,0.170969
,2130.326288,0.066791
,2131.328662,0.021556
,2132.331015,0.005988
a07+DEPC+H2O-CO-Eth,2216.331284,0.3859327
,2217.333937,0.331871
,2218.336361,0.17831
,2219.338752,0.071527
,2220.341099,0.023565
,2221.343424,0.006666
a07+DEPC+H2O-CO-G,2111.323739,0.4059721
,2112.326491,0.328458
,2113.328947,0.170426
,2114.331378,0.066214
,2115.333754,0.021233
,2116.336109,0.005859
a07-A,2065.281874,0.41617
,2066.284605,0.32719
,2067.287042,0.16631
,2068.28946,0.063336
,2069.291822,0.019937
,2070.294165,0.005403
a07-G,2049.286959,0.4171831
,2050.28969,0.327828
,2051.292131,0.165734
,2052.29455,0.062754
,2053.296915,0.019622
,2054.299259,0.00528
a08,2505.377656,0.3407551
,2506.380325,0.331433
,2507.382782,0.196639
,2508.385194,0.086741
,2509.387564,0.031282
,2510.389909,0.009665
,2511.392234,0.002637
a08+DEPC+H2O-CO,2567.414435,0.3316113
,2568.417123,0.33025
,2569.419593,0.200274
,2570.422018,0.090267
,2571.424398,0.033252
,2572.426753,0.010492
,2573.429086,0.002923
a08+DEPC+H2O-CO-A,2432.35994,0.3567244
,2433.362698,0.329097
,2434.365182,0.190462
,2435.367629,0.082342
,2436.370022,0.029267
,2437.372391,0.008938
,2438.374737,0.002416
a08+DEPC+H2O-CO-Eth,2521.372571,0.3399276
,2522.37524,0.330758
,2523.377694,0.196985
,2524.380106,0.087284
,2525.382474,0.031642
,2526.384817,0.009831
,2527.387141,0.002698
a08+DEPC+H2O-CO-G,2416.365026,0.3575928
,2417.367783,0.329762
,2418.37027,0.190066
,2419.372718,0.081793
,2420.375114,0.028917
,2421.377484,0.00878
,2422.379831,0.00236
a08-A,2370.323161,0.3665728
,2371.325901,0.329659
,2372.32837,0.186495
,2373.330805,0.078841
,2374.333189,0.027415
,2375.335548,0.008192
,2376.337885,0.002168
a08-G,2354.328246,0.3674651
,2355.330985,0.330321
,2356.333458,0.186068
,2357.335895,0.078284
,2358.33828,0.02707
,2359.340641,0.008041
,2360.34298,0.002114
a09,2834.430176,0.2954728
,2835.432827,0.326076
,2836.435296,0.214122
,2837.437714,0.103924
,2838.440092,0.041024
,2839.442444,0.013832
,2840.444775,0.004109
a09+DEPC+H2O-CO,2896.466956,0.2875286
,2897.469624,0.323995
,2898.472105,0.216967
,2899.474534,0.107352
,2900.476922,0.043191
,2901.479283,0.01484
,2902.481622,0.004492
a09+DEPC+H2O-CO-A,2761.41246,0.30931
,2762.415189,0.325853
,2763.417687,0.208775
,2764.420136,0.09939
,2765.422537,0.038666
,2766.424911,0.012885
,2767.427263,0.003791
a09+DEPC+H2O-CO-Eth,2850.425091,0.2947552
,2851.427743,0.325397
,2852.430209,0.214331
,2853.432626,0.10442
,2854.435002,0.041402
,2855.437353,0.014027
,2856.439683,0.004188
a09+DEPC+H2O-CO-G,2745.417546,0.3100629
,2746.420274,0.326528
,2747.422774,0.208522
,2748.425225,0.098882
,2749.427627,0.038294
,2750.430003,0.012699
,2751.432356,0.003717
a09-A,2699.375681,0.31785
,2700.378393,0.327459
,2701.380878,0.205572
,2702.383316,0.095931
,2703.385707,0.036596
,2704.388073,0.01196
,2705.390416,0.003452
a09-G,2683.380766,0.3186237
,2684.383477,0.328134
,2685.385965,0.205293
,2686.388405,0.095412
,2687.390798,0.036227
,2688.393164,0.01178
,2689.395509,0.003382
a10,3139.471463,0.2602557
,3140.474128,0.316648
,3141.476618,0.226345
,3142.479054,0.119142
,3143.481449,0.050862
,3144.483816,0.018514
,3145.486163,0.005929
a10+DEPC+H2O-CO,3201.508242,0.2532728
,3202.510922,0.314041
,3203.513425,0.228516
,3204.515871,0.122402
,3205.518275,0.053161
,3206.52065,0.019684
,3207.523004,0.006412
,3208.525342,0.001876
a10+DEPC+H2O-CO-A,3066.453747,0.2724555
,3067.456482,0.317844
,3068.459002,0.221869
,3069.461467,0.114639
,3070.463884,0.048242
,3071.466273,0.017356
,3072.468638,0.005505
a10+DEPC+H2O-CO-Eth,3155.466377,0.2596237
,3156.469043,0.315978
,3157.471532,0.226449
,3158.473967,0.119587
,3159.47636,0.051248
,3160.478726,0.018732
,3161.481071,0.006026
a10+DEPC+H2O-CO-G,3050.458832,0.2731187
,3051.461567,0.318513
,3052.464089,0.221727
,3053.466555,0.11418
,3054.468974,0.047861
,3055.471364,0.017146
,3056.47373,0.005414
a10-A,3004.416968,0.2799704
,3005.419688,0.3201
,3006.422196,0.219354
,3007.424651,0.111312
,3008.427059,0.04602
,3009.429439,0.016269
,3010.431797,0.005071
a10-G,2988.422053,0.2806519
,2989.424773,0.320772
,2990.427283,0.219189
,2991.429739,0.11084
,2992.432149,0.045639
,2993.43453,0.016063
,2994.436889,0.004984
a11,3444.51275,0.2292351
,3445.515426,0.304833
,3446.517936,0.235545
,3447.520388,0.13354
,3448.522798,0.061241
,3449.52518,0.023906
,3450.52754,0.0082
,3451.529882,0.002525
a11+DEPC+H2O-CO,3506.549529,0.2230835
,3507.552219,0.30184
,3508.55474,0.237071
,3509.557201,0.13657
,3510.55962,0.063624
,3511.56201,0.025226
,3512.564377,0.008788
,3513.566726,0.002748
a11+DEPC+H2O-CO-A,3371.495034,0.2399797
,3372.497775,0.307101
,3373.500314,0.231937
,3374.502793,0.129168
,3375.505225,0.058408
,3376.507627,0.022538
,3377.510005,0.007657
,3378.512364,0.002339
a11+DEPC+H2O-CO-Eth,3460.507664,0.2286785
,3461.510341,0.30418
,3462.512849,0.235558
,3463.5153,0.133929
,3464.517709,0.061625
,3465.52009,0.024145
,3466.522449,0.008315
,3467.52479,0.002571
a11+DEPC+H2O-CO-G,3355.500119,0.2405639
,3356.50286,0.307756
,3357.505401,0.231891
,3358.507881,0.128762
,3359.510314,0.058026
,3360.512717,0.022307
,3361.515096,0.007548
,3362.517457,0.002296
a11-A,3309.458254,0.2466096
,3310.460982,0.309851
,3311.46351,0.23009
,3312.46598,0.126044
,3313.468403,0.056082
,3314.470797,0.021297
,3315.473168,0.007122
,3316.475521,0.002141
a11-G,3293.46334,0.2472099
,3294.466067,0.31051
,3295.468597,0.230025
,3296.471068,0.125625
,3297.473493,0.055698
,3298.475888,0.02107
,3299.47826,0.007016
,3300.480613,0.002101
a12,3750.538052,0.2021893
,3751.540752,0.291051
,3752.543287,0.241679
,3753.545761,0.14686
,3754.548192,0.072055
,3755.550592,0.030057
,3756.55297,0.011007
,3757.555329,0.003616
a12+DEPC+H2O-CO,3812.574831,0.1967542
,3813.577544,0.287803
,3814.580089,0.242606
,3815.582572,0.149605
,3816.58501,0.07447
,3817.587418,0.031511
,3818.589802,0.011704
,3819.592168,0.0039
a12+DEPC+H2O-CO-A,3677.520336,0.2116622
,3678.523097,0.294086
,3679.525661,0.23892
,3680.52816,0.142714
,3681.530612,0.069069
,3682.533031,0.028486
,3683.535426,0.010333
,3684.537801,0.003367
a12+DEPC+H2O-CO-Eth,3766.532967,0.2016983
,3767.535667,0.290422
,3768.538201,0.241617
,3769.540674,0.147191
,3770.543103,0.072431
,3771.545503,0.030312
,3772.547879,0.011139
,3773.550238,0.003673
a12+DEPC+H2O-CO-G,3661.525422,0.2121775
,3662.528182,0.294721
,3663.530747,0.238954
,3664.533248,0.142365
,3665.535701,0.068692
,3666.538121,0.028237
,3667.540517,0.010206
,3668.542893,0.003314
a12-A,3615.483557,0.2175038
,3616.486305,0.297145
,3617.488859,0.237679
,3618.49135,0.139841
,3619.493793,0.066683
,3620.496206,0.027102
,3621.498594,0.00969
,3622.500962,0.003113
a12-G,3599.488642,0.2180333
,3600.49139,0.297785
,3601.493945,0.237696
,3602.496438,0.139479
,3603.498882,0.066304
,3604.501296,0.026857
,3605.503685,0.009567
,3606.506055,0.003061
a13,4056.563354,0.1783334
,4057.566075,0.276277
,4058.568633,0.245233
,4059.571127,0.158888
,4060.573576,0.082972
,4061.575994,0.036793
,4062.578388,0.014311
,4063.580762,0.00499
a13+DEPC+H2O-CO,4118.600134,0.1735384
,4119.602866,0.272884
,4120.605433,0.24563
,4121.607935,0.161326
,4122.610392,0.085378
,4123.612816,0.038363
,4124.615216,0.015118
,4125.617597,0.005341
a13+DEPC+H2O-CO-A,3983.545638,0.1866799
,3984.548416,0.279857
,3985.551002,0.243264
,3986.55352,0.155032
,3987.55599,0.079887
,3988.558426,0.035033
,3989.560836,0.013498
,3990.563225,0.004669
a13+DEPC+H2O-CO-Eth,4072.558269,0.1779003
,4073.56099,0.275674
,4074.563547,0.245108
,4075.56604,0.159161
,4076.568488,0.083333
,4077.570905,0.037061
,4078.573298,0.01446
,4079.575671,0.005059
a13+DEPC+H2O-CO-G,3967.550724,0.1871343
,3968.553501,0.280467
,3969.556088,0.243365
,3970.558608,0.154741
,3971.561078,0.079522
,3972.563515,0.03477
,3973.565926,0.013355
,3974.568317,0.004604
a13-A,3921.508859,0.1918379
,3922.511626,0.283129
,3923.514202,0.242586
,3924.516713,0.152452
,3925.519174,0.077489
,3926.521604,0.033526
,3927.524007,0.012746
,3928.526391,0.004351
a13-G,3905.513944,0.1923049
,3906.516711,0.283744
,3907.519289,0.242673
,3908.5218,0.152148
