ion,mass,Intensities,,,mass,Intensities,,,,,,Intensities,,,,,
,11929.55844,0.149907,,,11928.5559,0.117296,,,,,,0.117296,,,,,
,11930.56095,0.158416,,,11929.55844,0.149827,,,,,,0.149827,,,,,
,11931.56344,0.143868,,,11930.56095,0.158374,,,,,,0.158374,,,,,
,11932.56591,0.115205,,,11931.56344,0.143874,,,,,,0.143874,,,,,
,11933.56836,0.082865,,,11932.5659,0.11525,,,,,,0.11525,,,,,
,11934.5708,0.054291,,,11933.56836,0.082928,,,,,,0.082928,,,,,
,11935.57322,0.032754,,,11934.57079,0.054353,,,,,,0.054353,,,,,
,11936.57564,0.018355,,,11935.57322,0.032805,,,,,,0.032805,,,,,
,11937.57804,0.009623,,,11936.57563,0.018392,,,,,,0.018392,,,,,
,11938.58043,0.004747,,,11937.57804,0.009646,,,,,,0.009646,,,,,
,11939.58282,0.002215,,,11938.58043,0.004761,,,,,,0.004761,,,,,
c37-G,11909.55315,0.0067795,,,11939.58282,0.002223,,,,,,0.002223,,,,,
,11910.55581,0.030432,,,11909.55315,0.0067725,,,,,,0.0067725,,,,,
,11911.55842,0.071728,,,11910.55581,0.0304,,,,,,0.0304,,,,,
,11912.56099,0.117582,,,11911.55842,0.071661,,,,,,0.071661,,,,,
,11913.56353,0.15008,,,11912.56099,0.117492,,,,,,0.117492,,,,,
,11914.56604,0.158503,,,11913.56353,0.15,,,,,,0.15,,,,,
,11915.56852,0.14385,,,11914.56604,0.158461,,,,,,0.158461,,,,,
,11916.57099,0.115105,,,11915.56852,0.143856,,,,,,0.143856,,,,,
,11917.57344,0.082727,,,11916.57099,0.11515,,,,,,0.11515,,,,,
,11918.57588,0.054155,,,11917.57344,0.08279,,,,,,0.08279,,,,,
,11919.57831,0.032643,,,11918.57588,0.054218,,,,,,0.054218,,,,,
,11920.58072,0.018276,,,11919.57831,0.032694,,,,,,0.032694,,,,,
,11921.58313,0.009572,,,11920.58072,0.018313,,,,,,0.018313,,,,,
,11922.58552,0.004718,,,11921.58313,0.009596,,,,,,0.009596,,,,,
,11923.58791,0.002199,,,11922.58552,0.004732,,,,,,0.004732,,,,,
c38,12365.64384,0.0055376,,,11923.58791,0.002206,,,,,,0.002206,,,,,
,12366.6465,0.025891,,,12365.64384,0.0055317,,,,,,0.0055317,,,,,
,12367.6491,0.063415,,,12366.6465,0.025864,,,,,,0.025864,,,,,
,12368.65167,0.10783,,,12367.6491,0.063354,,,,,,0.063354,,,,,
,12369.6542,0.142565,,,12368.65167,0.107743,,,,,,0.107743,,,,,
,12370.65671,0.155783,,,12369.6542,0.142481,,,,,,0.142481,,,,,
,12371.65919,0.146139,,,12370.6567,0.155732,,,,,,0.155732,,,,,
,12372.66166,0.120774,,,12371.65919,0.146136,,,,,,0.146136,,,,,
,12373.66411,0.089586,,,12372.66166,0.120812,,,,,,0.120812,,,,,
,12374.66655,0.060489,,,12373.66411,0.089647,,,,,,0.089647,,,,,
,12375.66897,0.037587,,,12374.66655,0.060553,,,,,,0.060553,,,,,
,12376.67139,0.021683,,,12375.66897,0.037642,,,,,,0.037642,,,,,
,12377.67379,0.011696,,,12376.67139,0.021724,,,,,,0.021724,,,,,
,12378.67619,0.005935,,,12377.67379,0.011724,,,,,,0.011724,,,,,
,12379.67857,0.002847,,,12378.67618,0.005951,,,,,,0.005951,,,,,
c38-A,12230.58935,0.005957,,,12379.67857,0.002856,,,,,,0.002856,,,,,
,12231.59202,0.027416,,,12230.58935,0.0059507,,,,,,0.0059507,,,,,
,12232.59463,0.066194,,,12231.59202,0.027387,,,,,,0.027387,,,,,
,12233.5972,0.111078,,,12232.59463,0.06613,,,,,,0.06613,,,,,
,12234.59974,0.14506,,,12233.5972,0.11099,,,,,,0.11099,,,,,
,12235.60226,0.156679,,,12234.59974,0.144976,,,,,,0.144976,,,,,
,12236.60475,0.14537,,,12235.60226,0.156631,,,,,,0.156631,,,,,
,12237.60722,0.118885,,,12236.60475,0.14537,,,,,,0.14537,,,,,
,12238.60968,0.087303,,,12237.60722,0.118925,,,,,,0.118925,,,,,
,12239.61212,0.058381,,,12238.60968,0.087365,,,,,,0.087365,,,,,
,12240.61455,0.035941,,,12239.61212,0.058445,,,,,,0.058445,,,,,
,12241.61697,0.020548,,,12240.61455,0.035995,,,,,,0.035995,,,,,
,12242.61938,0.010988,,,12241.61697,0.020588,,,,,,0.020588,,,,,
,12243.62178,0.005528,,,12242.61938,0.011014,,,,,,0.011014,,,,,
,12244.62417,0.00263,,,12243.62178,0.005544,,,,,,0.005544,,,,,
c38-G,12214.59443,0.0059716,,,12244.62417,0.002639,,,,,,0.002639,,,,,
,12215.5971,0.02748,,,12214.59443,0.0059652,,,,,,0.0059652,,,,,
,12216.59972,0.066332,,,12215.5971,0.027451,,,,,,0.027451,,,,,
,12217.60229,0.111267,,,12216.59972,0.066268,,,,,,0.066268,,,,,
,12218.60483,0.145234,,,12217.60229,0.111178,,,,,,0.111178,,,,,
,12219.60734,0.156776,,,12218.60483,0.145151,,,,,,0.145151,,,,,
,12220.60984,0.145366,,,12219.60734,0.156728,,,,,,0.156728,,,,,
,12221.61231,0.118797,,,12220.60984,0.145366,,,,,,0.145366,,,,,
,12222.61477,0.087172,,,12221.61231,0.118837,,,,,,0.118837,,,,,
,12223.61721,0.058246,,,12222.61477,0.087233,,,,,,0.087233,,,,,
,12224.61964,0.035827,,,12223.61721,0.05831,,,,,,0.05831,,,,,
,12225.62206,0.020465,,,12224.61964,0.035881,,,,,,0.035881,,,,,
,12226.62447,0.010933,,,12225.62206,0.020505,,,,,,0.020505,,,,,
,12227.62687,0.005496,,,12226.62447,0.010959,,,,,,0.010959,,,,,
,12228.62926,0.002612,,,12227.62686,0.005511,,,,,,0.005511,,,,,
rre2b,12548.78925,0.004923,,,12228.62926,0.002621,,,,,,0.002621,,,,,
,12549.79191,0.02357,,,12548.78925,0.0049177,,,,,,0.0049177,,,,,
,12550.79451,0.059014,,,12549.79191,0.023544,,,,,,0.023544,,,,,
,12551.79708,0.102457,,,12550.79451,0.058956,,,,,,0.058956,,,,,
,12552.79962,0.138173,,,12551.79708,0.102373,,,,,,0.102373,,,,,
,12553.80213,0.153883,,,12552.79962,0.138088,,,,,,0.138088,,,,,
,12554.80463,0.147029,,,12553.80213,0.153828,,,,,,0.153828,,,,,
,12555.8071,0.123686,,,12554.80463,0.147019,,,,,,0.147019,,,,,
,12556.80956,0.093343,,,12555.8071,0.123719,,,,,,0.123719,,,,,
,12557.812,0.064094,,,12556.80956,0.093401,,,,,,0.093401,,,,,
,12558.81443,0.040486,,,12557.812,0.064158,,,,,,0.064158,,,,,
,12559.81685,0.023734,,,12558.81443,0.040543,,,,,,0.040543,,,,,
,12560.81926,0.013006,,,12559.81685,0.023777,,,,,,0.023777,,,,,
,12561.82166,0.006702,,,12560.81926,0.013035,,,,,,0.013035,,,,,
,12562.82405,0.003264,,,12561.82166,0.00672,,,,,,0.00672,,,,,
,12563.82644,0.001509,,,12562.82405,0.003274,,,,,,0.003274,,,,,
rre2b+CMCT,12799.98901,0.0041617,,,12563.82644,0.001514,,,,,,0.001514,,,,,
,12800.99168,0.020619,,,12799.98901,0.0041572,,,,,,0.0041572,,,,,
,12801.9943,0.053274,,,12800.99168,0.020596,,,,,,0.020596,,,,,
,12802.99688,0.095239,,,12801.9943,0.053221,,,,,,0.053221,,,,,
,12803.99944,0.132025,,,12802.99688,0.095158,,,,,,0.095158,,,,,
,12805.00196,0.150926,,,12803.99944,0.13194,,,,,,0.13194,,,,,
,12806.00447,0.147841,,,12805.00196,0.150867,,,,,,0.150867,,,,,
,12807.00696,0.127375,,,12806.00447,0.147824,,,,,,0.147824,,,,,
,12808.00943,0.09836,,,12807.00696,0.1274,,,,,,0.1274,,,,,
,12809.01189,0.069052,,,12808.00943,0.098413,,,,,,0.098413,,,,,
,12810.01433,0.044564,,,12809.01189,0.069115,,,,,,0.069115,,,,,
,12811.01677,0.026674,,,12810.01433,0.044622,,,,,,0.044622,,,,,
,12812.01919,0.014915,,,12811.01677,0.026719,,,,,,0.026719,,,,,
,12813.0216,0.007839,,,12812.01919,0.014947,,,,,,0.014947,,,,,
,12814.02401,0.003892,,,12813.0216,0.007859,,,,,,0.007859,,,,,
,12815.02641,0.001833,,,12814.02401,0.003904,,,,,,0.003904,,,,,
rre2b+CMCT-A,12995.99145,0.0038507,,,12815.0264,0.00184,,,,,,0.00184,,,,,
,12996.9941,0.019363,,,12995.99145,0.0038466,,,,,,0.0038466,,,,,
,12997.99671,0.050728,,,12996.9941,0.019342,,,,,,0.019342,,,,,
,12998.99929,0.091891,,,12997.99671,0.050678,,,,,,0.050678,,,,,
,13000.00183,0.128999,,,12998.99929,0.091812,,,,,,0.091812,,,,,
,13001.00435,0.149266,,,13000.00183,0.128914,,,,,,0.128914,,,,,
,13002.00685,0.147939,,,13001.00435,0.149204,,,,,,0.149204,,,,,
,13003.00933,0.128916,,,13002.00685,0.147918,,,,,,0.147918,,,,,
,13004.0118,0.100658,,,13003.00933,0.128939,,,,,,0.128939,,,,,
,13005.01425,0.071433,,,13004.0118,0.10071,,,,,,0.10071,,,,,
,13006.01669,0.046589,,,13005.01425,0.071495,,,,,,0.071495,,,,,
,13007.01912,0.028176,,,13006.01669,0.046648,,,,,,0.046648,,,,,
,13008.02154,0.015916,,,13007.01912,0.028223,,,,,,0.028223,,,,,
,13009.02395,0.008449,,,13008.02154,0.015949,,,,,,0.015949,,,,,
,13010.02635,0.004236,,,13009.02395,0.00847,,,,,,0.00847,,,,,
,13011.02874,0.002015,,,13010.02635,0.004248,,,,,,0.004248,,,,,
rre2b+CMCT-A-H2O,13014.00201,0.0038405,,,13011.02874,0.002022,,,,,,0.002022,,,,,
,13015.00467,0.019314,,,13014.00201,0.0038363,,,,,,0.0038363,,,,,
,13016.00728,0.050613,,,13015.00467,0.019293,,,,,,0.019293,,,,,
,13017.00985,0.091717,,,13016.00728,0.050562,,,,,,0.050562,,,,,
,13018.0124,0.128816,,,13017.00985,0.091638,,,,,,0.091638,,,,,
,13019.01492,0.149136,,,13018.0124,0.128731,,,,,,0.128731,,,,,
,13020.01742,0.147901,,,13019.01492,0.149074,,,,,,0.149074,,,,,
,13021.0199,0.12897,,,13020.01742,0.14788,,,,,,0.14788,,,,,
,13022.02237,0.100772,,,13021.0199,0.128992,,,,,,0.128992,,,,,
,13023.02482,0.071569,,,13022.02236,0.100824,,,,,,0.100824,,,,,
,13024.02726,0.046715,,,13023.02482,0.071631,,,,,,0.071631,,,,,
,13025.02968,0.028276,,,13024.02726,0.046774,,,,,,0.046774,,,,,
,13026.0321,0.015986,,,13025.02968,0.028323,,,,,,0.028323,,,,,
,13027.03451,0.008493,,,13026.0321,0.01602,,,,,,0.01602,,,,,
,13028.03691,0.004262,,,13027.03451,0.008515,,,,,,0.008515,,,,,
,13029.0393,0.002029,,,13028.03691,0.004275,,,,,,0.004275,,,,,
rre2b+CMCT-C,12971.98021,0.0039117,,,13029.0393,0.002036,,,,,,0.002036,,,,,
,12972.98288,0.019599,,,12971.98021,0.0039074,,,,,,0.0039074,,,,,
,12973.98549,0.05119,,,12972.98288,0.019578,,,,,,0.019578,,,,,
,12974.98807,0.092471,,,12973.98549,0.051138,,,,,,0.051138,,,,,
,12975.99062,0.129494,,,12974.98807,0.092392,,,,,,0.092392,,,,,
,12976.99315,0.149504,,,12975.99062,0.129409,,,,,,0.129409,,,,,
,12977.99565,0.147873,,,12976.99315,0.149442,,,,,,0.149442,,,,,
,12978.99814,0.128619,,,12977.99565,0.147853,,,,,,0.147853,,,,,
,12980.0006,0.100254,,,12978.99813,0.128642,,,,,,0.128642,,,,,
,12981.00306,0.071034,,,12980.0006,0.100306,,,,,,0.100306,,,,,
,12982.0055,0.046262,,,12981.00306,0.071097,,,,,,0.071097,,,,,
,12983.00793,0.02794,,,12982.0055,0.046321,,,,,,0.046321,,,,,
,12984.01035,0.015763,,,12983.00793,0.027987,,,,,,0.027987,,,,,
,12985.01277,0.008358,,,12984.01035,0.015796,,,,,,0.015796,,,,,
,12986.01517,0.004186,,,12985.01276,0.008379,,,,,,0.008379,,,,,
,12987.01756,0.001989,,,12986.01517,0.004198,,,,,,0.004198,,,,,
rre2b+CMCT-C-H2O,12989.99078,0.0039013,,,12987.01756,0.001996,,,,,,0.001996,,,,,
,12990.99344,0.01955,,,12989.99078,0.003897,,,,,,0.003897,,,,,
,12991.99606,0.051074,,,12990.99344,0.019528,,,,,,0.019528,,,,,
,12992.99864,0.092297,,,12991.99606,0.051022,,,,,,0.051022,,,,,
,12994.00119,0.129311,,,12992.99864,0.092217,,,,,,0.092217,,,,,
,12995.00371,0.149375,,,12994.00119,0.129225,,,,,,0.129225,,,,,
,12996.00621,0.147836,,,12995.00371,0.149313,,,,,,0.149313,,,,,
,12997.0087,0.128674,,,12996.00621,0.147816,,,,,,0.147816,,,,,
,12998.01117,0.100369,,,12997.0087,0.128696,,,,,,0.128696,,,,,
,12999.01362,0.07117,,,12998.01117,0.100421,,,,,,0.100421,,,,,
,13000.01607,0.046387,,,12999.01362,0.071233,,,,,,0.071233,,,,,
,13001.0185,0.02804,,,13000.01607,0.046446,,,,,,0.046446,,,,,
,13002.02092,0.015833,,,13001.0185,0.028087,,,,,,0.028087,,,,,
,13003.02333,0.008402,,,13002.02092,0.015866,,,,,,0.015866,,,,,
,13004.02573,0.004212,,,13003.02333,0.008424,,,,,,0.008424,,,,,
,13005.02813,0.002003,,,13004.02573,0.004225,,,,,,0.004225,,,,,
rre2b+CMCT-G,13011.98636,0.0038414,,,13005.02813,0.00201,,,,,,0.00201,,,,,
,13012.98902,0.019317,,,13011.98636,0.0038372,,,,,,0.0038372,,,,,
,13013.99163,0.050621,,,13012.98902,0.019296,,,,,,0.019296,,,,,
,13014.9942,0.091726,,,13013.99163,0.05057,,,,,,0.05057,,,,,
,13015.99675,0.128825,,,13014.9942,0.091647,,,,,,0.091647,,,,,
,13016.99927,0.149141,,,13015.99675,0.12874,,,,,,0.12874,,,,,
,13018.00177,0.1479,,,13016.99927,0.149079,,,,,,0.149079,,,,,
,13019.00425,0.128965,,,13018.00177,0.14788,,,,,,0.14788,,,,,
,13020.00671,0.100766,,,13019.00425,0.128987,,,,,,0.128987,,,,,
,13021.00917,0.071562,,,13020.00671,0.100817,,,,,,0.100817,,,,,
,13022.01161,0.04671,,,13021.00916,0.071624,,,,,,0.071624,,,,,
,13023.01403,0.028272,,,13022.0116,0.046768,,,,,,0.046768,,,,,
,13024.01645,0.015984,,,13023.01403,0.028319,,,,,,0.028319,,,,,
,13025.01886,0.008492,,,13024.01645,0.016017,,,,,,0.016017,,,,,
,13026.02126,0.004261,,,13025.01886,0.008513,,,,,,0.008513,,,,,
,13027.02365,0.002029,,,13026.02126,0.004274,,,,,,0.004274,,,,,
rre2b+CMCT-G-H2O,13029.99693,0.0038312,,,13027.02365,0.002036,,,,,,0.002036,,,,,
,13030.99958,0.019268,,,13029.99693,0.003827,,,,,,0.003827,,,,,
,13032.00219,0.050506,,,13030.99958,0.019247,,,,,,0.019247,,,,,
,13033.00477,0.091553,,,13032.00219,0.050455,,,,,,0.050455,,,,,
,13034.00731,0.128642,,,13033.00477,0.091474,,,,,,0.091474,,,,,
,13035.00983,0.149011,,,13034.00731,0.128557,,,,,,0.128557,,,,,
,13036.01233,0.147862,,,13035.00983,0.148948,,,,,,0.148948,,,,,
,13037.01481,0.129018,,,13036.01233,0.147841,,,,,,0.147841,,,,,
,13038.01728,0.10088,,,13037.01481,0.12904,,,,,,0.12904,,,,,
,13039.01973,0.071697,,,13038.01728,0.100931,,,,,,0.100931,,,,,
,13040.02217,0.046836,,,13039.01973,0.07176,,,,,,0.07176,,,,,
,13041.0246,0.028372,,,13040.02217,0.046895,,,,,,0.046895,,,,,
,13042.02702,0.016054,,,13041.0246,0.028419,,,,,,0.028419,,,,,
,13043.02942,0.008537,,,13042.02701,0.016088,,,,,,0.016088,,,,,
,13044.03182,0.004288,,,13043.02942,0.008558,,,,,,0.008558,,,,,
,13045.03422,0.002043,,,13044.03182,0.004301,,,,,,0.004301,,,,,
rre2b+CMCT-H2O,12878.94752,0.0041314,,,13045.03421,0.00205,,,,,,0.00205,,,,,
,12879.95019,0.020473,,,12878.94752,0.0041269,,,,,,0.0041269,,,,,
,12880.95281,0.052936,,,12879.95019,0.020451,,,,,,0.020451,,,,,
,12881.95539,0.094733,,,12880.95281,0.052883,,,,,,0.052883,,,,,
,12882.95794,0.1315,,,12881.95539,0.094652,,,,,,0.094652,,,,,
,12883.96047,0.150562,,,12882.95794,0.131414,,,,,,0.131414,,,,,
,12884.96297,0.147747,,,12883.96047,0.150502,,,,,,0.150502,,,,,
,12885.96546,0.127542,,,12884.96297,0.147729,,,,,,0.147729,,,,,
,12886.96793,0.098696,,,12885.96546,0.127567,,,,,,0.127567,,,,,
,12887.97039,0.069444,,,12886.96793,0.09875,,,,,,0.09875,,,,,
,12888.97283,0.044922,,,12887.97039,0.069507,,,,,,0.069507,,,,,
,12889.97527,0.026955,,,12888.97283,0.044981,,,,,,0.044981,,,,,
,12890.97769,0.015111,,,12889.97526,0.027001,,,,,,0.027001,,,,,
,12891.9801,0.007963,,,12890.97769,0.015144,,,,,,0.015144,,,,,
,12892.98251,0.003964,,,12891.9801,0.007984,,,,,,0.007984,,,,,
,12893.9849,0.001873,,,12892.9825,0.003976,,,,,,0.003976,,,,,
rre2b-A,12744.79168,0.0045552,,,12893.9849,0.001879,,,,,,0.001879,,,,,
,12745.79433,0.022145,,,12744.79168,0.0045503,,,,,,0.0045503,,,,,
,12746.79693,0.056246,,,12745.79433,0.022121,,,,,,0.022121,,,,,
,12747.79949,0.09898,,,12746.79693,0.05619,,,,,,0.05619,,,,,
,12748.80202,0.135217,,,12747.79949,0.098897,,,,,,0.098897,,,,,
,12749.80452,0.152467,,,12748.80202,0.135132,,,,,,0.135132,,,,,
,12750.80701,0.147428,,,12749.80452,0.152409,,,,,,0.152409,,,,,
,12751.80948,0.125468,,,12750.80701,0.147415,,,,,,0.147415,,,,,
,12752.81193,0.095761,,,12751.80947,0.125497,,,,,,0.125497,,,,,
,12753.81437,0.06648,,,12752.81193,0.095817,,,,,,0.095817,,,,,
,12754.81679,0.042446,,,12753.81436,0.066544,,,,,,0.066544,,,,,
,12755.81921,0.025146,,,12754.81679,0.042504,,,,,,0.042504,,,,,
,12756.82161,0.013922,,,12755.8192,0.02519,,,,,,0.02519,,,,,
,12757.82401,0.007247,,,12756.82161,0.013953,,,,,,0.013953,,,,,
,12758.82639,0.003565,,,12757.824,0.007266,,,,,,0.007266,,,,,
,12759.82877,0.001664,,,12758.82639,0.003576,,,,,,0.003576,,,,,
rre2b-A-H2O,12762.80225,0.0045431,,,12759.82877,0.00167,,,,,,0.00167,,,,,
,12763.80489,0.022089,,,12762.80225,0.0045382,,,,,,0.0045382,,,,,
,12764.80749,0.05612,,,12763.80489,0.022065,,,,,,0.022065,,,,,
,12765.81005,0.098797,,,12764.80749,0.056064,,,,,,0.056064,,,,,
,12766.81258,0.135033,,,12765.81005,0.098714,,,,,,0.098714,,,,,
,12767.81509,0.152347,,,12766.81258,0.134947,,,,,,0.134947,,,,,
,12768.81757,0.147406,,,12767.81509,0.152289,,,,,,0.152289,,,,,
,12769.82004,0.125537,,,12768.81757,0.147393,,,,,,0.147393,,,,,
,12770.82249,0.095885,,,12769.82004,0.125566,,,,,,0.125566,,,,,
,12771.82493,0.066619,,,12770.82249,0.095941,,,,,,0.095941,,,,,
,12772.82736,0.04257,,,12771.82493,0.066683,,,,,,0.066683,,,,,
,12773.82977,0.025241,,,12772.82735,0.042628,,,,,,0.042628,,,,,
,12774.83218,0.013987,,,12773.82977,0.025286,,,,,,0.025286,,,,,
,12775.83457,0.007288,,,12774.83217,0.014018,,,,,,0.014018,,,,,
,12776.83696,0.003588,,,12775.83457,0.007307,,,,,,0.007307,,,,,
,12777.83934,0.001677,,,12776.83696,0.003599,,,,,,0.003599,,,,,
rre2b-C,12720.78045,0.0046273,,,12777.83934,0.001683,,,,,,0.001683,,,,,
,12721.7831,0.022413,,,12720.78045,0.0046223,,,,,,0.0046223,,,,,
,12722.78571,0.056746,,,12721.7831,0.022389,,,,,,0.022389,,,,,
,12723.78827,0.09958,,,12722.78571,0.05669,,,,,,0.05669,,,,,
,12724.79081,0.135694,,,12723.78827,0.099496,,,,,,0.099496,,,,,
,12725.79332,0.152659,,,12724.79081,0.135609,,,,,,0.135609,,,,,
,12726.79581,0.147311,,,12725.79332,0.152602,,,,,,0.152602,,,,,
,12727.79828,0.125133,,,12726.7958,0.147298,,,,,,0.147298,,,,,
,12728.80073,0.09534,,,12727.79828,0.125163,,,,,,0.125163,,,,,
,12729.80317,0.066083,,,12728.80073,0.095397,,,,,,0.095397,,,,,
,12730.8056,0.042131,,,12729.80317,0.066148,,,,,,0.066148,,,,,
,12731.80802,0.024926,,,12730.8056,0.042189,,,,,,0.042189,,,,,
,12732.81043,0.013783,,,12731.80802,0.02497,,,,,,0.02497,,,,,
,12733.81283,0.007166,,,12732.81043,0.013813,,,,,,0.013813,,,,,
,12734.81522,0.003521,,,12733.81282,0.007185,,,,,,0.007185,,,,,
,12735.8176,0.001642,,,12734.81521,0.003532,,,,,,0.003532,,,,,
rre2b-C-H2O,12738.79102,0.004615,,,12735.8176,0.001648,,,,,,0.001648,,,,,
,12739.79367,0.022356,,,12738.79102,0.00461,,,,,,0.00461,,,,,
,12740.79627,0.056618,,,12739.79367,0.022332,,,,,,0.022332,,,,,
,12741.79884,0.099395,,,12740.79627,0.056562,,,,,,0.056562,,,,,
,12742.80137,0.135511,,,12741.79884,0.099312,,,,,,0.099312,,,,,
,12743.80388,0.15254,,,12742.80137,0.135425,,,,,,0.135425,,,,,
,12744.80637,0.14729,,,12743.80388,0.152482,,,,,,0.152482,,,,,
,12745.80884,0.125203,,,12744.80637,0.147277,,,,,,0.147277,,,,,
,12746.8113,0.095465,,,12745.80884,0.125232,,,,,,0.125232,,,,,
,12747.81374,0.066222,,,12746.81129,0.095521,,,,,,0.095521,,,,,
,12748.81617,0.042255,,,12747.81374,0.066286,,,,,,0.066286,,,,,
,12749.81858,0.02502,,,12748.81616,0.042313,,,,,,0.042313,,,,,
,12750.82099,0.013848,,,12749.81858,0.025065,,,,,,0.025065,,,,,
,12751.82339,0.007207,,,12750.82099,0.013879,,,,,,0.013879,,,,,
,12752.82578,0.003544,,,12751.82339,0.007226,,,,,,0.007226,,,,,
,12753.82816,0.001655,,,12752.82578,0.003556,,,,,,0.003556,,,,,
rre2b-G,12760.7866,0.0045442,,,12753.82816,0.001661,,,,,,0.001661,,,,,
,12761.78924,0.022093,,,12760.7866,0.0045392,,,,,,0.0045392,,,,,
,12762.79184,0.056128,,,12761.78924,0.022069,,,,,,0.022069,,,,,
,12763.7944,0.098807,,,12762.79184,0.056072,,,,,,0.056072,,,,,
,12764.79693,0.135041,,,12763.7944,0.098723,,,,,,0.098723,,,,,
,12765.79944,0.152351,,,12764.79693,0.134956,,,,,,0.134956,,,,,
,12766.80192,0.147405,,,12765.79944,0.152293,,,,,,0.152293,,,,,
,12767.80439,0.125532,,,12766.80192,0.147392,,,,,,0.147392,,,,,
,12768.80684,0.095878,,,12767.80439,0.125561,,,,,,0.125561,,,,,
,12769.80928,0.066612,,,12768.80684,0.095934,,,,,,0.095934,,,,,
,12770.8117,0.042565,,,12769.80928,0.066676,,,,,,0.066676,,,,,
,12771.81412,0.025237,,,12770.8117,0.042622,,,,,,0.042622,,,,,
,12772.81652,0.013985,,,12771.81412,0.025282,,,,,,0.025282,,,,,
,12773.81892,0.007286,,,12772.81652,0.014016,,,,,,0.014016,,,,,
,12774.82131,0.003587,,,12773.81892,0.007306,,,,,,0.007306,,,,,
,12775.82369,0.001676,,,12774.8213,0.003599,,,,,,0.003599,,,,,
rre2b-G-H2O,12778.79716,0.0045321,,,12775.82368,0.001682,,,,,,0.001682,,,,,
,12779.79981,0.022037,,,12778.79716,0.0045271,,,,,,0.0045271,,,,,
,12780.80241,0.056001,,,12779.79981,0.022013,,,,,,0.022013,,,,,
,12781.80497,0.098624,,,12780.80241,0.055945,,,,,,0.055945,,,,,
,12782.8075,0.134858,,,12781.80497,0.09854,,,,,,0.09854,,,,,
,12783.81,0.152231,,,12782.8075,0.134772,,,,,,0.134772,,,,,
,12784.81249,0.147383,,,12783.81,0.152173,,,,,,0.152173,,,,,
,12785.81495,0.1256,,,12784.81249,0.147369,,,,,,0.147369,,,,,
,12786.81741,0.096001,,,12785.81495,0.125629,,,,,,0.125629,,,,,
,12787.81984,0.066751,,,12786.8174,0.096057,,,,,,0.096057,,,,,
,12788.82227,0.042688,,,12787.81984,0.066815,,,,,,0.066815,,,,,
,12789.82468,0.025332,,,12788.82227,0.042746,,,,,,0.042746,,,,,
,12790.82709,0.01405,,,12789.82468,0.025377,,,,,,0.025377,,,,,
,12791.82948,0.007327,,,12790.82709,0.014081,,,,,,0.014081,,,,,
,12792.83187,0.003611,,,12791.82948,0.007347,,,,,,0.007347,,,,,
,12793.83425,0.001689,,,12792.83187,0.003622,,,,,,0.003622,,,,,
rre2b-H2O,12627.74775,0.0048872,,,12793.83425,0.001695,,,,,,0.001695,,,,,
,12628.75041,0.023404,,,12627.74775,0.0048819,,,,,,0.0048819,,,,,
,12629.75302,0.058642,,,12628.75041,0.023378,,,,,,0.023378,,,,,
,12630.75559,0.101924,,,12629.75302,0.058584,,,,,,0.058584,,,,,
,12631.75813,0.137646,,,12630.75559,0.101839,,,,,,0.101839,,,,,
,12632.76064,0.153548,,,12631.75813,0.137561,,,,,,0.137561,,,,,
,12633.76313,0.146981,,,12632.76064,0.153493,,,,,,0.153493,,,,,
,12634.7656,0.123897,,,12633.76313,0.146971,,,,,,0.146971,,,,,
,12635.76806,0.093707,,,12634.7656,0.12393,,,,,,0.12393,,,,,
,12636.7705,0.064493,,,12635.76806,0.093765,,,,,,0.093765,,,,,
,12637.77293,0.040838,,,12636.7705,0.064558,,,,,,0.064558,,,,,
,12638.77535,0.024001,,,12637.77293,0.040895,,,,,,0.040895,,,,,
,12639.77776,0.013187,,,12638.77535,0.024045,,,,,,0.024045,,,,,
,12640.78016,0.006814,,,12639.77776,0.013217,,,,,,0.013217,,,,,
,12641.78255,0.003328,,,12640.78016,0.006833,,,,,,0.006833,,,,,
,12642.78494,0.001543,,,12641.78255,0.003339,,,,,,0.003339,,,,,
w01,323.051851,0.8784789,,,12642.78493,0.001549,,,,,,0.001549,,,,,
,324.054662,0.099899,,,323.051851,0.8784507,,,,,,0.8784507,,,,,
,325.056445,0.019616,,,324.054662,0.099896,,,,,,0.099896,,,,,
,326.05901,0.001798,,,325.056444,0.019644,,,,,,0.019644,,,,,
w02,628.093138,0.7737828,,,326.05901,0.001801,,,,,,0.001801,,,,,
,629.095942,0.175512,,,628.093138,0.7737363,,,,,,0.7737363,,,,,
,630.097976,0.042868,,,629.095942,0.175502,,,,,,0.175502,,,,,
,631.100435,0.00671,,,630.097975,0.042912,,,,,,0.042912,,,,,
w03,973.140573,0.669315,,,631.100435,0.006721,,,,,,0.006721,,,,,
,974.143274,0.239707,,,973.140573,0.669256,,,,,,0.669256,,,,,
,975.145477,0.071982,,,974.143274,0.239686,,,,,,0.239686,,,,,
,976.14785,0.015528,,,975.145477,0.072035,,,,,,0.072035,,,,,
,977.150083,0.002921,,,976.147849,0.015547,,,,,,0.015547,,,,,
w03-G,821.083338,0.7218492,,,977.150082,0.002927,,,,,,0.002927,,,,,
,822.086268,0.20522,,,821.083338,0.7217884,,,,,,0.7217884,,,,,
,823.088342,0.059267,,,822.086268,0.205202,,,,,,0.205202,,,,,
,824.090854,0.011316,,,823.088341,0.059323,,,,,,0.059323,,,,,
