ion,mass,Intensities,,,mass,Intensities,,,,,,Intensities,,,,,
,3215.459021,0.12199,,,3215.459021,0.122043,,0,0.01%,,,0.122043,,0.00%,,,
,3216.461409,0.052998,,,3216.461408,0.053046,,-1E-06,0.00%,,,0.053046,,0.00%,,,
,3217.46377,0.019642,,,3217.463769,0.01967,,-1E-06,0.00%,,,0.01967,,0.00%,,,
,3218.466111,0.006407,,,3218.46611,0.00642,,-1E-06,0.00%,,,0.00642,,0.00%,,,
,3219.468435,0.001879,,,3219.468434,0.001884,,-1E-06,0.00%,,,0.001884,,0.00%,,,
a10-G,3061.402046,0.2746385,,,3061.402046,0.2745636,,0,-0.01%,,,0.2745636,,0.00%,,,
,3062.404755,0.318179,,,3062.404755,0.318092,,0,-0.01%,,,0.318092,,0.00%,,,
,3063.407255,0.22109,,,3063.407255,0.221105,,0,0.00%,,,0.221105,,0.00%,,,
,3064.409703,0.113784,,,3064.409702,0.11384,,-1E-06,0.01%,,,0.11384,,0.00%,,,
,3065.412105,0.047717,,,3065.412105,0.047764,,0,0.00%,,,0.047764,,0.00%,,,
,3066.41448,0.017113,,,3066.414479,0.017139,,-1E-06,0.00%,,,0.017139,,0.00%,,,
,3067.416833,0.005413,,,3067.416832,0.005424,,-1E-06,0.00%,,,0.005424,,0.00%,,,
a11,3517.492742,0.224328,,,3517.492742,0.2242596,,0,-0.01%,,,0.2242596,,0.00%,,,
,3518.49541,0.301803,,,3518.49541,0.301712,,0,-0.01%,,,0.301712,,0.00%,,,
,3519.497911,0.236545,,,3519.497911,0.236541,,0,0.00%,,,0.236541,,0.00%,,,
,3520.500356,0.136147,,,3520.500356,0.136198,,0,0.01%,,,0.136198,,0.00%,,,
,3521.50276,0.063429,,,3521.502759,0.063482,,-1E-06,0.01%,,,0.063482,,0.00%,,,
,3522.505136,0.025165,,,3522.505135,0.025199,,-1E-06,0.00%,,,0.025199,,0.00%,,,
,3523.50749,0.008777,,,3523.507489,0.008793,,-1E-06,0.00%,,,0.008793,,0.00%,,,
,3524.509828,0.002749,,,3524.509826,0.002755,,-2E-06,0.00%,,,0.002755,,0.00%,,,
a11-G,3366.443333,0.2419074,,,3366.443333,0.2418347,,0,-0.01%,,,0.2418347,,0.00%,,,
,3367.44605,0.30762,,,3367.44605,0.307527,,0,-0.01%,,,0.307527,,0.00%,,,
,3368.44857,0.231328,,,3368.44857,0.231332,,0,0.00%,,,0.231332,,0.00%,,,
,3369.451034,0.128349,,,3369.451033,0.128403,,-1E-06,0.01%,,,0.128403,,0.00%,,,
,3370.453451,0.057849,,,3370.453451,0.057901,,0,0.01%,,,0.057901,,0.00%,,,
,3371.45584,0.022256,,,3371.455839,0.022288,,-1E-06,0.00%,,,0.022288,,0.00%,,,
,3372.458206,0.00754,,,3372.458205,0.007555,,-1E-06,0.00%,,,0.007555,,0.00%,,,
,3373.460555,0.002297,,,3373.460553,0.002303,,-2E-06,0.00%,,,0.002303,,0.00%,,,
a12,3846.545263,0.194514,,,3846.545263,0.1944501,,0,-0.01%,,,0.1944501,,0.00%,,,
,3847.547917,0.287161,,,3847.547917,0.287066,,0,-0.01%,,,0.287066,,0.00%,,,
,3848.550423,0.243311,,,3848.550423,0.243295,,0,0.00%,,,0.243295,,0.00%,,,
,3849.552873,0.150579,,,3849.552872,0.150624,,-1E-06,0.00%,,,0.150624,,0.00%,,,
,3850.555282,0.075142,,,3850.555281,0.075197,,-1E-06,0.01%,,,0.075197,,0.00%,,,
,3851.557663,0.03185,,,3851.557662,0.031889,,-1E-06,0.00%,,,0.031889,,0.00%,,,
,3852.560023,0.011844,,,3852.560022,0.011865,,-1E-06,0.00%,,,0.011865,,0.00%,,,
,3853.562366,0.003949,,,3853.562365,0.003958,,-1E-06,0.00%,,,0.003958,,0.00%,,,
a12-A,3711.490767,0.2092477,,,3711.490767,0.2091789,,0,-0.01%,,,0.2091789,,0.00%,,,
,3712.493466,0.293565,,,3712.493466,0.293469,,0,-0.01%,,,0.293469,,0.00%,,,
,3713.495991,0.239717,,,3713.495991,0.239707,,0,0.00%,,,0.239707,,0.00%,,,
,3714.498457,0.143702,,,3714.498456,0.143751,,-1E-06,0.00%,,,0.143751,,0.00%,,,
,3715.500879,0.069716,,,3715.500878,0.069771,,-1E-06,0.01%,,,0.069771,,0.00%,,,
,3716.503271,0.0288,,,3716.50327,0.028838,,-1E-06,0.00%,,,0.028838,,0.00%,,,
,3717.505641,0.010458,,,3717.50564,0.010477,,-1E-06,0.00%,,,0.010477,,0.00%,,,
,3718.507993,0.00341,,,3718.507992,0.003418,,-1E-06,0.00%,,,0.003418,,0.00%,,,
a12-G,3695.495853,0.209757,,,3695.495853,0.2096889,,0,-0.01%,,,0.2096889,,0.00%,,,
,3696.498551,0.2942,,,3696.498551,0.294104,,0,-0.01%,,,0.294104,,0.00%,,,
,3697.501077,0.239757,,,3697.501077,0.239748,,0,0.00%,,,0.239748,,0.00%,,,
,3698.503544,0.143356,,,3698.503544,0.143405,,0,0.00%,,,0.143405,,0.00%,,,
,3699.505967,0.069338,,,3699.505966,0.069394,,-1E-06,0.01%,,,0.069394,,0.00%,,,
,3700.508361,0.028549,,,3700.50836,0.028587,,-1E-06,0.00%,,,0.028587,,0.00%,,,
,3701.510732,0.01033,,,3701.510731,0.010349,,-1E-06,0.00%,,,0.010349,,0.00%,,,
,3702.513085,0.003356,,,3702.513084,0.003364,,-1E-06,0.00%,,,0.003364,,0.00%,,,
a13,4191.592697,0.1682528,,,4191.592697,0.1681928,,0,-0.01%,,,0.1681928,,0.00%,,,
,4192.595341,0.270485,,,4192.595341,0.270389,,0,-0.01%,,,0.270389,,0.00%,,,
,4193.59785,0.246841,,,4193.59785,0.246813,,0,0.00%,,,0.246813,,0.00%,,,
,4194.600303,0.163807,,,4194.600303,0.163845,,0,0.00%,,,0.163845,,0.00%,,,
,4195.602716,0.087384,,,4195.602716,0.08744,,0,0.01%,,,0.08744,,0.00%,,,
,4196.605102,0.039511,,,4196.605101,0.039556,,-1E-06,0.00%,,,0.039556,,0.00%,,,
,4197.607466,0.015648,,,4197.607465,0.015674,,-1E-06,0.00%,,,0.015674,,0.00%,,,
,4198.609813,0.00555,,,4198.609812,0.005562,,-1E-06,0.00%,,,0.005562,,0.00%,,,
,4199.612145,0.001791,,,4199.612144,0.001796,,-1E-06,0.00%,,,0.001796,,0.00%,,,
a13-A,4056.538202,0.1809973,,,4056.538202,0.1809327,,0,-0.01%,,,0.1809327,,0.00%,,,
,4057.540886,0.277699,,,4057.540886,0.2776,,0,-0.01%,,,0.2776,,0.00%,,,
,4058.543414,0.244744,,,4058.543413,0.244722,,-1E-06,0.00%,,,0.244722,,0.00%,,,
,4059.545882,0.157602,,,4059.545881,0.157645,,-1E-06,0.00%,,,0.157645,,0.00%,,,
,4060.548308,0.081854,,,4060.548307,0.081912,,-1E-06,0.01%,,,0.081912,,0.00%,,,
,4061.550704,0.036118,,,4061.550703,0.036161,,-1E-06,0.00%,,,0.036161,,0.00%,,,
,4062.553078,0.013984,,,4062.553077,0.014009,,-1E-06,0.00%,,,0.014009,,0.00%,,,
,4063.555434,0.004856,,,4063.555433,0.004867,,-1E-06,0.00%,,,0.004867,,0.00%,,,
a13-G,4040.543287,0.1814379,,,4040.543287,0.1813739,,0,-0.01%,,,0.1813739,,0.00%,,,
,4041.545971,0.278305,,,4041.545971,0.278207,,0,-0.01%,,,0.278207,,0.00%,,,
,4042.5485,0.244862,,,4042.5485,0.244839,,0,0.00%,,,0.244839,,0.00%,,,
,4043.550969,0.157321,,,4043.550968,0.157363,,-1E-06,0.00%,,,0.157363,,0.00%,,,
,4044.553396,0.081491,,,4044.553395,0.081548,,-1E-06,0.01%,,,0.081548,,0.00%,,,
,4045.555793,0.035852,,,4045.555792,0.035895,,-1E-06,0.00%,,,0.035895,,0.00%,,,
,4046.558168,0.013838,,,4046.558167,0.013861,,-1E-06,0.00%,,,0.013861,,0.00%,,,
,4047.560524,0.004789,,,4047.560523,0.0048,,-1E-06,0.00%,,,0.0048,,0.00%,,,
a14,4496.633984,0.1482006,,,4496.633984,0.1481436,,0,-0.01%,,,0.1481436,,0.00%,,,
,4497.636638,0.255011,,,4497.636638,0.254913,,0,-0.01%,,,0.254913,,0.00%,,,
,4498.639162,0.247365,,,4498.639162,0.247327,,0,0.00%,,,0.247327,,0.00%,,,
,4499.641628,0.173958,,,4499.641628,0.173989,,0,0.00%,,,0.173989,,0.00%,,,
,4500.644055,0.098138,,,4500.644054,0.098195,,-9.99999E-07,0.01%,,,0.098195,,0.00%,,,
,4501.646453,0.046859,,,4501.646452,0.046908,,-1E-06,0.00%,,,0.046908,,0.00%,,,
,4502.648828,0.019576,,,4502.648827,0.019606,,-1E-06,0.00%,,,0.019606,,0.00%,,,
,4503.651186,0.007318,,,4503.651185,0.007333,,-1E-06,0.00%,,,0.007333,,0.00%,,,
,4504.65353,0.002487,,,4504.653528,0.002494,,-2E-06,0.00%,,,0.002494,,0.00%,,,
a14-A,4361.579489,0.1594263,,,4361.579489,0.1593649,,0,-0.01%,,,0.1593649,,0.00%,,,
,4362.582181,0.262635,,,4362.582181,0.262534,,0,-0.01%,,,0.262534,,0.00%,,,
,4363.584723,0.246464,,,4363.584723,0.24643,,0,0.00%,,,0.24643,,0.00%,,,
,4364.587204,0.168432,,,4364.587204,0.168468,,0,0.00%,,,0.168468,,0.00%,,,
,4365.589643,0.092625,,,4365.589642,0.092684,,-1E-06,0.01%,,,0.092684,,0.00%,,,
,4366.592051,0.043207,,,4366.592051,0.043255,,0,0.00%,,,0.043255,,0.00%,,,
,4367.594437,0.017664,,,4367.594436,0.017693,,-9.99999E-07,0.00%,,,0.017693,,0.00%,,,
,4368.596803,0.00647,,,4368.596802,0.006484,,-1E-06,0.00%,,,0.006484,,0.00%,,,
,4369.599155,0.002157,,,4369.599154,0.002163,,-9.99999E-07,0.00%,,,0.002163,,0.00%,,,
a14-G,4345.584574,0.1598144,,,4345.584574,0.1597535,,0,-0.01%,,,0.1597535,,0.00%,,,
,4346.587266,0.263213,,,4346.587266,0.263113,,0,-0.01%,,,0.263113,,0.00%,,,
,4347.589809,0.246635,,,4347.589809,0.246602,,0,0.00%,,,0.246602,,0.00%,,,
,4348.592291,0.168207,,,4348.592291,0.168244,,0,0.00%,,,0.168244,,0.00%,,,
,4349.594731,0.09228,,,4349.59473,0.092339,,-1E-06,0.01%,,,0.092339,,0.00%,,,
,4350.59714,0.042932,,,4350.597139,0.042979,,-9.99999E-07,0.00%,,,0.042979,,0.00%,,,
,4351.599526,0.017501,,,4351.599525,0.01753,,-1E-06,0.00%,,,0.01753,,0.00%,,,
,4352.601894,0.006391,,,4352.601893,0.006405,,-1E-06,0.00%,,,0.006405,,0.00%,,,
,4353.604246,0.002124,,,4353.604245,0.00213,,-9.99999E-07,0.00%,,,0.00213,,0.00%,,,
a15,4841.681419,0.1281922,,,4841.681419,0.1281393,,0,-0.01%,,,0.1281393,,0.00%,,,
,4842.684063,0.237416,,,4842.684063,0.237318,,0,-0.01%,,,0.237318,,0.00%,,,
,4843.686589,0.2458,,,4843.686589,0.245752,,0,0.00%,,,0.245752,,0.00%,,,
,4844.689058,0.183781,,,4844.689057,0.183803,,-1E-06,0.00%,,,0.183803,,0.00%,,,
,4845.691487,0.10994,,,4845.691487,0.109996,,0,0.01%,,,0.109996,,0.00%,,,
,4846.693889,0.055559,,,4846.693888,0.055612,,-1E-06,0.01%,,,0.055612,,0.00%,,,
,4847.696268,0.024531,,,4847.696267,0.024566,,-9.99999E-07,0.00%,,,0.024566,,0.00%,,,
,4848.69863,0.00968,,,4848.698628,0.009699,,-2E-06,0.00%,,,0.009699,,0.00%,,,
,4849.700977,0.00347,,,4849.700975,0.003479,,-2E-06,0.00%,,,0.003479,,0.00%,,,
a15-A,4706.626924,0.1379022,,,4706.626924,0.1378453,,0,-0.01%,,,0.1378453,,0.00%,,,
,4707.629603,0.245285,,,4707.629603,0.245184,,0,-0.01%,,,0.245184,,0.00%,,,
,4708.632146,0.246104,,,4708.632146,0.246059,,0,0.00%,,,0.246059,,0.00%,,,
,4709.634629,0.179067,,,4709.634629,0.179095,,0,0.00%,,,0.179095,,0.00%,,,
,4710.637071,0.104542,,,4710.63707,0.104601,,-1E-06,0.01%,,,0.104601,,0.00%,,,
,4711.639483,0.051667,,,4711.639482,0.05172,,-1E-06,0.01%,,,0.05172,,0.00%,,,
,4712.641871,0.022345,,,4712.64187,0.022379,,-9.99999E-07,0.00%,,,0.022379,,0.00%,,,
,4713.644241,0.008648,,,4713.64424,0.008666,,-1E-06,0.00%,,,0.008666,,0.00%,,,
,4714.646596,0.003044,,,4714.646595,0.003052,,-9.99999E-07,0.00%,,,0.003052,,0.00%,,,
a15-G,4690.632009,0.1382379,,,4690.632009,0.1381814,,0,-0.01%,,,0.1381814,,0.00%,,,
,4691.634688,0.245829,,,4691.634688,0.245729,,0,-0.01%,,,0.245729,,0.00%,,,
,4692.637232,0.246325,,,4692.637232,0.246281,,0,0.00%,,,0.246281,,0.00%,,,
