m/z,z,intensity,name
1425.90619,4,142856143,w18
1140.53059,5,234896232,w18
1454.94645,4,160212950,w18+CMC-A
1163.75626,5,67868409,w18+CMC-A
1113.52254,5,64798361,w18-A
1541.20926,4,57125791,w19+CMC-A
1229.56612,5,381606893,w19+CMC-G
1651.47793,4,66266470,w20+CMC
1617.72555,4,33514419,w20+CMC-A
1033.61284,6,32458992,w20-G
1382.19250,5,210353739,w21+CMC
1443.19919,5,299264174,w22+CMC
1202.49777,6,183200883,w22+CMC
1362.74715,5,83842318,w22-G
1311.01120,6,249667202,w24+CMC
1546.40795,5,25093804,w24+CMC-A
1288.50127,6,85371915,w24+CMC-A
1285.83500,6,77453180,w24+CMC-G
1361.84997,6,252147530,w25+CMC
1197.15528,7,140840190,w26+CMC-A
1194.86984,7,143667511,w26+CMC-G
548.10310,1,1309076399,y02
893.15161,1,3582093205,y03
782.10664,1,12745295,y03-C
742.10138,1,33157146,y03-G
1222.20388,1,2104680644,y04
610.59794,2,414185783,y04
1087.14930,1,41713914,y04-A
1527.24478,1,533400110,y05
763.11907,2,2727635367,y05
1392.18831,1,336413571,y05-A
695.59221,2,20896470,y05-A
1416.20578,1,68569556,y05-C
707.59742,2,38714604,y05-C
1832.28573,1,105702239,y06
915.63964,2,4580539214,y06
848.11198,2,64990640,y06-A
860.11902,2,110699655,y06-C
840.11519,2,69488505,y06-G
1068.65213,2,2885824377,y07
712.09877,3,21354923,y07
1001.12573,2,65702980,y07-A
1013.13127,2,63130791,y07-C
993.12666,2,48372149,y07-G
1241.17516,2,3790711768,y08
827.11547,3,686055671,y08
1366.77547,2,207770614,y08+CMC
1173.64911,2,165865147,y08-A
1185.65509,2,146612029,y08-C
790.10011,3,38138430,y08-C
1165.65144,2,211524728,y08-G
1413.70013,2,2775585027,y09
942.13116,3,4302120880,y09
1539.29938,2,233359355,y09+CMC
1025.86467,3,97248428,y09+CMC
897.11274,3,119002423,y09-A
1358.17622,2,218229138,y09-C
905.11714,3,224974233,y09-C
1338.17367,2,420054234,y09-G
891.78098,3,272236991,y09-G
1566.71264,2,585154118,y10
1044.13895,3,3376669601,y10
1692.31558,2,75146941,y10+CMC
1127.87331,3,269544569,y10+CMC
999.12038,3,144873756,y10-A
1007.12465,3,180435419,y10-C
993.78971,3,301908069,y10-G
1731.23353,2,161844627,y11
1153.82333,3,3050905317,y11
865.11641,4,242382294,y11
1237.55254,3,210084051,y11+CMC
1108.80457,3,343901192,y11-A
831.35321,4,31573050,y11-A
1675.71758,2,29828962,y11-C
1116.80914,3,137371253,y11-C
837.35582,4,16644944,y11-C
1655.70598,2,38793728,y11-G
1103.47268,3,411115675,y11-G
1895.76612,2,40824983,y12
1263.50808,3,2810088166,y12
947.37860,4,2486325086,y12
1347.24331,3,344712882,y12+CMC
1010.17833,4,69684109,y12+CMC
1302.22371,3,51139552,y12+CMC-A
1218.49144,3,401279084,y12-A
913.61548,4,244024827,y12-A
1226.49093,3,83895608,y12-C
919.61791,4,120234467,y12-C
1213.15817,3,377135610,y12-G
909.61621,4,190435323,y12-G
1365.51618,3,1116990295,y13
1023.88549,4,2440754228,y13
1449.24842,3,280192381,y13+CMC
1086.68507,4,241561222,y13+CMC
1320.49703,3,149395030,y13-A
990.12110,4,210938466,y13-A
1328.50247,3,93531814,y13-C
996.12381,4,87865493,y13-C
1315.16100,3,186875093,y13-G
986.12245,4,267517250,y13-G
1467.52539,3,444277338,y14
1100.39152,4,1846354232,y14
1551.25845,3,155306563,y14+CMC
1163.19100,4,342196603,y14+CMC
1066.62764,4,246764418,y14-A
1072.63009,4,69090493,y14-C
1417.17533,3,90747294,y14-G
1062.62890,4,190220816,y14-G
1569.53351,3,306975461,y15
1176.89874,4,1123402310,y15
941.31701,5,296954048,y15
1653.26527,3,117558908,y15+CMC
1239.69768,4,351963679,y15+CMC
1205.93308,4,106705160,y15+CMC-A
1524.51055,3,47668901,y15-A
1143.13378,4,192756563,y15-A
914.30591,5,28304903,y15-A
1149.13729,4,58166950,y15-C
1519.18104,3,79838197,y15-G
1139.13450,4,289968378,y15-G
911.10869,5,17646624,y15-G
1253.15974,4,587340386,y16
1002.32578,5,454217656,y16
1754.94688,3,22720587,y16+CMC
1315.95901,4,375858274,y16+CMC
1052.56235,5,36052846,y16+CMC
1219.39656,4,98382610,y16-A
980.11785,5,36776718,y16-C
1215.39570,4,108297633,y16-G
972.11590,5,33293940,y16-G
1329.41527,4,744445252,y17
1063.33367,5,659758986,y17
1392.21882,4,522943533,y17+CMC
1113.57407,5,122467712,y17+CMC
1354.45853,4,50619781,y17+CMC-G
1295.65088,4,63135611,y17-A
1036.32110,5,126013375,y17-A
1041.12432,5,38492876,y17-C
1291.65395,4,147386681,y17-G
1033.12299,5,103391493,y17-G
1405.92413,4,307663343,y18
1124.53910,5,892695692,y18
1468.72351,4,184855289,y18+CMC
1174.77883,5,296826158,y18+CMC
1434.95986,4,44281314,y18+CMC-A
1097.52693,5,159120448,y18-A
1102.33084,5,52913939,y18-C
1368.15931,4,67712799,y18-G
1094.32836,5,107790567,y18-G
1492.18278,4,547072121,y19
1193.54816,5,2082465516,y19
1554.98378,4,251158096,y19+CMC
1243.78711,5,1226940077,y19+CMC
1458.42238,4,86210542,y19-A
1166.53676,5,295636019,y19-A
1171.33939,5,87373128,y19-C
1454.41800,4,189631358,y19-G
1163.33702,5,86387768,y19-G
1631.49501,4,93268242,y20+CMC
1304.99298,5,1252399608,y20+CMC
1277.98242,5,118220678,y20+CMC-A
1593.73302,4,43516875,y20+CMC-G
1274.78430,5,128565549,y20+CMC-G
1227.74162,5,476741400,y20-A
1224.54354,5,485261188,y20-G
1315.95858,5,445424474,y21
1708.00039,4,21891113,y21+CMC
1366.19968,5,1731254534,y21+CMC
1339.18582,5,348718238,y21+CMC-A
1343.99200,5,112200201,y21+CMC-C
1335.98854,5,416710878,y21+CMC-G
1285.74724,5,200286949,y21-G
1376.96368,5,126292165,y22
1427.20734,5,918557621,y22+CMC
1400.19721,5,157637870,y22+CMC-A
1404.99726,5,68698485,y22+CMC-C
1396.99720,5,209871969,y22+CMC-G
1445.97344,5,367163870,y23
1496.21468,5,871474637,y23+CMC
1246.67789,6,985882756,y23+CMC
1469.20185,5,132293727,y23+CMC-A
1224.17012,6,98835734,y23+CMC-A
1474.00644,5,74694028,y23+CMC-C
1228.17144,6,120402650,y23+CMC-C
1466.00719,5,219382427,y23+CMC-G
1418.96382,5,73145428,y23-A
1423.76669,5,29717192,y23-C
1415.76629,5,97954207,y23-G
1557.42374,5,72125647,y24+CMC
1297.68412,6,2481778705,y24+CMC
1275.17347,6,457907668,y24+CMC-A
1279.17762,6,184772378,y24+CMC-C
1272.50866,6,391687729,y24+CMC-G
1348.52521,6,1470565407,y25+CMC
1326.01629,6,235686517,y25+CMC-A
1323.34847,6,279939286,y25+CMC-G
1406.03134,6,2083097696,y26+CMC
1205.02547,7,379027886,y26+CMC
1383.52283,6,369360908,y26+CMC-A
1387.52357,6,220139370,y26+CMC-C
1380.85688,6,558135459,y26+CMC-G
1183.44438,7,42524046,y26+CMC-G
