spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0403_0x_134_7.csv
limit_error:	6.5	2020-03-23
noise_limit:	2000000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1401.842114	3	13163181.55611437	c13+DEPC	-0.63	0.33	C125H157N46O94P13	1.8
1479.516673	3	254040728.92	c14	0.2	0.02	C131H165N49O99P14	1.6
1109.384531	4	111164808.53	c14	-0.84	0.06	C131H165N49O99P14	1.0
1524.210234	3	18479966.68	c14+2DEPC+H2O-CO	5.17	0.32	C136H175N49O103P14	2.3
1131.38573	4	8574492.11	c14+2DEPC+H2O-CO-Eth	-3.31	0.45	C134H169N49O102P14	3.9
1473.856472	3	8414380.464295382	c14+2DEPC+H2O-CO-G	2.66	0.46	C131H170N44O102P14	4.2
1429.169124	3	13506052.16	c14-G	1.78	0.31	C126H160N44O98P14	1.5
1594.531691	3	148507720.43	c15	-0.31	0.04	C141H177N54O106P15	1.1
1195.647338	4	248848285.55	c15	0.01	0.04	C141H177N54O106P15	1.9
1191.39368	4	11048465.71	c15+2DEPC+H2O-CO-G	-4.84	0.49	C141H182N49O109P15	7.4
1213.660068	4	17234462.83	c15+DEPC	6.15	0.29	C144H181N54O108P15	1.6
1544.180589	3	30068587.24	c15-G	-1.17	0.13	C136H172N49O105P15	0.6
1157.884586	4	42684686.61	c15-G	-0.33	0.06	C136H172N49O105P15	0.4
1709.546956	3	49511190.17	c16	-0.61	0.12	C151H189N59O113P16	0.8
1281.910596	4	140781367.1092628	c16	1.1	0.05	C151H189N59O113P16	1.2
1277.656549	4	8986787.124895116	c16+2DEPC+H2O-CO-G	-3.73	0.4	C151H194N54O116P16	2.5
1244.150008	4	37829904.37	c16-G	2.55	0.27	C146H184N54O112P16	2.8
1368.173619	4	87765104.27682582	c17	1.88	0.12	C161H201N64O120P17	1.5
1390.175665	4	10377636.37	c17+2DEPC+H2O-CO-Eth	0.44	0.37	C164H205N64O123P17	2.1
1352.405284	4	11298199.4	c17+2DEPC+H2O-CO-Eth-G	-5.48	0.44	C159H200N59O122P17	4.6
1330.409306	4	11567948.83	c17-G	0.46	0.35	C156H196N59O119P17	1.9
1444.679495	4	471931006.21	c18	1.47	0.01	C170H212N66O128P18	2.6
1155.540262	5	105372621.11	c18	-0.15	0.03	C170H212N66O128P18	0.7
1478.193121	4	41208181.26869804	c18+2DEPC+H2O-CO	0.86	0.13	C175H222N66O132P18	0.8
1182.347011	5	9186818.04	c18+2DEPC+H2O-CO	-4.24	0.53	C175H222N66O132P18	9.2
1466.683545	4	35064755.67	c18+2DEPC+H2O-CO-Eth	1.48	0.15	C173H216N66O131P18	0.8
1440.42573	4	24287195.32	c18+2DEPC+H2O-CO-G	-2.61	0.21	C170H217N61O131P18	1.0
1950.578627	3	13095368.62	c18+DEPC	-0.34	0.36	C173H216N66O130P18	2.4
1462.675828	4	13011277.41	c18+DEPC	-4.66	0.44	C173H216N66O130P18	5.3
1460.184274	4	11061576.71	c18+DEPC+H2O-CO	-1.57	0.47	C172H218N66O130P18	6.1
1406.91808	4	61075996.40699452	c18-G	2.18	0.07	C165H207N61O127P18	0.6
1530.942822	4	98111217.54	c19	2.35	0.04	C180H224N71O135P19	0.7
1224.552762	5	35936529.580693096	c19	2.32	0.27	C180H224N71O135P19	2.7
1515.182826	4	11486682.43	c19+2DEPC+H2O-CO-Eth-G	1.28	0.35	C178H223N66O137P19	1.9
1548.943779	4	10052483.05	c19+DEPC	-0.47	0.45	C183H228N71O137P19	4.5
1493.178265	4	18439622.34	c19-G	0.93	0.28	C175H219N66O134P19	1.5
1194.338392	5	12792681.610099485	c19-G	-1.38	0.42	C175H219N66O134P19	4.3
1613.209467	4	16739209.237753745	c20	4.41	0.35	C190H236N76O141P20	2.8
1290.3593	5	56747409.26	c20	-0.88	0.11	C190H236N76O141P20	0.9
1317.176132	5	22573759.71	c20+2DEPC+H2O-CO	3.13	0.25	C195H246N76O145P20	1.4
1277.755674	5	9530109.048328819	c20+2DEPC+H2O-CO-Eth-G	1.5	0.35	C188H235N71O143P20	1.6
1382.98492	5	146279484.21	c21+2DEPC+H2O-CO	1.74	0.05	C205H258N81O151P21	1.2
1364.570359	5	21342465.03	c21+2DEPC+H2O-CO-2Eth	3.36	0.35	C201H246N81O149P21	3.5
1373.773666	5	176812859.86863777	c21+2DEPC+H2O-CO-Eth	-0.35	0.03	C203H252N81O150P21	1.2
980.980856	7	8271370.36	c21+2DEPC+H2O-CO-Eth	1.43	0.43	C203H252N81O150P21	3.0
1343.561685	5	40853128.72	c21+2DEPC+H2O-CO-Eth-G	-1.92	0.12	C198H247N76O149P21	0.7
1451.994252	5	34108914.91663287	c22+2DEPC+H2O-CO	1.55	0.18	C215H270N86O158P22	1.0
1442.785431	5	52212678.94	c22+2DEPC+H2O-CO-Eth	1.25	0.17	C213H264N86O157P22	1.4
1421.784356	5	12279147.79	c22+2DEPC+H2O-CO-G	1.57	0.54	C210H265N81O157P22	13.6
1513.195352	5	13776944.43	c23+2DEPC+H2O-CO	-1.13	0.42	C224H281N88O166P23	4.6
1260.828857	6	28807842.160929214	c23+2DEPC+H2O-CO	-0.65	0.15	C224H281N88O166P23	0.6
1503.989567	5	20390841.95	c23+2DEPC+H2O-CO-Eth	0.58	0.32	C222H275N88O165P23	2.5
1311.668829	6	81180972.68	c24+2DEPC+H2O-CO	-0.81	0.1	C233H293N91O173P24	1.1
1303.994548	6	91703462.81732635	c24+2DEPC+H2O-CO-Eth	-1.3	0.07	C231H287N91O172P24	0.9
1278.827058	6	23750865.88918868	c24+2DEPC+H2O-CO-Eth-G	4.47	0.27	C226H282N86O171P24	1.8
1369.180678	6	77169658.29374889	c25+2DEPC+H2O-CO	2.11	0.07	C243H305N96O180P25	0.8
1361.506364	6	72796571.35	c25+2DEPC+H2O-CO-Eth	1.63	0.09	C241H299N96O179P25	0.9
1197.860653	7	19327160.84	c26	-2.18	0.45	C247H307N99O183P26	8.7
1203.862459	7	20242879.64	c26+2DEPC+H2O-CO-2Eth	2.39	0.33	C248H305N99O185P26	2.7
1210.438183	7	69081217.62	c26+2DEPC+H2O-CO-Eth	0.99	0.14	C250H311N99O186P26	1.4
1208.151107	7	92537990.79592079	c26+DEPC	-0.74	0.25	C250H311N99O185P26	5.6
1206.722327	7	20565963.729685403	c26+DEPC+H2O-CO	-2.76	0.12	C249H313N99O185P26	0.3
627.08594	1	12216899.57	w02	0.13	0.19	C18H26N6O15P2	0.4
972.13161	1	6458950.535179716	w03	-1.73	0.1	C28H38N11O22P3	0.1
791.096375	2	38950319.17	w05	0.09	0.05	C46H61N16O37P5	0.3
963.61991	2	487346139.42	w06	-0.12	0.02	C56H73N21O44P6	3.0
642.07751	3	65801277.62	w06	-0.12	0.02	C56H73N21O44P6	0.4
1128.145618	2	190690433.28	w07	-0.59	0.02	C66H85N26O50P7	1.2
751.761768	3	104535636.89	w07	0.01	0.06	C66H85N26O50P7	1.0
781.100584	3	8311579.27	w07+2DEPC+H2O-CO-Eth	0.18	0.23	C69H89N26O53P7	0.4
1102.470743	3	7137478.822497199	w10+DEPC	-5.88	0.36	C98H124N38O73P10	1.3
894.864156	4	8245822.76	w11	1.65	0.39	C105H132N43O78P11	2.0
1238.170826	3	20297040.87	w11+2DEPC+H2O-CO	-0.92	0.49	C110H142N43O82P11	13.6
1308.500842	3	16548689.0	w12	-0.74	0.24	C115H144N48O85P12	0.9
1452.861181	3	10801105.921653543	w13+2DEPC+H2O-CO-Eth	3.36	0.31	C128H160N53O95P13	1.2
1318.660543	4	14438698.4	w16+2DEPC+H2O-CO-Eth	-2.15	0.31	C155H194N60O118P16	1.6
1159.141696	5	29424784.34	w18	-0.74	0.16	C170H214N66O129P18	0.7
1176.749165	5	8300526.07	w18+2DEPC+H2O-CO-Eth	2.89	0.58	C173H218N66O132P18	13.7
1224.954772	5	27140245.054479424	w19	1.4	0.28	C180H226N71O135P19	2.2
1242.555337	5	19466112.36517952	w19+2DEPC+H2O-CO-Eth	-0.75	0.57	C183H230N71O138P19	29.1
1285.961973	5	87206265.91884664	w20	0.51	0.07	C189H238N74O142P20	0.9
1641.20974	4	11361345.55	w20+2DEPC+H2O-CO	-5.0	0.35	C194H248N74O146P20	1.9
1312.775145	5	13085816.93734902	w20+2DEPC+H2O-CO	1.71	0.25	C194H248N74O146P20	0.8
1303.562321	5	19288336.0	w20+2DEPC+H2O-CO-Eth	-1.69	0.38	C192H242N74O145P20	4.3
1300.363437	5	16528664.71	w20+DEPC	-1.62	0.35	C192H242N74O144P20	2.7
1939.49131	4	10729606.73	w24+2DEPC+H2O-CO-2Eth	1.38	0.43	C228H283N89O172P24	4.0
1297.665459	6	12158974.72	w24+DEPC	0.74	0.43	C230H289N89O172P24	4.5
1296.005008	6	10059539.174748922	w24+DEPC+H2O-CO	3.53	0.38	C229H291N89O172P24	2.2
1612.40685	5	10084158.033656532	w25+2DEPC+H2O-CO-2Eth	5.67	0.43	C237H295N92O179P25	3.7
1394.01032	6	28215440.13	w26	0.88	0.23	C246H309N97O184P26	1.4
1194.719296	7	32627112.305288285	w26	-1.46	0.14	C246H309N97O184P26	0.7
1401.004642	6	21957009.083353557	w26+2DEPC+H2O-CO-2Eth	-0.11	0.31	C247H307N97O186P26	2.4
1207.294275	7	41030747.19	w26+2DEPC+H2O-CO-Eth	-0.4	0.14	C249H313N97O187P26	0.8
1406.017664	6	137949048.34	w26+DEPC	3.59	0.03	C249H313N97O186P26	0.9
1205.009059	7	96439050.74	w26+DEPC	-0.59	0.06	C249H313N97O186P26	0.9
1404.351678	6	21769543.29	w26+DEPC+H2O-CO	2.22	0.43	C248H315N97O186P26	8.0
547.119692	1	31859018.0	y02	0.29	0.04	C18H25N6O12P1	0.2
892.16696	1	102391812.62	y03	-0.01	0.05	C28H37N11O19P2	0.8
1197.20869	1	35653313.22	y04	0.37	0.04	C37H49N14O26P3	0.3
598.10038	2	20785372.94	y04	-0.18	0.12	C37H49N14O26P3	0.3
751.113616	2	77427387.63	y05	0.63	0.06	C46H60N16O34P4	0.7
923.637373	2	300579713.6	y06	0.56	0.03	C56H72N21O41P5	2.0
1088.163086	2	69096657.22	y07	-0.03	0.08	C66H84N26O47P6	0.8
725.10626	3	20381005.25	y07	-0.08	0.1	C66H84N26O47P6	0.3
1155.196483	2	12239031.67	y07+2DEPC+H2O-CO	3.82	0.22	C71H94N26O51P6	0.6
1132.172935	2	21796973.39	y07+2DEPC+H2O-CO-Eth	1.59	0.09	C69H88N26O50P6	0.3
834.790757	3	33889297.52	y08	0.32	0.14	C76H96N31O53P7	0.7
1319.718825	2	20446726.79	y08+2DEPC+H2O-CO	0.37	0.12	C81H106N31O57P7	0.3
879.474342	3	14059780.99	y08+2DEPC+H2O-CO	-2.41	0.11	C81H106N31O57P7	0.2
848.781782	3	11681940.07	y08+2DEPC+H2O-CO-2Eth	-0.12	0.24	C77H94N31O55P7	0.6
1296.701447	2	34846600.62	y08+2DEPC+H2O-CO-Eth	3.12	0.08	C79H100N31O56P7	0.4
864.129296	3	37593945.48	y08+2DEPC+H2O-CO-Eth	0.14	0.13	C79H100N31O56P7	0.7
1425.217403	2	18038881.85	y09	3.02	0.29	C86H108N36O60P8	1.6
949.806655	3	116639146.91	y09	0.37	0.04	C86H108N36O60P8	0.9
1492.243256	2	15745913.16	y09+2DEPC+H2O-CO	0.81	0.14	C91H118N36O64P8	0.3
994.493356	3	67133558.41	y09+2DEPC+H2O-CO	1.09	0.02	C91H118N36O64P8	0.4
1469.222783	2	26890483.27	y09+2DEPC+H2O-CO-Eth	1.13	0.14	C89H112N36O63P8	0.5
979.145191	3	167013746.4	y09+2DEPC+H2O-CO-Eth	0.21	0.02	C89H112N36O63P8	1.0
973.813961	3	16523660.85	y09+DEPC	0.63	0.26	C89H112N36O62P8	1.1
970.487203	3	10148747.04	y09+DEPC+H2O-CO	2.03	0.3	C88H114N36O62P8	1.0
1051.814586	3	21435362.19	y10	-0.14	0.14	C95H119N38O68P9	0.4
1096.501244	3	25664450.35	y10+2DEPC+H2O-CO	0.49	0.12	C100H129N38O72P9	0.4
1081.153011	3	29889539.350945633	y10+2DEPC+H2O-CO-Eth	-0.38	0.07	C98H123N38O71P9	0.3
1166.831429	3	40966930.2	y11	0.75	0.1	C105H131N43O75P10	0.6
874.870874	4	27780878.94	y11	-0.25	0.07	C105H131N43O75P10	0.3
1211.516861	3	48166247.18	y11+2DEPC+H2O-CO	0.28	0.06	C110H141N43O79P10	0.4
908.387485	4	17830999.0	y11+2DEPC+H2O-CO	2.11	0.19	C110H141N43O79P10	0.6
1180.819185	3	12568988.06	y11+2DEPC+H2O-CO-2Eth	-2.34	0.3	C106H129N43O77P10	1.3
1196.169777	3	62969128.15	y11+2DEPC+H2O-CO-Eth	0.46	0.25	C108H135N43O78P10	3.8
896.874756	4	33013476.38	y11+2DEPC+H2O-CO-Eth	-0.39	0.1	C108H135N43O78P10	0.4
1281.850483	3	31623715.04	y12	3.22	0.41	C115H143N48O82P11	9.5
