spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0403_5x_134.csv
limit_error:	6
noise_limit:	2210000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
1225.477073	3	15852441.13	c12-G	-0.52	0.17	C108H137N39O83P12	0.4
1377.833543	3	156355137.1	c13	-1.75	0.02	C122H153N46O92P13	0.9
1407.181208	3	32522825.775601376	c13+2DEPC+H2O-CO-Eth	4.67	0.22	C125H157N46O95P13	1.3
1398.505649	3	18421795.29038441	c13+DEPC+H2O-CO	-6.6	0.13	C124H159N46O94P13	0.3
1479.517877	3	442846104.72	c14	1.01	0.03	C131H165N49O99P14	2.7
1508.858404	3	34971334.61	c14+2DEPC+H2O-CO-Eth	2.21	0.06	C134H169N49O102P14	0.3
1473.853322	3	15106116.86	c14+2DEPC+H2O-CO-G	0.53	0.28	C131H170N44O102P14	1.1
1500.194872	3	31509966.85105266	c14+DEPC+H2O-CO	-0.29	0.27	C133H171N49O101P14	2.1
1594.53146	3	356616455.82	c15	-0.46	0.02	C141H177N54O106P15	2.0
1623.868187	3	21304976.5	c15+2DEPC+H2O-CO-Eth	-1.65	0.37	C144H181N54O109P15	3.9
1618.53634	3	31201655.0	c15+DEPC	-1.79	0.22	C144H181N54O108P15	1.3
1544.179515	3	30426214.81	c15-G	-1.86	0.25	C136H172N49O105P15	1.7
1709.541111	3	334800086.71	c16	-4.03	0.04	C151H189N59O113P16	2.3
1281.910599	4	35649835.9	c16	1.1	0.29	C151H189N59O113P16	2.9
1754.231951	3	17075673.41	c16+2DEPC+H2O-CO	-1.15	0.4	C156H199N59O117P16	4.2
1738.887203	3	27544397.22	c16+2DEPC+H2O-CO-Eth	0.3	0.35	C154H193N59O116P16	4.1
1659.196653	3	54452682.99	c16-G	-0.93	0.07	C146H184N54O112P16	0.5
1244.147369	4	9056222.11	c16-G	0.43	0.55	C146H184N54O112P16	10.0
1824.567718	3	162319680.48	c17	2.14	0.03	C161H201N64O120P17	1.0
1368.172049	4	46941441.55	c17	0.74	0.12	C161H201N64O120P17	0.7
1774.218107	3	48266578.32	c17-G	2.31	0.16	C156H196N59O119P17	1.1
1926.571831	3	111624606.09	c18	-0.22	0.05	C170H212N66O128P18	0.8
1444.673681	4	112850652.02291685	c18	-2.55	0.05	C170H212N66O128P18	0.8
1478.194731	4	12512642.9416652	c18+2DEPC+H2O-CO	1.95	0.44	C175H222N66O132P18	4.6
1876.223327	3	27457869.19	c18-G	0.47	0.14	C165H207N61O127P18	0.5
2041.584943	3	21293729.2	c19	-1.53	0.43	C180H224N71O135P19	7.1
1530.941146	4	291255804.02	c19	1.25	0.07	C180H224N71O135P19	2.7
1564.460434	4	10582756.226766448	c19+2DEPC+H2O-CO	4.3	0.49	C185H234N71O139P19	6.4
1552.941153	4	11685891.933020065	c19+2DEPC+H2O-CO-Eth	-1.34	0.58	C183H228N71O138P19	17.5
1493.177155	4	70314214.67	c19-G	0.19	0.13	C175H219N66O134P19	1.2
1613.204257	4	128898669.73297319	c20	1.18	0.08	C190H236N76O141P20	1.3
1646.716559	4	88686942.04	c20+2DEPC+H2O-CO	-0.17	0.1	C195H246N76O145P20	1.1
1635.201009	4	90369719.2712463	c20+2DEPC+H2O-CO-Eth	-3.28	0.12	C193H240N76O144P20	1.4
1628.708043	4	15486495.943396652	c20+DEPC+H2O-CO	-2.15	0.29	C192H242N76O143P20	1.3
1728.98263	4	192285097.79921752	c21+2DEPC+H2O-CO	1.54	0.08	C205H258N81O151P21	1.9
1717.466976	4	173775281.97	c21+2DEPC+H2O-CO-Eth	-1.47	0.03	C203H252N81O150P21	1.1
1679.703803	4	52971607.15	c21+2DEPC+H2O-CO-Eth-G	-1.99	0.17	C198H247N76O149P21	1.3
1815.239944	4	71219457.23	c22+2DEPC+H2O-CO	-1.03	0.08	C215H270N86O158P22	0.7
1803.727096	4	57312123.43	c22+2DEPC+H2O-CO-Eth	-2.36	0.1	C213H264N86O157P22	0.7
1765.975151	4	10317598.984208567	c22+2DEPC+H2O-CO-Eth-G	3.48	0.53	C208H259N81O156P22	9.4
1777.472399	4	11230567.73	c22+2DEPC+H2O-CO-G	-3.98	0.48	C210H265N81O157P22	6.2
1513.193828	5	71898465.84207757	c23+2DEPC+H2O-CO	-2.14	0.16	C224H281N88O166P23	1.6
1503.990752	5	67034964.62	c23+2DEPC+H2O-CO-Eth	1.37	0.16	C222H275N88O165P23	1.5
