spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0801_65_6.csv
limit_error:	6
noise_limit:	2470000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1474.218627	4	29634964.57561768	w18+CMCT-G	0.7	0.35	C179H234N64O129P18	
1411.417847	4	13352473.9	w18-G	0.14	0.54	C165H209N61O128P18	
1493.683688	4	14300415.12	w19-G	1.94	0.39	C175H221N66O134P19	
1670.502811	4	50746333.68	w20+CMCT	-0.35	0.15	C203H263N77O143P20	
1752.761943	4	23107654.54	w21+CMCT	-2.62	0.32	C213H275N82O149P21	
1473.984206	5	10293711.788994418	w23	-0.63	0.45	C217H273N84O163P23	
1524.227306	5	59191346.5	w23+CMCT	1.46	0.03	C231H298N87O164P23	
1494.020279	5	11709229.205384951	w23+CMCT-G	3.4	0.39	C226H293N82O163P23	
1654.240963	5	40594226.03	w25+CMCT	-1.13	0.18	C250H322N95O178P25	
1435.8727	6	173914882.72	w26+CMCT	-2.1	0.31	C260H334N100O185P26	
1410.700392	6	26793594.35	w26+CMCT-G	-0.3	0.3	C255H329N95O184P26	
1368.838198	6	10088231.329477178	w26-G	2.93	0.41	C241H304N92O183P26	
547.11974	1	24390091.8	y02	0.38	0.18	C18H25N6O12P1	
892.167549	1	202588781.43	y03	0.65	0.03	C28H37N11O19P2	
1197.20869	1	64912182.31	y04	0.37	0.11	C37H49N14O26P3	
598.101085	2	12661843.09	y04	1.0	0.11	C37H49N14O26P3	
751.113323	2	80572150.13	y05	0.24	0.05	C46H60N16O34P4	
1352.17886	1	9755518.29	y05-G	-3.91	0.16	C41H55N11O33P4	
923.637228	2	188705249.86	y06	0.4	0.04	C56H72N21O41P5	
1049.236626	2	21280229.06	y06+CMCT	-0.11	0.09	C70H97N24O42P5	
1088.16237	2	136693273.89	y07	-0.69	0.05	C66H84N26O47P6	
1213.764245	2	31361099.13	y07+CMCT	1.03	0.12	C80H109N29O48P6	
1012.637675	2	10878682.33	y07-G	-0.73	0.22	C61H79N21O46P6	
1252.690552	2	158909394.67	y08	0.94	0.03	C76H96N31O53P7	
834.790369	3	31623789.94	y08	-0.15	0.06	C76H96N31O53P7	
1378.29139	2	41372083.94	y08+CMCT	1.55	0.03	C90H121N34O54P7	
1425.213932	2	90073685.19135122	y09	0.59	0.05	C86H108N36O60P8	
949.806282	3	107916819.84	y09	-0.02	0.04	C86H108N36O60P8	
1550.816646	2	23267394.35	y09+CMCT	2.37	0.37	C100H133N39O61P8	
1703.826242	2	24794423.47	y10+CMCT	0.36	0.32	C109H144N41O69P9	
1750.74182	2	12781793.99	y11	-4.37	0.35	C105H131N43O75P10	
1876.357333	2	36180914.83	y11+CMCT	4.26	0.19	C119H156N46O76P10	
1250.564075	3	56842299.38	y11+CMCT	0.22	0.1	C119H156N46O76P10	
1281.847205	3	187629488.24	y12	0.66	0.02	C115H143N48O82P11	
1365.58122	3	114326127.2	y12+CMCT	1.18	0.05	C129H168N51O83P11	
1231.49554	3	20987340.58	y12-G	-0.83	0.22	C110H138N43O81P11	
1396.860879	3	194237204.11	y13	-0.93	0.03	C125H155N53O89P12	
1430.247745	3	14583339.35	y13+CMCT-G	1.48	0.51	C134H175N51O89P12	
1346.514199	3	45170114.05	y13-G	1.36	0.11	C120H150N48O88P12	
1498.545949	3	80000190.94	y14	2.23	0.03	C134H167N56O96P13	
1582.279566	3	59787533.35	y14+CMCT	2.34	0.15	C148H192N59O97P13	
1600.545965	3	22251067.22	y15	-3.17	0.34	C143H178N58O104P14	
1684.289542	3	56393610.84	y15+CMCT	3.12	0.16	C157H203N61O105P14	
1786.293589	3	87228317.13	y16+CMCT	0.48	0.04	C166H214N63O113P15	
1352.928411	4	32136789.119841147	y17	0.23	0.23	C161H201N63O119P16	
1887.975072	3	76329027.15	y17+CMCT	1.02	0.08	C175H226N66O120P16	
1415.731344	4	30511501.2	y17+CMCT	2.33	0.22	C175H226N66O120P16	
1429.18339	4	17218447.0	y18	-3.52	0.36	C170H213N66O126P17	
1989.660889	3	35035204.0	y18+CMCT	3.67	0.18	C184H238N69O127P17	
1491.984789	4	40006704.45	y18+CMCT	-2.4	0.23	C184H238N69O127P17	
1511.446481	4	44572617.58	y19	-3.36	0.2	C180H225N71O132P18	
2099.341011	3	13628983.89	y19+CMCT	1.55	0.46	C194H250N74O133P18	
1574.252944	4	146538996.51	y19+CMCT	0.92	0.05	C194H250N74O133P18	
1473.690378	4	32522471.4949876	y19-G	0.8	0.08	C175H220N66O131P18	
1587.716129	4	28166474.39	y20	2.68	0.26	C189H237N74O139P19	
1650.51425	4	106761796.79	y20+CMCT	1.47	0.05	C203H262N77O140P19	
1612.751737	4	15456535.91	y20+CMCT-G	1.41	0.35	C198H257N72O139P19	
1669.97023	4	31970046.44	y21	-2.86	0.18	C199H249N79O145P20	
1732.780327	4	214521054.65	y21+CMCT	3.1	0.04	C213H274N82O146P20	
1695.017554	4	27476577.19	y21+CMCT-G	2.92	0.36	C208H269N77O145P20	
1746.232291	4	14207434.94	y22	-1.74	0.42	C208H261N82O152P21	
1809.037309	4	110369554.73	y22+CMCT	1.13	0.07	C222H286N85O153P21	
1885.545174	4	91245540.2	y23+CMCT	1.9	0.08	C231H297N87O161P22	
1508.234037	5	39801445.545117304	y23+CMCT	1.47	0.11	C231H297N87O161P22	
1847.780309	4	32259083.05	y23+CMCT-G	0.58	0.19	C226H292N82O160P22	
1478.028776	5	89752296.6	y23+CMCT-G	4.63	0.21	C226H292N82O160P22	
