spectrum:	/users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/test.csv
limit_error:	6
noise_limit:	2000000.0
shape_limit:	0.7
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev 	formula 
1418.26469	2	10743139.777563252	c08+CMCT	-1.79	0	
1418.76737	2	5279342.986975038	c08+CMCT	-0.77	0	
1418.76737	2	10300134.193403348	w08+CMCT	-4.52	1	
1419.27567	2	2102211.2726146434	c08+CMCT	4.23	0	
1419.27567	2	6881704.089284672	w08+CMCT	0.44	1	
1426.71408	2	9629082.901462665	y09	-1.95	1	
1426.71408	6	7570633.577129397	a26+CMCT	-0.82	1	
1454.88114	6	100230309.9367453	RNA+CMCT-G	0.09	1	
1454.88114	6	483050437.86652553	RNA+CMCT-A-H2O	1.27	1	
1455.04867	6	337224217.0925236	RNA+CMCT-G	0.38	1	
1455.04867	6	608093389.5289986	RNA+CMCT-A-H2O	1.57	1	
1455.21567	6	600635039.8398061	RNA+CMCT-A-H2O	1.51	1	
1455.21567	6	604325617.7194805	RNA+CMCT-G	0.3	1	
1455.38266	6	493906256.8211455	RNA+CMCT-A-H2O	1.44	1	
1455.38266	6	760803422.9083213	RNA+CMCT-G	0.23	1	
1455.54963	6	350766923.0062336	RNA+CMCT-A-H2O	1.36	1	
1455.54963	6	751513522.6699226	RNA+CMCT-G	0.14	1	
1455.71666	6	220567457.34031615	RNA+CMCT-A-H2O	1.33	1	
1455.71666	6	618000552.0956794	RNA+CMCT-G	0.11	1	
1455.88373	6	125026198.8554443	RNA+CMCT-A-H2O	1.33	1	
1455.88373	6	438918440.91160136	RNA+CMCT-G	0.1	1	
1456.05065	6	64752949.727463916	RNA+CMCT-A-H2O	1.22	1	
1456.05065	6	276009811.27975357	RNA+CMCT-G	-0.01	1	
1456.21836	6	30965888.511912532	RNA+CMCT-A-H2O	1.66	1	
1456.21836	6	156461036.4158472	RNA+CMCT-G	0.42	1	
1456.38443	5	2840145.112752786	c23-G	5.69	0	
1456.38443	6	13787560.184648352	RNA+CMCT-A-H2O	0.97	1	
1456.38443	6	81035095.4910864	RNA+CMCT-G	-0.26	1	
1456.55348	6	5756264.4950731145	RNA+CMCT-A-H2O	2.33	1	
1456.55348	6	38752634.38797738	RNA+CMCT-G	1.09	1	
1473.69364	4	3794863.017653174	y19-G	3.01	1	
1473.69364	4	8916432.112443147	a19-G	4.76	1	
1473.94618	4	7857806.41471288	a19-G	6.05	1	
1473.94618	4	8439009.55650491	y19-G	4.27	1	
1474.18969	4	5517349.394456101	a19-G	1.23	1	
1474.18969	4	10362482.51652444	y19-G	-0.57	1	
1474.18969	5	3060983.378009929	w23	2.72	1	
1478.22713	5	10765999.161083354	y23+CMCT-G	3.14	0	
1478.22713	6	93134688.03577615	RNA+CMCT-H2O	2.26	1	
1487.59133	3	1956957.1241646104	a14+CMCT-G	6.8	1	
1487.59133	5	2043642.7271070164	c23	1.89	1	
1494.21632	2	2175690.7525865994	a10-G	6.66	1	
1494.21632	5	4037616.3415409494	a23+CMCT-A	-4.37	1	
1508.22905	4	24869496.061025415	c18+CMCT	-0.15	1	
1508.22905	5	1660918.4211110445	y23+CMCT	-1.84	0	
1509.23166	4	2703847.6500488175	c18+CMCT	-0.06	1	
1509.23166	5	5440180.538487383	y23+CMCT	-1.83	1	
1511.69711	4	5790129.947982398	a19	-1.64	1	
1511.69711	4	7955998.723988	y19	-3.39	1	
1511.94964	4	4157431.788145255	a19	-0.38	1	
1511.94964	4	10038983.245370252	y19	-2.14	1	
1512.19737	4	2510500.5369617217	a19	-2.29	1	
1512.19737	4	9065863.895408431	y19	-4.06	1	
1513.23191	3	5986682.677576253	c14+CMCT-G	-1.44	1	
1513.23191	4	4960571.252363356	w18+CMCT	-0.83	1	
1574.25206	4	9613956.326556046	y19+CMCT	0.36	1	
1574.25206	4	22601690.2745769	a19+CMCT	2.0	1	
1574.5016	4	21502823.449553978	a19+CMCT	1.3	1	
1574.5016	4	23691939.100313373	y19+CMCT	-0.37	1	
1574.75386	4	16192940.849735845	a19+CMCT	2.34	1	
1574.75386	4	31701014.865559343	y19+CMCT	0.65	1	
1575.0041	4	10220538.485587595	a19+CMCT	2.09	1	
1575.0041	4	30161857.244043555	y19+CMCT	0.4	1	
1575.25543	4	5601408.026420465	a19+CMCT	2.55	1	
1575.25543	4	22715261.8941314	y19+CMCT	0.85	1	
1575.50493	4	2730175.3545863903	a19+CMCT	1.84	1	
1575.50493	4	14338043.797076333	y19+CMCT	0.14	1	
1594.24034	4	7916014.070854635	w19+CMCT	-1.72	0	
1594.24034	4	41267199.42458643	c19+CMCT	-0.1	1	
1594.4934	4	19517688.825416163	w19+CMCT	-0.22	1	
1594.4934	4	39392167.394288905	c19+CMCT	1.42	1	
1594.7435	4	26175665.931312323	w19+CMCT	-0.57	1	
1594.7435	4	29786080.630231846	c19+CMCT	1.09	1	
1594.99177	4	18887648.753639527	c19+CMCT	-0.38	1	
1594.99177	4	24987975.475429013	w19+CMCT	-2.06	1	
1595.24903	4	10404548.13293273	c19+CMCT	3.78	1	
1595.24903	4	18895739.05995053	w19+CMCT	2.1	1	
1639.25012	4	4555820.003571467	c20+CMCT-G	4.61	0	
1639.25012	5	21901889.76938951	y25+CMCT	-1.25	1	
1677.25474	4	18316665.894954506	c20+CMCT	-0.46	1	
1677.25474	5	5030248.00665701	y26+CMCT-G	2.99	0	
1696.02273	4	4509831.749056273	y21+CMCT-G	4.43	1	
1696.02273	5	1684866.1309166176	RNA-G	2.05	1	
1696.02273	5	4364214.738857066	RNA-A-H2O	3.29	1	
1696.21604	4	5142781.413062716	c21	-0.82	1	
1696.21604	5	2887876.197302515	RNA-G	-2.2	1	
1696.21604	5	4152871.4368515834	RNA-A-H2O	-0.96	1	

 
 
peak list: 
m/z 	z 	Int 	fragment 	error	used?
344.04076	1	5648123.0564298695	c01	1.75	1	
345.04268153	1	741675.0066758939	c01	0.0	1	
346.04466253	1	126297.29259255307	c01	0.0	1	
347.04699953	1	12314.998129953214	c01	0.0	1	
689.088	1	31364595.06811802	c02	0.59	1	
690.0913	1	8237194.327901952	c02	1.71	1	
691.09224853	1	1943474.8266167445	c02	0.0	1	
692.09454153	1	320978.1016221132	c02	0.0	1	
538.03818	1	6875305.204980908	c02-G	-0.01	1	
539.0409835300001	1	1298758.0068468903	c02-G	0.0	1	
540.04294053	1	299752.0595670546	c02-G	0.0	1	
541.04542453	1	41149.122882829884	c02-G	0.0	1	
994.12928	1	146274674.1386542	c03	0.4	1	
995.13274	1	54960116.67842395	c03	1.26	1	
996.13448	1	16364718.655114958	c03	0.78	1	
997.1360305300001	1	3561880.4163416317	c03	0.0	1	
998.13826053	1	665855.013024981	c03	0.0	1	
496.5607	2	3486095.6937917275	c03	-0.2	1	
497.06210503	2	1309838.6799435285	c03	0.0	1	
497.56321453	2	390012.66329694574	c03	0.0	1	
498.06437703	2	84888.62514531724	c03	0.0	1	
498.56549203	2	15869.010184194398	c03	0.0	1	
1245.32539	1	4224282.483072117	c03+CMCT	-2.61	1	
1246.3313675299999	1	2291831.685506173	c03+CMCT	0.0	1	
