spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/2409_90_6.csv
limit_error:	6
noise_limit:	1500000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
(1477.829054, 3, 22752201.86, 'c14', 0.52, 0.2, 'C130H162N44O104P14')	
(1479.972995, 5, 61875801.58, 'w23+DEPC+H2O', -1.5, 0.14, 'C218H275N76O171P23')	
(1507.838746, 3, 60093685.33, 'c14+DEPC+H2O', -0.07, 0.06, 'C133H168N44O107P14')	
(1507.180656, 5, 61003884.05, 'y24', -0.01, 0.06, 'C224H279N78O173P23')	
(1508.841124, 3, 13195748.54, 'w14+DEPC+H2O-Eth', -1.2, 0.31, 'C133H165N49O103P14')	
(1534.677851, 4, 1.14376033e+08, 'w19+DEPC+H2O', -5.31, 0.06, 'C181H229N64O141P19')	
(1535.679259, 2, 12623391.97, 'a10+DEPC+H2O-G', -5.34, 0.45, 'C92H116N29O73P9')	
(1534.427433, 4, 1.36735211e+08, 'c19+DEPC+H2O', -0.43, 0.05, 'C181H226N63O142P19')	
(1569.530705, 3, 66613980.13, 'y15', -1.24, 0.04, 'C141H175N51O106P14')	
(1606.689663, 2, 24527505.87, 'w10', -3.51, 0.09, 'C94H119N35O73P10')	
(1607.435197, 4, 18555255.77, 'y21-G', -0.99, 0.35, 'C191H239N63O150P20')	
(1610.852373, 3, 33009462.58, 'w15+DEPC+H2O-Eth', 0.62, 0.23, 'C142H176N51O111P15')	
(1614.395538, 5, 58003178., 'c25+DEPC+H2O', 2.15, 0.11, 'C238H297N86O184P25')	
(1620.943527, 4, 35471982.43, 'a21-A', 6.4, 0.34, 'C192H237N65O151P20')	
(1620.692888, 4, 63393071.91, 'c20+DEPC+H2O', 1.81, 0.1, 'C191H238N68O149P20')	
(1769.458205, 4, 9623470.99, 'a23-G', 1.78, 0.41, 'C210H261N71O164P22')	
(1829.220433, 3, 21730936.61, 'c17+DEPC+H2O', 2.62, 0.21, 'C162H203N56O127P17')	
(1850.218635, 4, 14309087.75, 'w23+DEPC+H2O', -1.19, 0.37, 'C218H275N76O171P23')	

 
 
peak list: 
m/z 	z 	I 	fragment 	error_/ppm	used?
434.07222	1	2045076.1234500105	c01+DEPC+H2O	0.85	1	
435.07456752999997	1	339168.0421982463	c01+DEPC+H2O	0.0	1	
436.07653753	1	68448.61687411998	c01+DEPC+H2O	0.0	1	
437.07897253	1	8237.863177498219	c01+DEPC+H2O	0.0	1	
689.08486	1	3565010.1380112916	c02	-3.97	1	
690.09011653	1	936268.465253985	c02	0.0	1	
691.09224853	1	220902.18109977228	c02	0.0	1	
692.09454153	1	36483.49943231432	c02	0.0	1	
779.11854	1	8284663.0031842	c02+DEPC+H2O	-0.96	1	
780.12208	1	2461868.222614081	c02+DEPC+H2O	0.21	1	
781.12407553	1	642955.411543175	c02+DEPC+H2O	0.0	1	
782.12641753	1	118566.5954753859	c02+DEPC+H2O	0.0	1	
994.12901	1	10378832.295534026	c03	0.13	1	
995.13188	1	3899662.3120666817	c03	0.4	1	
996.13370553	1	1161148.8556387902	c03	0.0	1	
997.1360305300001	1	252731.1013724391	c03	0.0	1	
998.13826053	1	47245.345470919565	c03	0.0	1	
1084.16031	1	19037431.227813475	c03+DEPC+H2O	-0.24	1	
1085.16133	1	7810369.652557238	c03+DEPC+H2O	-1.77	1	
1086.16549953	1	2502024.3507175255	c03+DEPC+H2O	0.0	1	
1087.1678585299999	1	588198.4701772183	c03+DEPC+H2O	0.0	1	
1088.1701125299999	1	118457.88971861951	c03+DEPC+H2O	0.0	1	
1038.11886	1	2218842.8259513024	c03+DEPC+H2O-Eth	0.15	1	
1039.12133953	1	859565.7599730273	c03+DEPC+H2O-Eth	0.0	1	
1040.1235585299999	1	267086.8119975076	c03+DEPC+H2O-Eth	0.0	1	
1041.1258965299999	1	60456.5469265237	c03+DEPC+H2O-Eth	0.0	1	
1042.12812853	1	11799.235554477953	c03+DEPC+H2O-Eth	0.0	1	
1300.15532	1	6475535.321336954	c04	0.87	1	
1301.15687553	1	3143535.457375052	c04	0.0	1	
1302.15671	1	1133150.4188249917	c04	-1.89	1	
1303.16153853	1	303117.40282560454	c04	0.0	1	
1304.16381953	1	68758.153928466	c04	0.0	1	
649.57304	2	2649186.4536095522	c04	-0.64	1	
650.0747995300001	2	1286042.1782704315	c04	0.0	1	
650.57594653	2	463579.70275627705	c04	0.0	1	
651.07713103	2	124007.43375963999	c04	0.0	1	
651.57827153	2	28129.438096383477	c04	0.0	1	
1390.18977	1	7276057.090993211	c04+DEPC+H2O	2.8	1	
1391.19001	1	3783406.667867924	c04+DEPC+H2O	1.0	1	
1392.19094253	1	1443046.944103505	c04+DEPC+H2O	0.0	1	
1393.19333553	1	409323.4344907978	c04+DEPC+H2O	0.0	1	
1394.1956375299999	1	98257.43739862538	c04+DEPC+H2O	0.0	1	
694.58866	2	5271605.133639834	c04+DEPC+H2O	-0.92	1	
695.09073	2	2741131.0499018095	c04+DEPC+H2O	0.08	1	
695.5918330300001	2	1045507.695099861	c04+DEPC+H2O	0.0	1	
696.0930295300001	2	296560.55355198303	c04+DEPC+H2O	0.0	1	
696.59418053	2	71188.88773564895	c04+DEPC+H2O	0.0	1	
1149.10445	1	3092110.3400077666	c04-G	-0.28	1	
1150.1076225299998	1	1273096.2290439291	c04-G	0.0	1	
1151.10986753	1	433502.98715469573	c04-G	0.0	1	
1152.1123105299998	1	106523.40181408884	c04-G	0.0	1	
1153.11458453	1	22790.50274988842	c04-G	0.0	1	
822.09761	2	5372891.423623365	c05	0.54	1	
822.59831	2	3313791.31104928	c05	-0.23	1	
823.09967153	2	1402838.9984637888	c05	0.0	1	
