spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0807_9.csv
limit_error:	6.5	2020-07-09
noise_limit:	3140000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
972.13271	1	26554137.0	w03	-0.6	0.08	C28H38N11O22P3	0.2
658.08551	2	11259493.0	w04	-1.85	0.34	C38H50N16O29P4	1.1
822.613084	2	23049459.0	w05	0.12	0.14	C48H62N21O35P5	0.3
975.135968	2	51700486.0	w06	2.4	0.09	C57H74N24O42P6	0.4
899.61083	2	7063926.0	w06-G	2.12	0.43	C52H69N19O41P6	1.7
1139.659878	2	21821647.0	w07	-0.01	0.2	C67H86N29O48P7	0.5
1292.670087	2	30425426.0	w08	-1.9	0.15	C76H97N31O56P8	0.4
861.444105	3	20492738.0	w08	-2.13	0.11	C76H97N31O56P8	0.2
1515.277961	2	29106177.0	w09+CMCT-G	4.31	0.48	C95H129N34O63P9	11.3
1091.478586	3	11645903.0	w10	0.94	0.47	C96H121N41O70P10	4.1
1193.156884	3	39484201.0	w11	-0.93	0.2	C105H133N44O77P11	0.9
894.617997	4	14998751.0	w11	1.48	0.49	C105H133N44O77P11	6.4
1386.57555	3	12333355.0	w12+CMCT	0.1	0.3	C129H170N52O84P12	0.8
2004.837596	2	10101829.0	w12+CMCT-G	-2.22	0.24	C124H165N47O83P12	0.3
1417.862809	3	573306625.0	w13	3.41	0.44	C125H157N54O90P13	146.4
1139.644162	4	23728407.0	w14	-3.36	0.13	C134H168N56O98P14	0.3
911.517201	5	20750407.0	w14	0.29	0.26	C134H168N56O98P14	0.9
1469.517089	3	23805699.0	w14-G	0.33	0.23	C129H163N51O97P14	0.7
1621.550283	3	14072983.0	w15	2.13	0.34	C143H180N59O105P15	1.3
1654.920613	3	25570377.0	w15+CMCT-G	-5.85	0.02	C152H200N57O105P15	0.1
1441.232907	4	40002684.0	w17+CMCT	1.72	0.29	C176H229N70O120P17	2.3
2031.666829	3	17354904.0	w18+CMCT	3.11	0.45	C186H241N75O126P18	5.0
1030.965112	6	8073424.0	w19	-2.7	0.26	C182H228N77O132P19	0.4
1648.505633	4	33799730.0	w20+CMCT-G	3.79	0.28	C200H259N77O140P20	1.8
1364.379787	5	29758440.0	w21	0.95	0.33	C201H251N84O146P21	2.6
1414.62715	5	97754739.0	w21+CMCT	6.15	0.09	C215H276N87O147P21	0.8
1850.78013	4	46956081.0	w22+CMCT	-4.25	0.2	C225H288N92O153P22	1.1
1480.429766	5	65201028.0	w22+CMCT	0.55	0.18	C225H288N92O153P22	1.3
1450.224099	5	20038555.0	w22+CMCT-G	3.47	0.43	C220H283N87O152P22	4.7
1541.432961	5	29660160.0	w23+CMCT	-2.75	0.37	C234H300N95O160P23	3.8
1621.408229	5	13236953.0	w25	-2.2	0.34	C239H298N99O174P25	1.2
1671.648336	5	81492191.0	w25+CMCT	-2.04	0.14	C253H323N102O175P25	1.1
1392.88138	6	89009406.0	w25+CMCT	4.4	0.04	C253H323N102O175P25	0.4
1591.208073	5	23961428.0	w25-G	3.87	0.38	C234H293N94O173P25	3.4
1443.708044	6	64828123.0	w26+CMCT	-5.14	0.18	C262H335N105O182P26	1.3
1418.541836	6	40501882.0	w26+CMCT-G	0.9	0.44	C257H330N100O181P26	10.3
1501.227052	6	56330842.0	w27+CMCT	2.45	0.16	C272H347N110O189P27	0.9
1434.183754	6	76242703.0	w27-G	1.34	0.28	C253H317N102O187P27	4.0
1556.067376	6	32237802.0	w28+CMCT	1.24	0.03	C282H359N115O195P28	0.1
1664.412754	6	19816033.0	w30+CMCT	-0.49	0.39	C301H383N123O209P30	3.1
1426.499498	7	2188843588.0	w30+CMCT	2.23	0.04	C301H383N123O209P30	10.7
1404.918752	7	138227076.0	w30+CMCT-G	0.66	0.12	C296H378N118O208P30	1.4
1673.38999	6	124977477.0	w31	1.69	0.23	C296H370N123O215P31	4.1
1434.188906	7	49219002.0	w31	0.66	0.46	C296H370N123O215P31	15.6
1470.073624	7	34792597.0	w31+CMCT	-0.01	0.23	C310H395N126O216P31	1.1
1448.496923	7	25171761.0	w31+CMCT-G	1.22	0.14	C305H390N121O215P31	0.3
1519.363702	7	38251535.0	w32+CMCT	-1.6	0.09	C320H407N131O223P32	0.3
1617.9444	7	50280978.0	w34+CMCT	-4.15	0.21	C340H431N141O237P34	1.3
1596.368979	7	16985075.0	w34+CMCT-G	-2.28	0.57	C335H426N136O236P34	16.2
1453.837536	8	74844303.0	w35+CMCT	2.11	0.28	C349H442N143O245P35	3.9
1434.946094	8	49324472.0	w35+CMCT-G	-5.02	0.22	C344H437N138O244P35	1.4
1441.67527	8	23093809.0	w36-G	-5.7	0.42	C339H424N138O250P36	4.9
1498.825226	8	19163952.0	w37	4.94	0.43	C353H440N145O259P37	4.5
1530.217814	8	35217370.0	w37+CMCT	0.01	0.33	C367H465N148O260P37	3.0
1370.504006	9	25782069.0	w38	-3.79	0.43	C363H452N150O266P38	6.1
1398.414254	9	768437102.0	w38+CMCT	-4.31	0.14	C377H477N153O267P38	10.3
547.11853	1	27982836.0	y02	-1.83	0.18	C18H25N6O12P1	0.5
892.167269	1	272570443.0	y03	0.34	0.04	C28H37N11O19P2	1.3
1237.215897	1	137692508.0	y04	1.21	0.05	C38H49N16O26P3	0.7
618.102913	2	55587447.0	y04	-1.05	0.12	C38H49N16O26P3	0.6
782.629805	2	335392832.0	y05	-0.02	0.07	C48H61N21O32P4	2.2
935.151523	2	260652176.0	y06	1.13	0.04	C57H73N24O39P5	1.2
1099.675524	2	278369779.0	y07	-1.09	0.02	C67H85N29O45P6	1.1
732.781955	3	17085756.0	y07	-0.14	0.21	C67H85N29O45P6	0.4
1252.691694	2	154633259.0	y08	1.85	0.04	C76H96N31O53P7	0.7
834.790412	3	83681808.0	y08	-0.1	0.09	C76H96N31O53P7	0.7
1378.284433	2	64283760.0	y08+CMCT	-3.5	0.12	C90H121N34O54P7	0.7
1425.215062	2	579296308.0	y09	1.38	0.04	C86H108N36O60P8	2.8
949.806645	3	527488037.0	y09	0.36	0.03	C86H108N36O60P8	2.3
1550.816049	2	99159576.0	y09+CMCT	1.98	0.09	C100H133N39O61P8	0.8
1033.537619	3	22408530.0	y09+CMCT	-1.88	0.33	C100H133N39O61P8	1.9
904.789421	3	15405033.0	y09-A	1.42	0.28	C81H103N31O60P8	0.8
899.457471	3	17429509.0	y09-G	1.08	0.28	C81H103N31O59P8	0.9
1597.733686	2	159933173.0	y10	-1.96	0.05	C96H120N41O67P9	0.8
1064.820643	3	332158373.0	y10	-1.38	0.03	C96H120N41O67P9	1.4
1723.340147	2	146699077.0	y10+CMCT	2.0	0.03	C110H145N44O68P9	0.6
1148.555129	3	51581835.0	y10+CMCT	-0.21	0.16	C110H145N44O68P9	0.8
1522.215233	2	30379640.0	y10-G	2.05	0.06	C91H115N36O66P9	0.2
1014.47356	3	18943493.0	y10-G	1.23	0.3	C91H115N36O66P9	1.2
1750.250768	2	19929831.0	y11	-3.82	0.27	C105H132N44O74P10	0.9
1166.5051	3	156494385.0	y11	2.19	0.05	C105H132N44O74P10	0.8
1875.86531	2	39774702.0	y11+CMCT	4.25	0.19	C119H157N47O75P10	0.8
