spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0203_1x_134.csv
limit_error:	6
noise_limit:	1850000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1456.173599	5	19141654.91	c23-G	-1.37	0.4	C214H266N83O161P23	
1574.201306	5	133133960.31484611	c24+2DEPC+H2O-CO	-2.55	0.08	C233H293N91O173P24	
1564.995794	5	164252554.72	c24+2DEPC+H2O-CO-Eth	-0.74	0.05	C231H287N91O172P24	
1534.788136	5	99425616.59	c24+2DEPC+H2O-CO-Eth-G	0.7	0.12	C226H282N86O171P24	
1930.249476	4	11393692.074474057	c24+2DEPC+H2O-CO-G	1.74	0.42	C228H288N86O172P24	
1561.797417	5	15238225.45	c24+DEPC	-0.35	0.52	C231H287N91O171P24	
1517.18826	5	20347690.09	c24-G	2.9	0.34	C223H278N86O168P24	
1643.216701	5	36213799.494391404	c25+2DEPC+H2O-CO	1.15	0.25	C243H305N96O180P25	
1634.00118	5	44446456.02938879	c25+2DEPC+H2O-CO-Eth	-3.22	0.14	C241H299N96O179P25	
1603.795039	5	18422816.833851706	c25+2DEPC+H2O-CO-Eth-G	-0.94	0.31	C236H294N91O178P25	
1404.674888	6	137848708.44792727	c26+2DEPC+H2O-CO-2Eth	2.97	0.47	C248H305N99O185P26	
1412.34356	6	131725080.05409884	c26+2DEPC+H2O-CO-Eth	-0.57	0.14	C250H311N99O186P26	
1387.16964	6	41162225.39545292	c26+2DEPC+H2O-CO-Eth-G	0.13	0.11	C245H306N94O185P26	
1409.680129	6	146791283.79664123	c26+DEPC	1.12	0.15	C250H311N99O185P26	
1689.818958	5	28344661.73287602	c26+DEPC+H2O-CO	0.07	0.16	C249H313N99O185P26	
1408.012705	6	32807790.609448146	c26+DEPC+H2O-CO	-1.27	0.1	C249H313N99O185P26	
627.085703	1	27205711.15	w02	-0.25	0.04	C18H26N6O15P2	
972.135097	1	24325595.23	w03	1.85	0.11	C28H38N11O22P3	
791.096352	2	77869378.73	w05	0.06	0.06	C46H61N16O37P5	
963.620683	2	469021363.55	w06	0.69	0.03	C56H73N21O44P6	
1128.144962	2	456316543.16	w07	-1.17	0.01	C66H85N26O50P7	
751.760779	3	14532058.54	w07	-1.31	0.21	C66H85N26O50P7	
1172.153324	2	10812705.22	w07+2DEPC+H2O-CO-Eth	-0.84	0.12	C69H89N26O53P7	
1164.158139	2	19608721.84	w07+DEPC	1.11	0.11	C69H89N26O52P7	
1159.165481	2	13885517.09	w07+DEPC+H2O-CO	0.7	0.1	C68H91N26O52P7	
1336.681339	2	44862632.8	w08+2DEPC+H2O-CO-Eth	0.58	0.12	C79H101N31O59P8	
890.785303	3	11810385.55	w08+2DEPC+H2O-CO-Eth	0.77	0.15	C79H101N31O59P8	
1465.203331	2	8631572.211921541	w09	4.83	0.29	C86H109N36O63P9	
1000.470287	3	10229223.39	w09+DEPC	1.5	0.29	C89H113N36O65P9	
1078.471922	3	24912413.73	w10	1.61	0.15	C95H120N38O71P10	
1107.807921	3	16448245.64	w10+2DEPC+H2O-CO-Eth	-0.85	0.42	C98H124N38O74P10	
1193.484143	3	39606616.55	w11	-1.55	0.1	C105H132N43O78P11	
1222.825638	3	28851709.6	w11+2DEPC+H2O-CO-Eth	0.79	0.05	C108H136N43O81P11	
1826.749492	2	10354260.52	w11+DEPC	3.45	0.37	C108H136N43O80P11	
1308.499062	3	25184425.32	w12	-2.1	0.22	C115H144N48O85P12	
1353.182106	3	9873008.142988527	w12+2DEPC+H2O-CO	-4.19	0.25	C120H154N48O89P12	
1337.837977	3	29912831.006057043	w12+2DEPC+H2O-CO-Eth	-1.88	0.19	C118H148N48O88P12	
1423.516661	3	6306713.511160615	w13	-0.67	0.4	C125H156N53O92P13	
1437.515377	3	133592032.0284318	w13+2DEPC+H2O-CO-2Eth	4.43	0.47	C126H154N53O94P13	
1444.187403	3	21668521.65	w13+DEPC+H2O-CO	-6.33	0.31	C127H162N53O94P13	
1449.181583	4	37490140.98600266	w18	1.09	0.17	C170H214N66O129P18	
1482.698848	4	10358145.72	w18+2DEPC+H2O-CO	2.94	0.38	C175H224N66O133P18	
1956.588496	3	8830455.0	w18+DEPC	2.9	0.44	C173H218N66O131P18	
1464.693385	4	11098065.582086297	w18+DEPC+H2O-CO	2.85	0.35	C172H220N66O131P18	
2042.252337	3	5335152.729811134	w19	-3.72	0.57	C180H226N71O135P19	
1607.7013	4	105517636.16225274	w20	-1.34	0.04	C189H238N74O142P20	
1629.700367	4	22275686.413701735	w20+2DEPC+H2O-CO-Eth	-4.36	0.3	C192H242N74O145P20	
1625.706494	4	27852500.87	w20+DEPC	-1.38	0.26	C192H242N74O144P20	
1766.221405	4	15153342.070235448	w22	-3.12	0.19	C208H262N82O155P22	
1776.720206	4	5525472.594887386	w22+2DEPC+H2O-CO-2Eth	-0.14	0.54	C209H260N82O157P22	
1788.23299	4	8489088.73	w22+2DEPC+H2O-CO-Eth	1.16	0.58	C211H266N82O158P22	
1491.590248	5	24192720.214670796	w23+2DEPC+H2O-CO-Eth	1.28	0.19	C220H277N84O166P23	
1542.992816	5	8425269.41	w24	-1.17	0.52	C227H285N89O170P24	
1603.995551	5	13509176.68446496	w25	-4.57	0.36	C236H297N92O177P25	
1612.393016	5	23285738.769837834	w25+2DEPC+H2O-CO-2Eth	-2.91	0.26	C237H295N92O179P25	
1621.603965	5	21147911.48	w25+2DEPC+H2O-CO-Eth	-1.31	0.29	C239H301N92O180P25	
1673.005542	5	20740509.31	w26	-4.08	0.38	C246H309N97O184P26	
1416.346696	6	23952879.206904244	w26+2DEPC+H2O-CO	-3.8	0.19	C251H319N97O188P26	
1681.410641	5	29110406.65	w26+2DEPC+H2O-CO-2Eth	2.05	0.29	C247H307N97O186P26	
1401.009021	6	12183920.29	w26+2DEPC+H2O-CO-2Eth	3.02	0.44	C247H307N97O186P26	
1690.621761	5	31545899.09440318	w26+2DEPC+H2O-CO-Eth	3.66	0.2	C249H313N97O187P26	
1408.678512	6	106082202.14795734	w26+2DEPC+H2O-CO-Eth	0.06	0.29	C249H313N97O187P26	
1687.421628	5	155812364.78	w26+DEPC	2.98	0.08	C249H313N97O186P26	
1406.012455	6	95019759.14	w26+DEPC	-0.11	0.15	C249H313N97O186P26	
1685.422461	5	80509591.83980496	w26+DEPC+H2O-CO	1.62	0.14	C248H315N97O186P26	
547.119233	1	21068817.97	y02	-0.55	0.05	C18H25N6O12P1	
892.167209	1	234805164.12	y03	0.27	0.04	C28H37N11O19P2	
1197.208608	1	84053679.81	y04	0.3	0.01	C37H49N14O26P3	
598.10037	2	9484586.17	y04	-0.2	0.14	C37H49N14O26P3	
751.112513	2	88989693.46	y05	-0.83	0.04	C46H60N16O34P4	
1352.18312	1	7371373.901217307	y05-G	-0.76	0.16	C41H55N11O33P4	
923.637083	2	269676925.15	y06	0.25	0.02	C56H72N21O41P5	
848.112479	2	10543556.3	y06-G	0.39	0.42	C51H67N16O40P5	
1088.163464	2	137154365.27	y07	0.32	0.03	C66H84N26O47P6	
1155.194568	2	10394678.94	y07+2DEPC+H2O-CO	2.16	0.44	C71H94N26O51P6	
1132.172571	2	27947438.39	y07+2DEPC+H2O-CO-Eth	1.27	0.15	C69H88N26O50P6	
1252.690757	2	64022460.09	y08	1.1	0.02	C76H96N31O53P7	
1319.71824	2	31717157.56	y08+2DEPC+H2O-CO	-0.07	0.12	C81H106N31O57P7	
1273.67606	2	7828320.941907096	y08+2DEPC+H2O-CO-2Eth	-0.32	0.25	C77H94N31O55P7	
1296.700923	2	74717177.84	y08+2DEPC+H2O-CO-Eth	2.72	0.05	C79H100N31O56P7	
864.130319	3	10849837.0	y08+2DEPC+H2O-CO-Eth	1.33	0.25	C79H100N31O56P7	
