spectrum:	/users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1311_1_6.csv
limit_error:	6
noise_limit:	1600000.0
shape_limit:	0.7
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev 	formula 
1453.684244	2	10430675.3	w09	1.1	0.65	C85H108N33O65P9	
1180.477332	3	30259672.65	w11	-1.09	0.08	C104H131N40O79P11	
1349.405782	4	23476209.32	w17	-3.05	0.22	C159H200N57O123P17	
1883.275598	3	69059400.11	w17+CMCT	-3.51	0.18	C173H225N60O124P17	
1412.204566	4	18321050.61	w17+CMCT	-3.73	0.32	C173H225N60O124P17	
1425.920337	4	15510774.85	w18	2.89	0.23	C168H211N59O131P18	
1985.280567	3	56842766.7	w18+CMCT	-5.07	0.19	C182H236N62O132P18	
1488.706701	4	155676772.99	w18+CMCT	-6.35	0.17	C182H236N62O132P18	
1934.947392	3	8488082.84	w18+CMCT-G	3.39	0.47	C177H231N57O131P18	
2100.296778	3	19666283.49	w19+CMCT	-4.6	0.32	C192H248N67O139P19	
1574.970885	4	325302046.86	w19+CMCT	-4.53	0.15	C192H248N67O139P19	
1537.210061	4	20725879.81	w19+CMCT-G	-3.65	0.43	C187H243N62O138P19	
1727.998884	4	8976998.42	w21+CMCT	4.75	0.44	C210H270N71O155P21	
1804.248024	4	33455523.58	w22+CMCT	-1.64	0.16	C219H282N74O162P22	
1461.974535	5	86278839.12	w23	3.87	0.25	C215H269N76O168P23	
1890.510472	4	45380940.7	w23+CMCT	-1.26	0.23	C229H294N79O169P23	
1512.203823	5	164040858.2	w23+CMCT	-3.31	0.27	C229H294N79O169P23	
1481.997186	5	25705678.66	w23+CMCT-G	-1.18	0.23	C224H289N74O168P23	
1523.167813	5	14254397.17	w24	-4.02	0.33	C224H280N78O176P24	
1573.414852	5	19869295.5	w24+CMCT	0.62	0.26	C238H305N81O177P24	
1285.835947	6	6551552.85	w24+CMCT-G	0.38	0.58	C233H300N76O176P24	
1634.416759	5	28339661.87	w25+CMCT	-3.29	0.14	C247H317N84O184P25	
1419.357085	6	104842455.62	w26+CMCT	-0.98	0.24	C257H329N89O191P26	
548.103364	1	20940080.14	y02	-0.33	0.04	C18H24N5O13P1	
893.151855	1	113042012.5	y03	0.98	0.06	C28H36N10O20P2	
1222.203723	1	87905977.98	y04	0.18	0.03	C38H48N15O26P3	
610.597692	2	24569433.77	y04	-0.69	0.11	C38H48N15O26P3	
1473.40686	1	4496867.42	y04+CMCT	2.44	0.43	C52H73N18O27P3	
1527.24981	1	10840997.23	y05	3.29	0.04	C47H60N18O33P4	
763.119383	2	74263106.17	y05	0.82	0.05	C47H60N18O33P4	
915.639178	2	99111681.19	y06	-0.24	0.03	C56H72N21O40P5	
1068.653149	2	107708608.32	y07	1.03	0.04	C65H83N23O48P6	
1241.176101	2	247908360.46	y08	0.27	0.03	C75H95N28O55P7	
827.114083	3	20978869.21	y08	-0.81	0.1	C75H95N28O55P7	
1413.698819	2	114566201.41	y09	-0.47	0.03	C85H107N33O62P8	
942.130112	3	69699592.74	y09	-0.48	0.04	C85H107N33O62P8	
1566.707378	2	27392981.34	y10	-3.04	0.16	C94H118N35O70P9	
1044.139188	3	96418435.84	y10	0.18	0.05	C94H118N35O70P9	
1692.31233	2	10149151.81	y10+CMCT	0.18	0.48	C108H143N38O71P9	
1153.824692	3	155204460.6	y11	1.32	0.03	C104H130N40O76P10	
1237.559255	3	10347452.09	y11+CMCT	2.29	0.31	C118H155N43O77P10	
1103.47566	3	9297907.88	y11-G	2.08	0.44	C99H125N35O75P10	
1263.507349	3	179231762.44	y12	0.0	0.04	C114H142N45O82P11	
1347.242156	3	24523422.11	y12+CMCT	1.16	0.2	C128H167N48O83P11	
1365.517759	3	119244132.24	y13	1.45	0.03	C123H153N47O90P12	
1449.249033	3	38913983.32	y13+CMCT	-0.0	0.2	C137H178N50O91P12	
1467.525351	3	69185385.53	y14	0.78	0.06	C132H164N49O98P13	
1551.258384	3	68840000.97	y14+CMCT	0.59	0.07	C146H189N52O99P13	
2251.858389	2	8763466.35	y14+CMCT-G	-3.0	0.44	C141H184N47O98P13	
1569.527876	3	54847221.54	y15	-3.04	0.07	C141H175N51O106P14	
1176.897995	4	47763847.1	y15	0.28	0.07	C141H175N51O106P14	
1653.270786	3	111493000.67	y15+CMCT	2.95	0.03	C155H200N54O107P14	
1671.209366	3	38282755.88	y16	-2.22	0.16	C150H187N54O113P15	
1253.158168	4	46030968.25	y16	0.14	0.09	C150H187N54O113P15	
1754.941157	3	73256725.54	y16+CMCT	-2.95	0.05	C164H212N57O114P15	
1704.595233	3	6766023.04	y16+CMCT-G	-0.76	0.65	C159H207N52O113P15	
1329.418526	4	49145718.23	y17	0.16	0.13	C159H199N57O120P16	
1856.623832	3	58037323.44	y17+CMCT	-1.58	0.07	C173H224N60O121P16	
1405.926391	4	67175790.82	y18	1.25	0.07	C168H210N59O128P17	
1958.636044	3	36935306.93	y18+CMCT	0.43	0.14	C182H235N62O129P17	
1492.185538	4	116183980.28	y19	-0.64	0.03	C178H222N64O135P18	
2073.659625	3	14827477.12	y19+CMCT	4.16	0.35	C192H247N67O136P18	
1554.989428	4	93947394.44	y19+CMCT	1.92	0.04	C192H247N67O136P18	
1517.217132	4	37460266.13	y19+CMCT-G	-4.58	0.16	C187H242N62O135P18	
1454.415286	4	10070517.18	y19-G	-6.09	0.55	C173H217N59O134P18	
1568.689032	4	49464640.22	y20	-2.41	0.16	C187H233N66O143P19	
1045.454111	6	7720300.93	y20	-5.11	0.41	C187H233N66O143P19	
1631.486943	4	91637158.0	y20+CMCT	-3.57	0.04	C201H258N69O144P19	
1593.724709	4	8229539.18	y20+CMCT-G	-3.58	0.44	C196H253N64O143P19	
1707.995627	4	206976410.95	y21+CMCT	-2.03	0.03	C210H269N71O152P20	
1784.26166	4	131869030.94	y22+CMCT	1.26	0.05	C219H281N74O159P21	
1427.210111	5	11303795.43	y22+CMCT	2.83	0.41	C219H281N74O159P21	
1870.526536	4	104767528.3	y23+CMCT	2.82	0.04	C229H293N79O166P22	
1496.218227	5	64598385.92	y23+CMCT	1.78	0.08	C229H293N79O166P22	
1832.756527	4	18910752.35	y23+CMCT-G	-1.3	0.35	C224H288N74O165P22	
1557.422234	5	220708448.5	y24+CMCT	1.04	0.04	C238H304N81O174P23	
1476.968152	5	7297245.67	y24-G	-1.78	0.55	C219H274N73O172P23	
1618.431624	5	173835461.28	y25+CMCT	1.7	0.03	C247H316N84O181P24	
1588.220357	5	13078138.29	y25+CMCT-G	0.86	0.36	C242H311N79O180P24	
1687.442892	5	375160416.72	y26+CMCT	2.68	0.03	C257H328N89O188P25	
1657.228921	5	60988465.49	y26+CMCT-G	0.27	0.09	C252H323N84O187P25	

 
 



Overlaps:
m/z 	z 	Int 	fragment 	error 	used?
899.09297	2	2993030.965036385	c06-G	-0.15	1	
899.09297	6	728194.4196173951	c17	-6.59	1	
899.5953	2	1963854.381798206	c06-G	0.89	0	
899.5953	6	1339623.9078641438	c17	-5.47	1	
975.12025	1	1509590.3335134361	w03	-2.07	0	
975.12025	2	44749696.57128411	c06	1.12	1	
1068.65312	2	43235013.4206109	y07	1.0	1	
1068.65312	6	13106160.17723224	a20+CMCT-G	2.86	1	
1069.15446	2	35467617.63300924	y07	0.96	1	
1069.15446	6	13011159.479245607	a20+CMCT-G	2.89	1	
1069.65571	2	18633424.568762824	y07	0.98	1	
1069.65571	6	2311171.9899775307	a20+CMCT-G	2.9	1	
1329.41889	4	5205055.671748006	y17	0.44	1	
1329.41889	4	10127543.797983807	a17	5.87	1	
1329.66827	4	10461691.215533327	y17	-0.55	1	
1329.66827	4	11363380.518111438	a17	4.91	1	
1329.92092	4	9209649.218074398	a17	6.42	1	
1329.92092	4	11744283.8272968	y17	0.95	1	
1330.16834	4	5972981.078750079	a17	4.01	1	
1330.16834	4	9517328.818685358	y17	-1.46	1	
1330.42282	4	3273113.6290939148	a17	6.91	0	
1330.42282	4	6169224.24096614	y17	1.43	1	
1349.40432	4	2468145.253620384	w17	-4.13	1	
1349.40432	4	5275236.388002484	c17	1.22	1	
1349.65761	4	4963862.324320439	w17	-2.2	1	
1349.65761	4	5938070.997700284	c17	3.17	1	
1349.9062	4	4834048.2490244685	c17	1.65	1	
1349.9062	4	5590387.596621423	w17	-3.73	1	
1350.159	4	3151786.101376881	c17	3.27	1	
1350.159	4	4550534.302496786	w17	-2.13	1	
1406.17476	4	12658622.232507676	a18	4.75	1	
1406.17476	4	13305884.165004583	y18	-0.4	1	
1406.42696	4	10750468.95638699	a18	5.86	1	
1406.42696	4	15685708.522764279	y18	0.69	1	
1406.67789	4	7295481.081856516	a18	6.07	1	
1406.67789	4	13320711.6640718	y18	0.9	1	
1406.92956	4	4178804.162742121	a18	6.82	1	
1406.92956	4	9035713.481716944	y18	1.64	1	
1407.17889	4	2089903.4523319534	a18	5.9	1	
1407.17889	4	5171797.296142167	y18	0.72	1	
1412.1995	4	1628933.7754219489	w17+CMCT	-7.32	0	
1412.1995	4	7986004.6877970025	c17+CMCT	-2.21	1	
1412.45333	4	3547779.343575059	w17+CMCT	-5.09	1	
1412.45333	4	9585246.3695576	c17+CMCT	0.03	1	
1412.95535	4	3669819.005469317	w17+CMCT	-4.59	1	
1412.95535	4	5665232.542996313	c17+CMCT	0.56	1	
1413.21033	4	2517108.831771183	w17+CMCT	-1.51	1	
1413.21033	4	3273814.671189916	c17+CMCT	3.64	1	
1413.69336	2	2618351.9241396617	a09	5.89	0	
1413.69336	2	34391746.58502379	y09	-4.33	0	
1427.81682	3	3521558.3035166375	c14-G	2.84	1	
1427.81682	5	2292138.8325296873	y22+CMCT	6.4	1	
1438.36064	6	74022303.41589817	RNA+CMCT-G	-2.17	1	
1438.36064	6	336688156.54306585	RNA+CMCT-A-H2O	-0.99	1	
1438.52803	6	243779068.05558974	RNA+CMCT-G	-1.99	1	
