spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0301_neoRibo_6.csv
limit_error:	6
noise_limit:	2470000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1302.1591695299999	1	2259325.642460654	c04	0.0	1	
1303.16153853	1	604368.9429953197	c04	0.0	1	
1304.16381953	1	137093.06171366508	c04	0.0	1	
649.57322	2	19887891.97870145	c04	-0.36	1	
650.07443	2	9654555.000569548	c04	-0.57	1	
650.57594653	2	3480178.032284575	c04	0.0	1	
651.07713103	2	930946.5971964195	c04	0.0	1	
651.57827153	2	211172.8618433717	c04	0.0	1	
822.09676	2	33221510.188680686	c05	-0.5	1	
822.5984	2	20489747.92802545	c05	-0.12	1	
823.10101	2	8674025.445651421	c05	1.63	1	
823.60085253	2	2751528.7646218464	c05	0.0	1	
824.10200403	2	729129.0233076885	c05	0.0	1	
824.60315103	2	166705.2583421204	c05	0.0	1	
974.61825	2	51541403.20559501	c06	0.45	1	
975.11974	2	37618402.299377054	c06	0.6	1	
975.62144	2	18094270.64941605	c06	1.12	1	
976.12154103	2	6526199.37054848	c06	0.0	1	
976.62270603	2	1952296.783667715	c06	0.0	1	
977.12386403	2	503232.86393914744	c06	0.0	1	
899.09429	2	2810798.906033382	c06-G	1.31	1	
899.59449653	2	1844281.764827962	c06-G	0.0	1	
900.09569203	2	838322.1991982528	c06-G	0.0	1	
900.5969015300001	2	285359.6078864298	c06-G	0.0	1	
901.09807303	2	81332.04952836079	c06-G	0.0	1	
901.59924103	2	20010.779969348485	c06-G	0.0	1	
1127.62944	2	20189043.934956953	c07	-0.91	1	
1128.13072	2	16950367.230703574	c07	-0.98	1	
1128.63329	2	9146292.107443858	c07	0.22	1	
1129.13409	2	3696071.4219258353	c07	-0.14	1	
1129.63543203	2	1233419.3118938084	c07	0.0	1	
1130.13660253	2	354303.1085749269	c07	0.0	1	
1253.23021	2	17738647.806885406	c07+CMCT	-0.11	1	
1253.73224	2	17851962.13287576	c07+CMCT	0.41	1	
1254.23323	2	10788471.477912016	c07+CMCT	0.19	1	
1254.73423353	2	4830350.173717447	c07+CMCT	0.0	1	
1255.23544703	2	1762327.0583195335	c07+CMCT	0.0	1	
1255.73664603	2	549783.7254943486	c07+CMCT	0.0	1	
1256.2378325299999	2	151225.44335221723	c07+CMCT	0.0	1	
1280.64308	2	12144734.90277909	c08	-0.03	1	
1281.14376	2	11528999.04994457	c08	-0.57	1	
1281.6396	2	6886498.07034032	c08	-4.78	1	
1282.14505	2	3073990.8306449656	c08	-1.48	1	
1282.64814603	2	1128890.1901398404	c08	0.0	1	
1283.1493285299998	2	356320.94809934765	c08	0.0	1	
1283.65049953	2	99620.3996170119	c08	0.0	1	
853.42554	3	3605288.5965673174	c08	-0.91	1	
853.76116	3	3422501.119813588	c08	0.69	1	
854.0947278633333	3	2044327.287670925	c08	0.0	1	
854.4288751966667	3	912545.5743904912	c08	0.0	1	
854.7630051966667	3	335122.58290269814	c08	0.0	1	
855.0971268633333	3	105777.51273983493	c08	0.0	1	
855.4312408633334	3	29573.333102767458	c08	0.0	1	
1406.2448	2	33709665.91146757	c08+CMCT	1.28	1	
1406.74616	2	37623470.3179951	c08+CMCT	1.26	1	
1407.24723	2	24961934.737751044	c08+CMCT	1.11	1	
1407.74704	2	12237431.78123489	c08+CMCT	0.08	1	
1408.24528	2	4878466.925993217	c08+CMCT	-2.03	0	
1408.75107	2	1660996.04688359	c08+CMCT	1.22	0	
1409.25054803	2	498183.06521163567	c08+CMCT	0.0	1	
968.44189	3	7152770.110936341	c09	-0.25	1	
968.77691	3	7729379.005229034	c09	0.56	1	
969.10964	3	5107458.472732307	c09	-0.92	1	
969.44468253	3	2510476.6085494366	c09	0.0	1	
969.77881453	3	1009596.0217684566	c09	0.0	1	
970.1129378633334	3	348037.23825882317	c09	0.0	1	
970.4470535300001	3	105995.34097592848	c09	0.0	1	
1578.77078	2	11987639.08436495	c09+CMCT	2.58	1	
1579.26917	2	14953570.461690325	c09+CMCT	0.68	1	
1579.77365	2	10901777.38337683	c09+CMCT	2.71	1	
1580.27604	2	5842782.027877015	c09+CMCT	3.43	1	
1580.77184853	2	2536516.5918520037	c09+CMCT	0.0	1	
1581.27305753	2	938155.196765013	c09+CMCT	0.0	1	
1581.77425353	2	305072.9376850367	c09+CMCT	0.0	1	
1582.27544053	2	89128.31263205018	c09+CMCT	0.0	1	
1070.45078	3	9127562.358093634	c10	0.2	1	
1070.78287	3	10864791.303000854	c10	-1.82	1	
1071.11246	3	7799524.190954365	c10	-6.09	1	
1071.4531431966666	3	4152472.0411461447	c10	0.0	1	
1071.7872825299999	3	1803731.5621885257	c10	0.0	1	
1072.1214125299998	3	670582.5272595385	c10	0.0	1	
1072.4555348633332	3	219996.90886531209	c10	0.0	1	
1072.7896508633332	3	65009.3470238144	c10	0.0	1	
1731.78011	2	6954735.151171613	c10+CMCT	0.43	1	
1732.27968	2	9438497.141720455	c10+CMCT	-0.62	1	
1732.78244	2	7428824.463762359	c10+CMCT	0.23	1	
1733.28330603	2	4287186.9431023495	c10+CMCT	0.0	1	
1733.78407	2	2000376.3180896488	c10+CMCT	-0.27	1	
1734.28575703	2	794259.7025650128	c10+CMCT	0.0	1	
1734.78696103	2	277044.04442967207	c10+CMCT	0.0	1	
1735.2881555299998	2	86734.72456384829	c10+CMCT	0.0	1	
1154.18445	3	6905428.629167566	c10+CMCT	0.55	1	
1154.51856	3	9371581.657969076	c10+CMCT	0.42	1	
1154.85209	3	7376156.822374895	c10+CMCT	-0.16	1	
1155.1864451966667	3	4256792.359735659	c10+CMCT	0.0	1	
1155.5206008633331	3	1986194.3835083377	c10+CMCT	0.0	1	
1155.8547458633334	3	788628.6925193102	c10+CMCT	0.0	1	
1156.1888818633333	3	275079.90374338574	c10+CMCT	0.0	1	
1156.5230115299998	3	86119.80717127127	c10+CMCT	0.0	1	
1172.13038	3	14158066.265973648	c11	-0.52	1	
1172.46437	3	18454080.96275994	c11	-0.75	1	
1172.7988	3	14290348.52141348	c11	-0.53	1	
1173.13328	3	8175435.994974634	c11	-0.26	1	
1173.4677291966666	3	3803718.7398188836	c11	0.0	1	
1173.80186353	3	1511727.3147208604	c11	0.0	1	
1174.1359898633332	3	529410.3302402302	c11	0.0	1	
1174.4701098633332	3	166828.15997404966	c11	0.0	1	
1884.30746	2	5509773.488025312	c11+CMCT	3.95	1	
1884.80061	2	8100676.24722088	c11+CMCT	-0.42	1	
1885.30794	2	6842442.3190972535	c11+CMCT	2.78	1	
