spectrum:	/users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1710_134_6n.csv
limit_error:	6
noise_limit:	1800000.0
shape_limit:	0.75
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev 	formula 
1187.492101	6	11085990.88	w22+DEPC+H2O-CO	3.19	0.36	C210H268N82O157P22	
1473.979289	5	10732602.89	w23	-3.97	0.36	C217H273N84O163P23	
1491.587221	5	14968759.5	w23+2DEPC+H2O-CO-Eth	-0.75	0.33	C220H277N84O166P23	
1296.005019	6	20811995.99	w24+DEPC+H2O-CO	3.54	0.42	C229H291N89O172P24	
1603.996718	5	13490153.72	w25	-3.84	0.43	C236H297N92O177P25	
1612.402775	5	15604793.19	w25+2DEPC+H2O-CO-2Eth	3.14	0.38	C237H295N92O179P25	
1394.004015	6	18594003.7	w26	-3.64	0.34	C246H309N97O184P26	
1416.347918	6	94486861.77	w26+2DEPC+H2O-CO	-2.94	0.11	C251H319N97O188P26	
1681.405021	5	28502701.88	w26+2DEPC+H2O-CO-2Eth	-1.3	0.3	C247H307N97O186P26	
1408.680548	6	56084691.84	w26+2DEPC+H2O-CO-Eth	1.5	0.15	C249H313N97O187P26	
1687.42231	5	182742354.63	w26+DEPC	3.39	0.06	C249H313N97O186P26	
1406.015941	6	108076525.61	w26+DEPC	2.37	0.07	C249H313N97O186P26	
547.119492	1	24518952.09	y02	-0.07	0.05	C18H25N6O12P1	
892.167474	1	209055234.87	y03	0.57	0.02	C28H37N11O19P2	
1197.209394	1	69122321.79	y04	0.95	0.04	C37H49N14O26P3	
598.10069	2	11354948.13	y04	0.34	0.1	C37H49N14O26P3	
1180.21193	1	5487203.39	y04+2DEPC+H2O-CO-G	-4.09	0.32	C37H54N9O29P3	
1503.238357	1	18930011.2	y05	3.19	0.14	C46H60N16O34P4	
751.113126	2	86793441.32	y05	-0.02	0.05	C46H60N16O34P4	
1545.209662	1	65054812.19	y05+2DEPC+H2O-CO-2Eth	1.25	0.24	C47H58N16O36P4	
1591.25775	1	5135980.89	y05+2DEPC+H2O-CO-Eth	5.12	0.41	C49H64N16O37P4	
1352.18423	1	7846925.54	y05-G	0.06	0.12	C41H55N11O33P4	
923.637431	2	235151564.66	y06	0.62	0.02	C56H72N21O41P5	
848.11185	2	6617303.28	y06-G	-0.36	0.42	C51H67N16O40P5	
1088.162738	2	153818795.48	y07	-0.35	0.01	C66H84N26O47P6	
1155.19049	2	4417056.99	y07+2DEPC+H2O-CO	-1.37	0.57	C71H94N26O51P6	
1132.175494	2	15521761.99	y07+2DEPC+H2O-CO-Eth	3.85	0.08	C69H88N26O50P6	
1079.660875	2	13079641.69	y07+2DEPC+H2O-CO-G	-6.01	0.27	C66H89N21O50P6	
1124.17625	2	7055411.01	y07+DEPC	2.29	0.55	C69H88N26O49P6	
1252.690265	2	47291401.34	y08	0.71	0.11	C76H96N31O53P7	
1319.718034	2	26134216.47	y08+2DEPC+H2O-CO	-0.22	0.19	C81H106N31O57P7	
1273.675941	2	15750338.29	y08+2DEPC+H2O-CO-2Eth	-0.41	0.13	C77H94N31O55P7	
1296.700447	2	72374089.67	y08+2DEPC+H2O-CO-Eth	2.35	0.05	C79H100N31O56P7	
864.129862	3	13440583.96	y08+2DEPC+H2O-CO-Eth	0.8	0.12	C79H100N31O56P7	
1283.714881	2	9550152.5	y08+DEPC+H2O-CO	5.54	0.25	C78H102N31O55P7	
949.806	3	20812359.22	y09	-0.32	0.12	C86H108N36O60P8	
1492.240226	2	15254864.26	y09+2DEPC+H2O-CO	-1.22	0.13	C91H118N36O64P8	
994.494397	3	22650249.5	y09+2DEPC+H2O-CO	2.14	0.14	C91H118N36O64P8	
1469.222264	2	54982782.58	y09+2DEPC+H2O-CO-Eth	0.78	0.05	C89H112N36O63P8	
979.144314	3	32213092.44	y09+2DEPC+H2O-CO-Eth	-0.68	0.08	C89H112N36O63P8	
1349.684993	2	17932788.58	y09-G	-2.52	0.33	C81H103N31O59P8	
1051.815746	3	23436355.57	y10	0.96	0.06	C95H119N38O68P9	
1096.500566	3	23639926.75	y10+2DEPC+H2O-CO	-0.13	0.15	C100H129N38O72P9	
1622.231164	2	31680176.54	y10+2DEPC+H2O-CO-Eth	-1.6	0.15	C98H123N38O71P9	
1081.15331	3	52844586.94	y10+2DEPC+H2O-CO-Eth	-0.1	0.06	C98H123N38O71P9	
