spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0801_65_2CMCT_6.csv
limit_error:	6
noise_limit:	2000000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 
1503.23124	1	9543896.66	y05	-1.54	0.39	C46H60N16O34P4	
751.113197	2	44590591.6	y05	0.08	0.06	C46H60N16O34P4	
923.636302	2	98184038.17	y06	-0.6	0.04	C56H72N21O41P5	
1049.235957	2	28583967.96	y06+1CMCT	-0.74	0.08	C70H97N24O42P5	
848.11252	2	4400802.69	y06-G	0.43	0.42	C51H67N16O40P5	
1088.162575	2	64656637.24	y07	-0.5	0.05	C66H84N26O47P6	
1213.763813	2	24614276.79	y07+1CMCT	0.67	0.15	C80H109N29O48P6	
1252.689585	2	56744907.42	y08	0.17	0.05	C76H96N31O53P7	
834.791543	3	19443890.69	y08	1.26	0.1	C76H96N31O53P7	
1378.289132	2	48338730.95	y08+1CMCT	-0.09	0.08	C90H121N34O54P7	
1425.212192	2	28271844.61	y09	-0.63	0.17	C86H108N36O60P8	
949.80591	3	56716361.85	y09	-0.42	0.05	C86H108N36O60P8	
1550.814412	2	40209122.12	y09+1CMCT	0.93	0.07	C100H133N39O61P8	
1051.814767	3	39674193.8	y10	0.03	0.07	C95H119N38O68P9	
1135.548128	3	28007850.47	y10+1CMCT	0.12	0.2	C109H144N41O69P9	
1166.831308	3	68972989.34	y11	0.65	0.04	C105H131N43O75P10	
1876.353119	2	19591561.69815201	y11+1CMCT	2.01	0.33	C119H156N46O76P10	
1250.564788	3	72791378.12	y11+1CMCT	0.79	0.05	C119H156N46O76P10	
1281.846489	3	56139531.22	y12	0.1	0.05	C115H143N48O82P11	
1365.581229	3	95359182.5	y12+1CMCT	1.18	0.06	C129H168N51O83P11	
1315.233503	3	14045930.21	y12+1CMCT-G	2.81	0.22	C124H163N46O82P11	
1231.495424	3	10270290.31	y12-G	-0.92	0.39	C110H138N43O81P11	
1396.861027	3	38049568.67	y13	-0.82	0.12	C125H155N53O89P12	
1480.596734	3	110978858.49	y13+1CMCT	0.88	0.12	C139H180N56O90P12	
1564.328361	3	26600772.04	y13+2CMCT	-0.2	0.15	C153H205N59O91P12	
1346.50755	3	11031608.62	y13-G	-3.58	0.31	C120H150N48O88P12	
1582.275027	3	49724899.2	y14+1CMCT	-0.52	0.08	C148H192N59O97P13	
1531.928409	3	13447463.53	y14+1CMCT-G	1.54	0.44	C143H187N54O96P13	
1666.006914	3	9577219.85	y14+2CMCT	-1.32	0.44	C162H217N62O98P13	
1684.2874	3	11713133.83	y15+1CMCT	1.85	0.54	C157H203N61O105P14	
1768.019107	3	28617001.75	y15+2CMCT	0.88	0.15	C171H228N64O106P14	
1786.291731	3	17014674.66	y16+1CMCT	-0.56	0.21	C166H214N63O113P15	
1339.470605	4	8457569.8	y16+1CMCT	2.15	0.51	C166H214N63O113P15	
1870.029007	3	33319997.03	y16+2CMCT	1.62	0.13	C180H239N66O114P15	
1887.980375	3	9500532.85	y17+1CMCT	3.83	0.58	C175H226N66O120P16	
