spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/1411_1_6.csv
limit_error:	6
noise_limit:	2000000.0
shape_limit:	0.7
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev*n 	formula 
1378.1590415299997	3	264546.72784149315	c13	0.0	1	
1459.54526	3	20176356.498242363	c13+CMCT	-5.38	1	
1459.88193	3	34159794.64089001	c13+CMCT	-3.73	1	
1460.2169	3	32766023.743422985	c13+CMCT	-3.21	1	
1460.5557688633332	3	22835389.511199154	c13+CMCT	0.0	1	
1460.8899368633333	3	12785986.8363177	c13+CMCT	0.0	1	
1461.2240931966667	3	6065948.918796051	c13+CMCT	0.0	1	
1461.5582401966665	3	2520014.219070618	c13+CMCT	0.0	1	
1461.8923801966666	3	937408.132886511	c13+CMCT	0.0	1	
1462.2265138633334	3	317158.1876555438	c13+CMCT	0.0	1	
1409.20587	3	2624937.904624955	c13+CMCT-G	1.82	1	
1409.53742	3	4250659.706031421	c13+CMCT-G	-0.12	1	
1409.87466	3	3937826.316242063	c13+CMCT-G	2.03	1	
1410.2059931966667	3	2661181.1097326907	c13+CMCT-G	0.0	1	
1410.5401661966666	3	1448943.719350369	c13+CMCT-G	0.0	1	
1410.87432653	3	669758.0362562935	c13+CMCT-G	0.0	1	
1411.20847753	3	271511.84531411005	c13+CMCT-G	0.0	1	
1411.5426208633332	3	98668.99597092168	c13+CMCT-G	0.0	1	
1411.8767578633333	3	32644.180234416563	c13+CMCT-G	0.0	1	
1477.83425	3	7391718.922241683	c14	4.03	1	
1478.16769	3	12092632.466112837	c14	3.48	1	
1478.50473	3	11410048.116499176	c14	5.4	1	
1478.84002	3	7878073.667682498	c14	6.15	1	
1479.16509053	3	4392182.632188771	c14	0.0	1	
1479.49923953	3	2082140.8739495154	c14	0.0	1	
1479.8333798633334	3	866731.6190295386	c14	0.0	1	
1480.1675131966665	3	323748.79248520156	c14	0.0	1	
1480.50164053	3	110199.46664183962	c14	0.0	1	
1561.56211	3	31513726.161908295	c14+CMCT	0.36	1	
1561.89736	3	56812258.797456674	c14+CMCT	0.99	1	
1562.23116	3	57721474.898482345	c14+CMCT	0.72	1	
1562.56586	3	42511551.47985106	c14+CMCT	1.05	1	
1562.89877	3	25115420.41380653	c14+CMCT	0.24	1	
1563.23283	3	12558415.207756994	c14+CMCT	0.18	1	
1563.56633	3	5494306.653393686	c14+CMCT	-0.24	1	
1563.9008458633332	3	2150722.604442216	c14+CMCT	0.0	1	
1564.23498353	3	765630.9271495563	c14+CMCT	0.0	1	
1511.20548	3	3603095.275252241	c14+CMCT-G	-4.14	1	
1511.54178	3	6229951.09891404	c14+CMCT-G	-2.81	1	
1511.87699	3	6124232.438099716	c14+CMCT-G	-2.15	1	
1512.20378	3	4380659.38920392	c14+CMCT-G	-7.05	0	
1512.5486181966667	3	2520155.471771329	c14+CMCT-G	0.0	1	
1512.8827828633334	3	1229381.202743254	c14+CMCT-G	0.0	1	
1513.2169378633332	3	525478.8019264956	c14+CMCT-G	0.0	1	
1513.5510848633335	3	201196.83857546005	c14+CMCT-G	0.0	1	
1513.8852258633333	3	70113.67229118818	c14+CMCT-G	0.0	1	
1663.56882	3	41351853.294960156	c15+CMCT	-0.7	1	
1663.9034	3	79085204.410008	c15+CMCT	-0.51	1	
1664.23809	3	84825623.2868926	c15+CMCT	-0.23	1	
1664.57174	3	65805918.83952077	c15+CMCT	-0.56	1	
1664.90556	3	40889165.53433715	c15+CMCT	-0.77	1	
1665.23949	3	21480333.478099238	c15+CMCT	-0.91	1	
1665.5789	3	9865241.454963885	c15+CMCT	2.24	1	
1665.9093091966665	3	4051402.2745196694	c15+CMCT	0.0	1	
1666.23298	3	1512458.2533286237	c15+CMCT	-6.28	1	
1613.21974	3	7710076.074321187	c15+CMCT-G	-0.27	1	
1613.55497	3	14177050.324992893	c15+CMCT-G	0.32	1	
1613.88787	3	14736331.895508885	c15+CMCT-G	-0.51	1	
1614.22475	3	11118713.479217304	c15+CMCT-G	1.15	1	
1614.5581	3	6735800.566305262	c15+CMCT-G	0.64	1	
1614.8912375300001	3	3456156.9944532528	c15+CMCT-G	0.0	1	
1615.23496	3	1552411.3718570326	c15+CMCT-G	5.92	1	
1615.5595471966667	3	624265.1079462472	c15+CMCT-G	0.0	1	
1615.8936911966666	3	228318.9031386633	c15+CMCT-G	0.0	1	
1266.88885403	4	2244606.1252441313	c16	0.0	1	
1267.13616	4	4212276.673682214	c16	-2.67	1	
1267.39499	4	4475369.356982945	c16	3.78	1	
1267.64753	4	3453711.27176027	c16	5.28	1	
1267.89146528	4	2141023.094531932	c16	0.0	1	
1268.14776	4	1124526.9543613587	c16	4.48	0	
1268.39269053	4	517212.0929445835	c16	0.0	1	
1268.6432945299998	4	212990.3635835466	c16	0.0	1	
1268.89389403	4	79815.88155832348	c16	0.0	1	
1773.26375	3	30072521.357923437	c16+CMCT	5.41	1	
1773.59791	3	61451077.507506065	c16+CMCT	5.35	1	
1773.93033	3	69827704.33582397	c16+CMCT	4.34	1	
1774.26427	3	57155882.70997042	c16+CMCT	4.19	1	
1774.59963	3	37365966.210401855	c16+CMCT	4.86	1	
1774.93189	3	20611539.644209117	c16+CMCT	3.79	1	
1775.26945	3	9924280.988707926	c16+CMCT	5.7	1	
1775.59546	3	4267631.422947411	c16+CMCT	1.12	1	
1775.92761753	3	1666411.2530307916	c16+CMCT	0.0	1	
1776.261753863333	3	598183.8740423747	c16+CMCT	0.0	1	
1722.90751	3	5473522.246757967	c16+CMCT-G	1.83	1	
1723.24112	3	10781206.4288086	c16+CMCT-G	1.45	1	
1723.57911	3	11890274.469881382	c16+CMCT-G	3.63	1	
1723.90534	3	9477436.541442793	c16+CMCT-G	-0.99	1	
1724.23906	3	6047387.874097118	c16+CMCT-G	-1.26	1	
1724.5754011966665	3	3261231.179367664	c16+CMCT-G	0.0	1	
1724.9095601966665	3	1537125.0488481638	c16+CMCT-G	0.0	1	
1725.24371153	3	647702.8628461562	c16+CMCT-G	0.0	1	
1725.5778561966667	3	248054.3095121063	c16+CMCT-G	0.0	1	
1725.9119951966666	3	87353.52280304622	c16+CMCT-G	0.0	1	
1882.95093	3	14820817.541486837	c17+CMCT	6.69	1	
1883.2814	3	32225777.115859803	c17+CMCT	4.68	1	
1883.61305	3	38679132.355094634	c17+CMCT	3.32	1	
1883.95041	3	33315919.32860831	c17+CMCT	5.0	1	
1884.27745	3	22860820.522594023	c17+CMCT	1.21	1	
1884.61849	3	13210703.659337003	c17+CMCT	4.86	1	
1884.95351	3	6653850.741747665	c17+CMCT	5.31	1	
1885.2776425299999	3	2989599.604385072	c17+CMCT	0.0	1	
1885.6117848633335	3	1218472.6673909724	c17+CMCT	0.0	1	
1885.9459218633333	3	456156.43422911933	c17+CMCT	0.0	1	
1411.95126	4	7297748.046472152	c17+CMCT	-0.47	1	
1412.20257	4	15867923.704951018	c17+CMCT	-0.04	1	
1412.4542	4	19045546.022916093	c17+CMCT	0.65	1	
1412.70367	4	16404708.074719608	c17+CMCT	-0.18	1	
1412.95677	4	11256633.302617006	c17+CMCT	1.56	1	
1413.20518428	4	6504930.416461853	c17+CMCT	0.0	1	
1413.4558012799998	4	3276345.998874966	c17+CMCT	0.0	1	
1413.70641278	4	1472074.3043737884	c17+CMCT	0.0	1	
1413.95701953	4	599974.0907167336	c17+CMCT	0.0	1	
1414.20762228	4	224610.73537022297	c17+CMCT	0.0	1	
1832.58737	3	3555130.861855141	c17+CMCT-G	-0.63	1	
1832.92407	3	7468008.083196324	c17+CMCT-G	0.7	1	
1833.26227	3	8711767.810278466	c17+CMCT-G	2.87	1	
1833.59354	3	7315527.122288731	c17+CMCT-G	1.27	1	
1833.92128	3	4904229.612113269	c17+CMCT-G	-2.24	1	
1834.26415	3	2773129.3065426173	c17+CMCT-G	2.5	1	
1834.5937251966666	3	1368398.9175930398	c17+CMCT-G	0.0	1	
1834.927876863333	3	602954.1327987105	c17+CMCT-G	0.0	1	
1835.2620218633333	3	241196.4822914664	c17+CMCT-G	0.0	1	
1835.59616153	3	88678.44845391758	c17+CMCT-G	0.0	1	
1425.6583097799999	4	3241007.628991722	c18	0.0	1	
1425.91524	4	6862081.923785884	c18	4.37	1	
1426.15966153	4	8108850.373091112	c18	0.0	1	
1426.42014	4	6914653.550934946	c18	6.9	1	
1426.67099	4	4715343.1077906415	c18	7.05	1	
1426.91155003	4	2715665.122557896	c18	0.0	1	
1427.1621630299999	4	1366198.610914962	c18	0.0	1	
1427.41277028	4	614232.2204578939	c18	0.0	1	
1427.6633732799999	4	250876.69513925124	c18	0.0	1	
1427.9139722799998	4	94244.68441739069	c18	0.0	1	
1984.94764	3	6992654.397370126	c18+CMCT	0.44	1	
1985.278	3	15971739.703335274	c18+CMCT	-1.52	1	
1985.61354	3	20070523.166754343	c18+CMCT	-0.86	1	
1985.95103	3	18067670.02137414	c18+CMCT	0.8	1	
1986.2865	3	12941382.329132156	c18+CMCT	1.45	1	
1986.61671	3	7799581.774780394	c18+CMCT	-0.54	1	
1986.95364	3	4094236.5900420644	c18+CMCT	0.85	1	
1987.28996	3	1916195.0880773056	c18+CMCT	1.94	1	
1987.6202485299998	3	813087.945064208	c18+CMCT	0.0	1	
1987.9543888633332	3	316854.66631120566	c18+CMCT	0.0	1	
1488.46065	4	21671149.200774997	c18+CMCT	1.61	1	
1488.70778	4	49498507.21023698	c18+CMCT	-0.78	1	
1488.95797	4	62201172.45432945	c18+CMCT	-1.1	1	
1489.2079	4	55994068.98914179	c18+CMCT	-1.59	1	
1489.4593	4	40107033.95042267	c18+CMCT	-1.07	1	
1489.70915	4	24171922.52608401	c18+CMCT	-1.59	1	
1489.95812	4	12688573.889686752	c18+CMCT	-2.7	1	
1490.21275803	4	5938538.8282785835	c18+CMCT	0.0	1	
1490.4633672799998	4	2519865.729023434	c18+CMCT	0.0	1	
1490.7139725299999	4	981973.9913321586	c18+CMCT	0.0	1	
1934.5969558633333	3	2569536.1657380867	c18+CMCT-G	0.0	1	
1934.93123053	3	5679565.215977102	c18+CMCT-G	0.0	1	
1935.27267	3	6945049.511625811	c18+CMCT-G	3.73	1	
1935.59136	3	6101454.074785735	c18+CMCT-G	-4.29	1	
1935.94678	3	4273663.961632238	c18+CMCT-G	6.68	1	
1936.28038	3	2522492.5351580353	c18+CMCT-G	6.38	1	
1936.6021811966666	3	1298294.8355430942	c18+CMCT-G	0.0	1	
1936.9363361966666	3	596331.5625804468	c18+CMCT-G	0.0	1	
1937.27048453	3	248539.8396999662	c18+CMCT-G	0.0	1	
1937.6046271966666	3	95180.94582324824	c18+CMCT-G	0.0	1	
1450.69589778	4	4298083.295982474	c18+CMCT-G	0.0	1	
1450.94395	4	9500253.278677737	c18+CMCT-G	-1.83	1	
1451.19943	4	11617038.784552684	c18+CMCT-G	1.49	1	
1451.45044	4	10205950.081464566	c18+CMCT-G	1.73	1	
1451.69857	4	7148591.224773646	c18+CMCT-G	0.0	1	
1451.956	4	4219393.046172191	c18+CMCT-G	4.69	1	
1452.20963	4	2171667.953272496	c18+CMCT-G	6.76	1	
1452.4504330299999	4	997488.4814504696	c18+CMCT-G	0.0	1	
1452.70104428	4	415734.53903644066	c18+CMCT-G	0.0	1	
1452.9516512799999	4	159209.91453381837	c18+CMCT-G	0.0	1	
2099.9625708633334	3	1201869.7053057111	c19+CMCT	0.0	1	
2100.28636	3	2902975.606336628	c19+CMCT	-4.98	1	
2100.63104853	3	3836992.9364508805	c19+CMCT	0.0	1	
2100.97529	3	3622390.745095823	c19+CMCT	4.78	1	
2101.2994258633335	3	2715459.9884157698	c19+CMCT	0.0	1	
2101.63071	3	1710192.038057994	c19+CMCT	-1.37	1	
2101.9677548633335	3	937011.2025213023	c19+CMCT	0.0	1	
2102.3019068633334	3	457283.0085395492	c19+CMCT	0.0	1	
2102.6360528633336	3	202183.82119326986	c19+CMCT	0.0	1	
2102.9701935300004	3	82021.47482036619	c19+CMCT	0.0	1	
2103.304329196667	3	30842.20035901891	c19+CMCT	0.0	1	
1574.71955	4	40753950.84255585	c19+CMCT	-0.36	1	
1574.96707	4	98436398.41782069	c19+CMCT	-2.37	1	
1575.21909	4	130107798.56172332	c19+CMCT	-1.51	1	
1575.46998	4	122830897.31479144	c19+CMCT	-1.36	1	
1575.72207	4	92077970.17786908	c19+CMCT	-0.43	1	
1575.9719	4	57990547.51331597	c19+CMCT	-0.94	1	
1576.22277	4	31772918.743104495	c19+CMCT	-0.78	1	
1576.47622	4	15505914.799987828	c19+CMCT	1.02	1	
1576.71686	4	6855809.305863755	c19+CMCT	-5.3	1	
1576.97582603	4	2781249.1970690596	c19+CMCT	0.0	1	
1577.22642778	4	1045821.7823104176	c19+CMCT	0.0	1	
1536.95222	4	7379132.478497381	c19+CMCT-G	-3.6	1	
1537.20626	4	17279417.702431448	c19+CMCT-G	-1.43	1	
1537.45935	4	22251422.206604168	c19+CMCT-G	0.14	1	
1537.71182	4	20521836.381722257	c19+CMCT-G	1.33	1	
1537.96286	4	15057018.93491057	c19+CMCT-G	1.59	1	
1538.21603	4	9294456.132660843	c19+CMCT-G	3.24	1	
1538.46166853	4	4996816.617125891	c19+CMCT-G	0.0	1	
1538.71228478	4	2394873.2112197406	c19+CMCT-G	0.0	1	
1538.96289628	4	1040696.6725642388	c19+CMCT-G	0.0	1	
1539.21350353	4	415249.8740983689	c19+CMCT-G	0.0	1	
1660.98381	4	15508539.883670364	c20+CMCT	1.11	1	
1661.23465	4	39495450.139294595	c20+CMCT	1.2	1	
1661.48514	4	54777140.45755843	c20+CMCT	1.09	1	
1661.73627	4	54115143.531482786	c20+CMCT	1.38	1	
1661.98592	4	42369388.89022184	c20+CMCT	0.79	1	
1662.23697	4	27830033.64794464	c20+CMCT	1.05	1	
1662.49345	4	15885019.253286086	c20+CMCT	4.57	1	
1662.73814	4	8068962.931683842	c20+CMCT	1.01	1	
1662.98707428	4	3710354.028783321	c20+CMCT	0.0	1	
1663.2376800299999	4	1564479.7614243063	c20+CMCT	0.0	1	
1663.48828203	4	610992.7716913844	c20+CMCT	0.0	1	
1623.2178	4	4362741.14943407	c20+CMCT-G	-1.12	1	
1623.46951	4	10788965.545423321	c20+CMCT-G	-0.49	1	
1623.72455	4	14594658.046311535	c20+CMCT-G	2.2	1	
1623.97349	4	14098497.168661905	c20+CMCT-G	1.14	1	
1624.22165	4	10812680.89097167	c20+CMCT-G	-0.38	1	
1624.47605	4	6966313.814869718	c20+CMCT-G	1.94	1	
1624.71514	4	3904276.6408130387	c20+CMCT-G	-5.16	1	
1624.97413728	4	1948932.6123600127	c20+CMCT-G	0.0	1	
1625.22474878	4	881328.4229363425	c20+CMCT-G	0.0	1	
1625.47535628	4	365726.4771337059	c20+CMCT-G	0.0	1	
1625.72596028	4	140637.51429835256	c20+CMCT-G	0.0	1	
1737.49137	4	14776245.161742976	c21+CMCT	1.77	1	
1737.74381	4	39251711.810196586	c21+CMCT	2.78	1	
1737.99309	4	56642549.083485276	c21+CMCT	1.98	1	
1738.24371	4	58138746.89282415	c21+CMCT	1.96	1	
1738.49566	4	47244850.99426057	c21+CMCT	2.72	1	
1738.74648	4	32184097.01038687	c21+CMCT	2.82	1	
1738.99833	4	19040623.027947996	c21+CMCT	3.53	1	
1739.24591	4	10019757.815717628	c21+CMCT	1.78	1	
1739.49047	4	4771218.0857624	c21+CMCT	-1.7	1	
1739.74402803	4	2082858.0837505222	c21+CMCT	0.0	1	
1739.99463228	4	841878.904739623	c21+CMCT	0.0	1	
1699.72594078	4	3422386.7349633826	c21+CMCT-G	0.0	1	
1699.97661	4	8838955.798871487	c21+CMCT-G	-0.02	1	
1700.22928	4	12452372.729260482	c21+CMCT-G	1.16	1	
1700.47987	4	12507741.134482546	c21+CMCT-G	1.12	1	
1700.73007	4	9963431.084992608	c21+CMCT-G	0.86	1	
1700.97926	4	6661745.020770784	c21+CMCT-G	0.01	1	
1701.23508	4	3872170.7178054946	c21+CMCT-G	3.07	1	
1701.48048028	4	2003625.0027035223	c21+CMCT-G	0.0	1	
1701.73109403	4	938810.24624028	c21+CMCT-G	0.0	1	
1701.98170353	4	403459.6969669547	c21+CMCT-G	0.0	1	
1702.2323095299998	4	160648.0860263558	c21+CMCT-G	0.0	1	
1813.74863	4	11407112.802000124	c22+CMCT	0.01	1	
1814.00142	4	31592319.019287787	c22+CMCT	1.16	1	
1814.25052	4	47385350.9481473	c22+CMCT	0.3	1	
1814.50382	4	50461138.994748525	c22+CMCT	1.76	1	
1814.75345	4	42489310.88503064	c22+CMCT	1.2	1	
1815.00614	4	29962223.914463334	c22+CMCT	2.34	1	
1815.25579	4	18335379.796875052	c22+CMCT	1.8	1	
1815.50892	4	9973980.22465346	c22+CMCT	3.18	1	
1815.75153	4	4907049.147477702	c22+CMCT	-1.22	1	
1816.00436128	4	2212075.3371838857	c22+CMCT	0.0	1	
1816.25496703	4	923011.6410893966	c22+CMCT	0.0	1	
1450.79291	5	2133765.175682526	c22+CMCT	-3.12	1	
1450.9947	5	5909522.53322061	c22+CMCT	-2.27	1	
1451.19943	5	8863698.768098723	c22+CMCT	0.62	1	
1451.39928	5	9439042.374805894	c22+CMCT	0.16	1	
1451.59965	5	7947866.693255647	c22+CMCT	0.06	1	
1451.80006213	5	5604603.994401996	c22+CMCT	0.0	1	
1451.99181	5	3429736.829342569	c22+CMCT	-6.03	1	
1452.20963	5	1865689.5952304532	c22+CMCT	5.9	1	
1452.40154633	5	917891.386540392	c22+CMCT	0.0	1	
1452.60203373	5	413781.2435449524	c22+CMCT	0.0	1	
1452.8025183299999	5	172654.56480458425	c22+CMCT	0.0	1	
1775.98626253	4	2971509.167486399	c22+CMCT-G	0.0	1	
1776.23806	4	8010596.631908017	c22+CMCT-G	0.62	1	
1776.4935	4	11739949.884875072	c22+CMCT-G	3.3	1	
1776.74813	4	12243245.151437853	c22+CMCT-G	5.54	1	
1776.99094	4	10111961.653234808	c22+CMCT-G	1.13	1	
1777.24824	4	7002857.71280135	c22+CMCT-G	4.88	1	
1777.48952	4	4212642.426911571	c22+CMCT-G	-0.38	1	
1777.74081003	4	2254463.005018818	c22+CMCT-G	0.0	1	
1777.99142528	4	1091933.7439321708	c22+CMCT-G	0.0	1	
1778.2420362799999	4	484860.64949761285	c22+CMCT-G	0.0	1	
1778.49264353	4	199396.0711409405	c22+CMCT-G	0.0	1	
1461.56574153	5	8022238.737057313	c23	0.0	1	
1461.77087	5	21786903.50171013	c23	3.13	1	
1461.96979	5	32244151.087488174	c23	2.03	1	
1462.17319	5	34004673.124239236	c23	4.0	1	
1462.37499	5	28428757.861942198	c23	4.88	1	
1462.57585	5	19943801.582371898	c23	5.13	1	
1462.76884593	5	12160520.992269285	c23	0.0	1	
1462.96933713	5	6599635.606353145	c23	0.0	1	
1463.1698247299998	5	3242906.922947786	c23	0.0	1	
1463.37030893	5	1461444.384272777	c23	0.0	1	
1463.5707905299998	5	610145.4310581861	c23	0.0	1	
1890.01155	4	5002483.626232599	c23+CMCT	1.38	1	
1890.26199	4	14420354.50812329	c23+CMCT	1.25	1	
1890.5124	4	22448535.182027813	c23+CMCT	1.11	1	
1890.76296	4	24768692.601440527	c23+CMCT	1.06	1	
1891.01604	4	21582010.88621923	c23+CMCT	2.35	1	
1891.26542	4	15734342.183826124	c23+CMCT	1.69	1	
1891.51909	4	9947215.575706018	c23+CMCT	3.3	1	
1891.76209	4	5586689.921524937	c23+CMCT	-0.73	1	
1892.0140835299999	4	2836384.6594688897	c23+CMCT	0.0	1	
1892.26469428	4	1318970.5641203655	c23+CMCT	0.0	1	
1892.51530128	4	567426.4185463039	c23+CMCT	0.0	1	
1892.7659050299999	4	227718.0006811511	c23+CMCT	0.0	1	
1511.80561	5	14532214.405498689	c23+CMCT	-0.06	1	
1512.00327	5	41891128.32202669	c23+CMCT	-1.97	1	
1512.20378	5	65212992.33122971	c23+CMCT	-1.99	1	
1512.40459	5	71953049.38940875	c23+CMCT	-1.8	1	
1512.60557	5	62695739.343487784	c23+CMCT	-1.49	1	
1512.80582	5	45708262.38106951	c23+CMCT	-1.66	1	
1513.00613	5	28896660.19611567	c23+CMCT	-1.78	1	
1513.20982	5	16229333.631578807	c23+CMCT	0.33	1	
1513.41588	5	8239697.135982739	c23+CMCT	4.01	1	
1513.61030013	5	3831609.3493691087	c23+CMCT	0.0	1	
1513.81078573	5	1648373.6859063364	c23+CMCT	0.0	1	
1514.01126873	5	661520.7679114781	c23+CMCT	0.0	1	
1852.24658428	4	907024.1522049424	c23+CMCT-G	0.0	1	
1852.49215	4	2547736.635286013	c23+CMCT-G	-2.77	1	
1852.75224	4	3878398.4276659666	c23+CMCT-G	2.31	1	
1852.9986122799999	4	4193501.1508607413	c23+CMCT-G	0.0	1	
1853.24051	4	3586251.8720211443	c23+CMCT-G	-4.72	1	
1853.49989053	4	2569100.9518014793	c23+CMCT-G	0.0	1	
1853.75051803	4	1597401.5676980505	c23+CMCT-G	0.0	1	
1854.0011395299998	4	883058.4159725932	c23+CMCT-G	0.0	1	
1854.2517562799999	4	441571.09880299354	c23+CMCT-G	0.0	1	
1854.50236853	4	202353.59005482026	c23+CMCT-G	0.0	1	
1854.75297703	4	85834.28341213678	c23+CMCT-G	0.0	1	
1855.00358253	4	33973.452341260585	c23+CMCT-G	0.0	1	
1481.59448	5	3176895.8477571583	c23+CMCT-G	-0.9	1	
1481.79752	5	8923570.467382781	c23+CMCT-G	0.77	1	
1481.99593	5	13584277.586045919	c23+CMCT-G	-0.66	1	
1482.19794	5	14687940.074526452	c23+CMCT-G	0.34	1	
1482.39862	5	12561020.181809915	c23+CMCT-G	0.45	1	
1482.60034	5	8998400.016588455	c23+CMCT-G	1.27	1	
1482.80171	5	5594976.049186907	c23+CMCT-G	1.86	1	
1483.0038	5	3092954.7005011477	c23+CMCT-G	2.93	1	
1483.20678	5	1546624.0748568594	c23+CMCT-G	4.61	1	
1483.40043953	5	708753.2106627511	c23+CMCT-G	0.0	1	
1483.60092633	5	300638.71827926236	c23+CMCT-G	0.0	1	
1483.8014107299998	5	118993.65569764852	c23+CMCT-G	0.0	1	
1577.61577	5	15978880.446264884	c24+CMCT	-0.27	1	
1577.81587	5	48153285.92424284	c24+CMCT	-0.56	1	
1578.01602	5	78059508.40604462	c24+CMCT	-0.8	1	
1578.21757	5	89467651.58385023	c24+CMCT	-0.15	1	
1578.41854	5	80838579.80929445	c24+CMCT	0.14	1	
1578.61945	5	61031730.41909146	c24+CMCT	0.4	1	
1578.8187	5	39913357.56942877	c24+CMCT	-0.4	1	
1579.02145	5	23168718.131981097	c24+CMCT	1.03	1	
1579.2203123299998	5	12148341.687290752	c24+CMCT	0.0	1	
1579.43153	5	5830726.758535728	c24+CMCT	6.79	1	
1579.62128693	5	2587711.9621740095	c24+CMCT	0.0	1	
1579.82177033	5	1071062.1953740271	c24+CMCT	0.0	1	
1547.40631613	5	3133657.246872435	c24+CMCT-G	0.0	1	
1547.60357	5	9212471.102156237	c24+CMCT-G	-2.13	1	
1547.80804	5	14615371.59091946	c24+CMCT-G	0.41	1	
1548.00846	5	16426686.886071097	c24+CMCT-G	0.34	1	
1548.20967	5	14575730.29138034	c24+CMCT-G	0.79	1	
1548.41262	5	10818653.104113868	c24+CMCT-G	2.37	1	
1548.60531	5	6961930.208111165	c24+CMCT-G	-2.68	1	
1548.80936	5	3979402.2861553417	c24+CMCT-G	-0.39	1	
1549.01044973	5	2056006.432517312	c24+CMCT-G	0.0	1	
1549.21093993	5	972755.7630062423	c24+CMCT-G	0.0	1	
1549.41142693	5	425789.28473385796	c24+CMCT-G	0.0	1	
1549.61191153	5	173837.53039996594	c24+CMCT-G	0.0	1	
1646.62736	5	8730903.91141889	c25+CMCT	1.02	1	
1646.82847	5	27457566.91391235	c25+CMCT	1.36	1	
1647.02778	5	46302268.37933742	c25+CMCT	0.61	1	
1647.22961	5	55093409.01127986	c25+CMCT	1.41	1	
1647.43025	5	51602693.955723725	c25+CMCT	1.49	1	
1647.63219	5	40339760.65821683	c25+CMCT	2.36	1	
1647.83151	5	27291466.621034615	c25+CMCT	1.64	1	
1648.03119	5	16376097.461678512	c25+CMCT	1.14	1	
1648.23475	5	8870857.17738987	c25+CMCT	3.01	1	
1648.4302845299999	5	4395715.255144761	c25+CMCT	0.0	1	
1648.6307705299998	5	2013494.998828509	c25+CMCT	0.0	1	
1648.83125413	5	859489.2990968225	c25+CMCT	0.0	1	
1616.40405	5	2798662.6917757276	c25+CMCT-G	-7.27	1	
1616.61607	5	8595077.043733342	c25+CMCT-G	-0.18	1	
1616.82291	5	14195935.276323818	c25+CMCT-G	3.72	1	
1617.02022	5	16574749.018279588	c25+CMCT-G	1.73	1	
1617.21917	5	15254411.315233683	c25+CMCT-G	0.77	1	
1617.42274	5	11729748.145939633	c25+CMCT-G	2.66	1	
1617.62504	5	7812421.731016123	c25+CMCT-G	3.77	1	
1617.82399	5	4618209.197444908	c25+CMCT-G	2.81	1	
1618.01993253	5	2465928.629234988	c25+CMCT-G	0.0	1	
1618.22362	5	1205218.524603738	c25+CMCT-G	1.98	1	
1618.4209099299999	5	544661.9213569906	c25+CMCT-G	0.0	1	
1618.6213945299999	5	229549.02048647733	c25+CMCT-G	0.0	1	
1423.02537	6	5195683.754796453	c26+CMCT	0.68	1	
1423.19244	6	16909784.531232513	c26+CMCT	0.64	1	
1423.35811	6	29460397.23762395	c26+CMCT	-0.38	1	
1423.52581	6	36176745.06897009	c26+CMCT	0.04	1	
1423.69324	6	34941633.34634484	c26+CMCT	0.28	1	
1423.85996	6	28150181.334240496	c26+CMCT	0.02	1	
1424.02746	6	19617251.13080516	c26+CMCT	0.31	1	
1424.19496	6	12120132.753660133	c26+CMCT	0.6	1	
1424.3611788633332	6	6757616.014002343	c26+CMCT	0.0	1	
1424.5282541966667	6	3445795.4598909817	c26+CMCT	0.0	1	
1424.6953270299998	6	1623736.741288167	c26+CMCT	0.0	1	
1424.8623978633332	6	712902.9657908176	c26+CMCT	0.0	1	
1397.84625	6	1100092.9350013563	c26+CMCT-G	-2.33	1	
1398.01957	6	3499223.9388084738	c26+CMCT-G	2.1	1	
1398.17564	6	5974843.943409247	c26+CMCT-G	-5.8	1	
1398.35119	6	7203514.281993954	c26+CMCT-G	0.24	1	
1398.51511	6	6840001.438579582	c26+CMCT-G	-2.03	1	
1398.6850443633334	6	5422854.3373202775	c26+CMCT-G	0.0	1	
1398.84501	6	3721993.641391061	c26+CMCT-G	-5.09	1	
1399.0192133633334	6	2266367.787849779	c26+CMCT-G	0.0	1	
1399.18629253	6	1246104.8231515915	c26+CMCT-G	0.0	1	
1399.3533688633331	6	626911.8073885092	c26+CMCT-G	0.0	1	
1399.5204428633333	6	291585.994088879	c26+CMCT-G	0.0	1	
1399.6875146966665	6	126419.2140841024	c26+CMCT-G	0.0	1	
548.10312	1	36181393.97806291	y02	-0.78	1	
549.10657	1	8038517.492315117	y02	0.24	1	
550.10850053	1	1818392.2618310263	y02	0.0	1	
551.11098953	1	271669.56529675366	y02	0.0	1	
799.30697	1	3042134.82754266	y02+CMCT	4.58	1	
800.3062425300001	1	1183327.0011429763	y02+CMCT	0.0	1	
801.30871253	1	311609.30532570404	y02+CMCT	0.0	1	
802.3111965300001	1	61538.112257545465	y02+CMCT	0.0	1	
803.31360253	1	10068.867034048493	y02+CMCT	0.0	1	
893.15039	1	145311695.84839925	y03	-0.66	1	
894.15491	1	51365644.66128139	y03	1.31	1	
895.15758	1	14791745.782143075	y03	1.8	1	
896.15836153	1	3088769.6124737	y03	0.0	1	
897.1606185300001	1	557407.5596646379	y03	0.0	1	
742.10381	1	2625571.593551412	y03-G	3.02	1	
743.10457353	1	734536.1722151195	y03-G	0.0	1	
