spectrum:	/users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0512_10g3.csv
limit_error:	6
noise_limit:	2500000.0
shape_limit:	0.7
stddev_limit:	0.7

Observed fragments: 
m/z 	z 	I 	fragment 	error 	std-dev 	formula 
1643.209172	4	18081201.82	c20	1.34	0.51	C193H236N82O141P20	
1314.364946	5	30807138.7	c20	0.63	0.27	C193H236N82O141P20	
1095.136443	6	30911163.7	c20	0.81	0.17	C193H236N82O141P20	
1605.443097	4	26270117.25	c20-G	-0.95	0.25	C188H231N77O140P20	
1750.509098	4	34311271.43	c21+CMCT-G	0.81	0.36	C212H268N85O147P21	
1801.972301	4	18661804.42	c22	-2.29	0.41	C212H259N89O155P22	
1441.376797	5	17357980.86	c22	-2.0	0.48	C212H259N89O155P22	
1200.982993	6	85184475.6	c22	0.95	0.08	C212H259N89O155P22	
900.485194	8	11237451.16	c22	0.69	0.41	C212H259N89O155P22	
1242.84423	6	13327258.46	c22+CMCT	-3.42	0.43	C226H284N92O156P22	
1175.800304	6	14928296.22	c22-G	-5.66	0.52	C207H254N84O154P22	
1502.589578	5	17414330.53	c23	3.22	0.54	C221H270N91O163P23	
1251.986964	6	174548001.95	c23	0.71	0.03	C221H270N91O163P23	
1941.288092	4	20609806.54	c23+CMCT	2.78	0.42	C235H295N94O164P23	
1552.828534	5	38442315.16	c23+CMCT	2.47	0.3	C235H295N94O164P23	
1293.851146	6	105188780.82	c23+CMCT	-1.2	0.09	C235H295N94O164P23	
1840.720357	4	14821953.69	c23-G	-0.02	0.43	C216H265N86O162P23	
1472.371745	5	13101163.58	c23-G	-2.12	0.57	C216H265N86O162P23	
1954.751306	4	12271202.83	c24	4.21	0.52	C230H282N94O170P24	
1302.824955	6	65389013.73	c24	-1.02	0.13	C230H282N94O170P24	
2017.545891	4	56038801.33	c24+CMCT	1.43	0.26	C244H307N97O171P24	
1344.692399	6	114139991.28	c24+CMCT	-0.38	0.05	C244H307N97O171P24	
1402.200505	6	35099012.79	c25+CMCT	-0.23	0.18	C254H319N102O178P25	
1180.164889	7	19458394.84	c25+CMCT-G	0.72	0.37	C249H314N97O177P25	
1209.57475	7	31694407.43	c26	0.01	0.19	C249H305N101O185P26	
1453.20902	6	45099994.07	c26+CMCT	2.74	0.19	C263H330N104O186P26	
1462.179111	6	24387737.74	c27	0.33	0.4	C258H317N104O192P27	
1096.385696	8	13598066.64	c27	3.23	0.53	C258H317N104O192P27	
1504.049829	6	38333872.07	c27+CMCT	3.04	0.21	C272H342N107O193P27	
1289.03569	7	15955379.1	c27+CMCT	-1.6	0.45	C272H342N107O193P27	
1231.568881	7	15956812.07	c27-G	-3.82	0.38	C253H312N99O191P27	
1815.825753	5	13868233.36	c28	0.93	0.6	C267H329N107O199P28	
1296.729596	7	31938236.44	c28	0.16	0.18	C267H329N107O199P28	
1332.614605	7	57132677.93	c28+CMCT	-0.35	0.12	C281H354N110O200P28	
1564.020293	6	25374681.43	c29	-1.77	0.42	C276H340N109O207P29	
1340.445338	7	68944954.96	c29	-1.46	0.14	C276H340N109O207P29	
1927.271419	5	58742345.37	c29+CMCT	1.22	0.14	C290H365N112O208P29	
1605.883685	6	25491880.09	c29+CMCT	-3.74	0.48	C290H365N112O208P29	
1376.332243	7	97385283.14	c29+CMCT	-0.53	0.07	C290H365N112O208P29	
1538.843182	6	82069585.09	c29-G	-3.23	0.25	C271H335N104O206P29	
1318.871407	7	12842371.91	c29-G	1.97	0.54	C271H335N104O206P29	
1025.562896	9	11874278.11	c29-G	-0.11	0.46	C271H335N104O206P29	
1389.741227	7	45065152.35	c30	1.04	0.3	C286H352N114O214P30	
1996.278219	5	28330416.46	c30+CMCT	-0.17	0.31	C300H377N117O215P30	
1663.3968	6	18547767.99	c30+CMCT	-0.47	0.46	C300H377N117O215P30	
1425.627073	7	105334874.99	c30+CMCT	1.13	0.05	C300H377N117O215P30	
1404.046361	7	13128057.97	c30+CMCT-G	-0.44	0.53	C295H372N112O214P30	
1439.031519	7	38068819.49	c31	-0.53	0.28	C296H364N119O221P31	
1474.916896	7	45240973.56	c31+CMCT	-0.72	0.16	C310H389N122O222P31	
1130.153006	9	10937167.87	c31+CMCT-G	1.51	0.52	C305H384N117O221P31	
1482.604096	7	30473540.16	c32	-3.71	0.38	C305H376N122O228P32	
1771.749307	6	30507058.67	c32+CMCT	2.03	0.27	C319H401N125O229P32	
1518.49495	7	64968122.24	c32+CMCT	-0.22	0.25	C319H401N125O229P32	
1278.277322	8	13988963.06	c32-G	0.79	0.4	C300H371N117O227P32	
2187.508001	5	93212810.51	c33+CMCT	3.03	0.11	C328H412N127O237P33	
1822.754026	6	102959905.2	c33+CMCT	2.25	0.16	C328H412N127O237P33	
1562.214776	7	117708971.68	c33+CMCT	1.02	0.08	C328H412N127O237P33	
1540.637931	7	659943228.19	c33+CMCT-G	2.1	0.39	C323H407N122O236P33	
1170.129876	9	9866374.54	c33-G	-5.67	0.59	C309H382N119O235P33	
1611.504454	7	53910276.22	c34+CMCT	-0.76	0.15	C338H424N132O244P34	
1253.168391	9	12731465.64	c34+CMCT	-0.86	0.55	C338H424N132O244P34	
1112.647807	10	20642400.44	c34+CMCT-G	0.86	0.29	C333H419N127O243P34	
1554.044417	7	30897380.77	c34-G	1.87	0.36	C319H394N124O242P34	
2267.469709	5	14159155.37	c35	-2.76	0.5	C333H410N131O251P35	
1619.340756	7	17951977.99	c35	1.77	0.51	C333H410N131O251P35	
1416.793331	8	29092589.16	c35	-1.0	0.36	C333H410N131O251P35	
1931.262814	6	84435857.84	c35+CMCT	0.4	0.13	C347H435N134O252P35	
1655.228615	7	103455654.87	c35+CMCT	3.04	0.11	C347H435N134O252P35	
1459.924345	8	39798895.76	c36	-0.91	0.15	C343H422N136O258P36	
1988.766925	6	82095472.38	c36+CMCT	-1.52	0.09	C357H447N139O259P36	
1704.514698	7	90613509.06	c36+CMCT	-0.8	0.09	C357H447N139O259P36	
1491.324884	8	15576906.96	c36+CMCT	-0.51	0.5	C357H447N139O259P36	
1682.935187	7	17381420.74	c36+CMCT-G	-1.42	0.63	C352H442N134O258P36	
1503.055792	8	42635389.68	c37	-0.54	0.32	C353H434N141O265P37	
2046.276019	6	54447068.72	c37+CMCT	-0.9	0.17	C367H459N144O266P37	
1534.460311	8	95457735.09	c37+CMCT	2.43	0.19	C367H459N144O266P37	
1515.57764	8	55033357.95	c37+CMCT-G	1.48	0.68	C362H454N139O265P37	
1575.583316	8	40591360.87	c38+CMCT	-3.06	0.34	C377H471N149O272P38	
1556.704247	8	56671907.86	c38+CMCT-G	-1.75	0.27	C372H466N144O271P38	
1616.722852	8	71574636.84	c39+CMCT	1.95	0.21	C387H483N154O278P39	
1894.828522	7	43943187.73	c40+CMCT	-1.34	0.24	C397H495N159O284P40	
1657.853341	8	114992948.0	c40+CMCT	1.25	0.13	C397H495N159O284P40	
1700.982359	8	120328876.64	c41+CMCT	0.09	0.08	C407H507N164O291P41	
2243.127243	6	20392704.5	c41+CMCT-G	-4.41	0.49	C402H502N159O290P41	
1742.11271	8	64602306.62	c42+CMCT	-0.61	0.24	C417H519N169O297P42	
1548.438044	9	33589894.01	c42+CMCT	2.84	0.34	C417H519N169O297P42	
1933.668245	7	16622023.37	c42-G	0.7	0.49	C398H489N161O295P42	
1503.742509	9	22424690.32	c42-G	2.13	0.41	C398H489N161O295P42	
1554.522447	9	24603944.04	c43	-1.88	0.39	C412H505N168O304P43	
1582.435875	9	74949585.93	c43+CMCT	-0.37	0.17	C426H530N171O305P43	
2307.125193	6	18512521.92	c43-G	3.64	0.41	C407H500N163O303P43	
1537.740493	9	78442945.48	c43-G	-1.05	0.14	C407H500N163O303P43	
1619.003878	9	43826536.18	c44+CMCT	3.72	0.36	C436H542N176O311P44	
1652.893296	9	83059367.54	c45+CMCT	1.19	0.18	C445H554N179O318P45	
1472.397414	10	18309319.08	c45+CMCT-G	0.6	0.4	C440H549N174O317P45	
1608.200451	9	28744829.47	c45-G	2.16	0.41	C426H524N171O316P45	
1518.000863	10	223212984.39	c46+CMCT	-3.12	0.18	C454H566N182O325P46	
1502.903423	10	35374574.94	c46+CMCT-G	1.84	0.41	C449H561N177O324P46	
783.09705	2	6479625.53	w05	-2.29	0.39	C46H61N16O36P5	
947.62532	2	8391862.84	w06	0.22	0.46	C56H73N21O42P6	
1035.334699	5	13080656.21	w16	1.14	0.44	C153H191N63O111P16	
1543.454103	4	273444926.35	w19	3.46	0.43	C182H226N75O133P19	
1061.704061	7	14702605.85	w23	-0.01	0.4	C219H273N88O162P23	
1537.023745	5	40033254.74	w23+CMCT	-3.14	0.41	C233H298N91O163P23	
1547.797103	5	44841611.75	w24	0.15	0.37	C228H285N91O169P24	
1720.449645	5	35724407.32	w26+CMCT	1.57	0.26	C260H332N98O186P26	
2319.340106	4	14149069.85	w28+CMCT	1.99	0.53	C280H356N108O199P28	
1766.5813	6	33674186.78	w32+CMCT	-2.67	0.31	C319H404N126O226P32	
1525.195176	7	73493279.85	w33	0.44	0.41	C315H391N128O231P33	
1561.076142	7	48762445.61	w33+CMCT	-2.59	0.32	C329H416N131O232P33	
1929.775255	6	44612279.15	w35+CMCT	-0.5	0.35	C348H440N139O246P35	
1447.074794	8	21571529.12	w35+CMCT	-3.84	0.32	C348H440N139O246P35	
2057.763604	6	23979865.99	w38	-1.89	0.38	C364H451N151O265P38	
1543.073205	8	1460746964.95	w38	-0.38	0.68	C364H451N151O265P38	
1234.257813	10	11115482.36	w38	0.19	0.6	C364H451N151O265P38	
1739.091511	8	104437721.16	w43	-1.65	0.42	C410H508N165O303P43	
1545.747747	9	115951398.61	w43	-1.29	0.24	C410H508N165O303P43	
1515.803311	10	274813700.94	w46+CMCT	-1.8	0.14	C453H568N180O326P46	
547.11879	1	7112767.4	y02	-1.35	0.18	C18H25N6O12P1	
852.161981	1	26981934.42	y03	1.37	0.1	C27H37N9O19P2	
1181.213455	1	32092167.67	y04	0.1	0.1	C37H49N14O25P3	
590.10256	2	8144964.51	y04	-0.8	0.33	C37H49N14O25P3	
1487.23881	1	11160271.25	y05	0.11	0.39	C46H60N16O33P4	
743.115899	2	36632931.25	y05	0.29	0.04	C46H60N16O33P4	
907.642048	2	81650875.82	y06	0.12	0.05	C56H72N21O39P5	
1080.166245	2	99486207.03	y07	0.54	0.08	C66H84N26O46P6	
1205.767249	2	16236932.2	y07+CMCT	1.42	0.24	C80H109N29O47P6	
1244.690747	2	56193324.92	y08	-0.94	0.1	C76H96N31O52P7	
829.458763	3	19238077.2	y08	-0.11	0.24	C76H96N31O52P7	
1370.285495	2	12356121.85	y08+CMCT	-4.6	0.42	C90H121N34O53P7	
1409.221631	2	58544827.29	y09	2.45	0.05	C86H108N36O58P8	
939.143219	3	41116641.61	y09	0.2	0.16	C86H108N36O58P8	
1534.816091	2	39252934.74	y09+CMCT	-1.28	0.26	C100H133N39O59P8	
1573.744487	2	41253869.18	y10	0.03	0.09	C96H120N41O64P9	
1048.82694	3	56765809.26	y10	-0.25	0.15	C96H120N41O64P9	
1699.343781	2	28485190.12	y10+CMCT	-0.32	0.47	C110H145N44O65P9	
1746.268958	2	26774563.42	y11	0.46	0.36	C106H132N46O71P10	
1163.843644	3	93453752.69	y11	0.54	0.1	C106H132N46O71P10	
1871.870251	2	27101132.21	y11+CMCT	1.18	0.2	C120H157N49O72P10	
1278.857628	3	91762205.38	y12	-0.94	0.08	C116H144N51O78P11	
958.893098	4	38877704.08	y12	0.83	0.11	C116H144N51O78P11	
1362.592289	3	24180011.66	y12+CMCT	0.15	0.22	C130H169N54O79P11	
1380.86623	3	65269140.92	y13	-0.74	0.05	C125H155N53O86P12	
1035.399745	4	18139297.6	y13	1.08	0.22	C125H155N53O86P12	
1464.599992	3	25181067.47	y13+CMCT	-0.35	0.23	C139H180N56O87P12	
1495.884744	3	89212716.0	y14	1.12	0.12	C135H167N58O93P13	
1121.660927	4	79132279.35	y14	0.4	0.08	C135H167N58O93P13	
897.126913	5	131446737.18	y14	-0.02	0.08	C135H167N58O93P13	
1579.621401	3	18228553.07	y14+CMCT	3.21	0.48	C149H192N61O94P13	
1597.893617	3	66540809.0	y15	1.32	0.07	C144H178N60O101P14	
1198.167913	4	27322461.89	y15	0.92	0.22	C144H178N60O101P14	
958.328581	5	12221653.62	y15	-3.56	0.32	C144H178N60O101P14	
1681.624504	3	33843349.9	y15+CMCT	-0.15	0.2	C158H203N63O102P14	
1547.545449	3	44584312.16	y15-G	2.42	0.23	C139H173N55O100P14	
1699.572221	3	52539316.1	y16	0.17	0.18	C153H190N63O108P15	
1783.306928	3	19158279.24	y16+CMCT	0.98	0.36	C167H215N66O109P15	
1814.587968	3	74371267.42	y17	0.12	0.11	C163H202N68O115P16	
1360.691148	4	22703866.15	y17	1.59	0.29	C163H202N68O115P16	
1088.349995	5	22690471.15	y17	0.24	0.39	C163H202N68O115P16	
1898.315192	3	27439743.04	y17+CMCT	-3.06	0.24	C177H227N71O116P16	
1929.605536	3	64884134.35	y18	1.03	0.16	C173H214N73O122P17	
1446.950954	4	22979323.13	y18	0.07	0.36	C173H214N73O122P17	
1157.357183	5	41624988.45	y18	-1.76	0.14	C173H214N73O122P17	
964.298846	6	26127463.8	y18	0.73	0.26	C173H214N73O122P17	
2013.344518	3	43413001.09	y18+CMCT	3.83	0.16	C187H239N76O123P17	
1523.458141	4	48075479.41	y19	0.64	0.29	C182H225N75O130P18	
1015.301962	6	18107058.96	y19	-0.39	0.38	C182H225N75O130P18	
2115.345313	3	16590654.29	y19+CMCT	0.03	0.43	C196H250N78O131P18	
1548.497965	4	27423665.39	y19+CMCT-G	2.07	0.42	C191H245N73O130P18	
1599.714731	4	21625003.79	y20	-1.73	0.35	C191H237N78O137P19	
1066.14372	6	20139205.93	y20	1.08	0.37	C191H237N78O137P19	
1675.979127	4	23345604.04	y21	0.78	0.47	C200H249N81O144P20	
1000.987985	7	10657569.72	y22	0.16	0.5	C209H260N83O152P21	
1815.286927	4	19278554.4	y22+CMCT	1.57	0.38	C223H285N86O153P21	
1838.745322	4	98756234.96	y23	-0.37	0.11	C219H272N88O159P22	
1901.542295	4	68808112.7	y23+CMCT	-1.92	0.18	C233H297N91O160P22	
1267.363709	6	15372214.49	y23+CMCT	1.72	0.38	C233H297N91O160P22	
1914.999089	4	80973564.68	y24	-3.78	0.13	C228H284N91O166P23	
1531.804936	5	215052362.81	y24	0.87	0.15	C228H284N91O166P23	
1977.800325	4	158814824.73	y24+CMCT	-3.0	0.06	C242H309N94O167P23	
1582.042087	5	73301447.88	y24+CMCT	-0.93	0.4	C242H309N94O167P23	
1551.838569	5	26008214.65	y24+CMCT-G	3.16	0.35	C237H304N89O166P23	
1991.504908	4	17219023.35	y25	-3.89	0.54	C237H295N93O174P24	
2054.305474	4	71959533.78	y25+CMCT	-3.46	0.13	C251H320N96O175P24	
1643.252491	5	17495139.7	y25+CMCT	2.36	0.57	C251H320N96O175P24	
2213.078274	4	17945447.47	y27+CMCT	-1.7	0.37	C270H343N103O189P26	
1770.262275	5	22517315.11	y27+CMCT	-1.08	0.39	C270H343N103O189P26	
1789.035538	5	31350887.76	y28	1.02	0.4	C266H330N105O195P27	
1839.27317	5	246270664.65	y28+CMCT	-0.27	0.06	C280H355N108O196P27	
1532.554315	6	34155200.13	y28+CMCT	-3.82	0.32	C280H355N108O196P27	
2198.785867	4	12356464.16	y28-G	1.94	0.55	C261H325N100O194P27	
1548.206224	6	25474878.78	y29	3.08	0.37	C276H342N110O202P28	
1160.900307	8	12595330.28	y29	0.89	0.43	C276H342N110O202P28	
1908.278484	5	176943634.54	y29+CMCT	-2.45	0.06	C290H367N113O203P28	
1590.070118	6	61808338.74	y29+CMCT	1.28	0.17	C290H367N113O203P28	
1878.083045	5	30733917.05	y29+CMCT-G	5.2	0.27	C285H362N108O202P28	
1974.082733	5	29009243.69	y30+CMCT	-5.53	0.38	C300H379N118O209P29	
1409.784702	7	14101642.94	y30+CMCT	3.97	0.62	C300H379N118O209P29	
1619.727477	6	21659054.53	y30+CMCT-G	-4.81	0.48	C295H374N113O208P29	
1352.317427	7	13646307.02	y30-G	1.84	0.41	C281H349N110O207P29	
1653.888824	6	24543946.12	y31	3.06	0.44	C295H366N118O215P30	
1695.75089	6	61251414.95	y31+CMCT	0.3	0.16	C309H391N121O216P30	
1453.357911	7	13319578.42	y31+CMCT	1.02	0.6	C309H391N121O216P30	
1711.388274	6	160510218.96	y32	-1.98	0.1	C305H378N123O222P31	
2104.117792	5	68882441.69	y32+CMCT	3.04	0.18	C319H403N126O223P31	
1753.254873	6	1593214247.6	y32+CMCT	-1.95	0.02	C319H403N126O223P31	
1502.648094	7	60625517.62	y32+CMCT	-0.55	0.21	C319H403N126O223P31	
1314.688454	8	12575389.55	y32+CMCT	-2.62	0.56	C319H403N126O223P31	
1728.087097	6	135060501.89	y32+CMCT-G	2.15	0.05	C314H398N121O222P31	
1766.241442	6	19889476.23	y33	4.36	0.34	C315H390N128O228P32	
1808.096182	6	46434319.58	y33+CMCT	-2.32	0.23	C329H415N131O229P32	
1858.940977	6	15910350.22	y34+CMCT	0.21	0.46	C338H427N134O236P33	
1593.229146	7	35014821.33	y34+CMCT	-2.89	0.29	C338H427N134O236P33	
1535.769213	7	52505172.03	y34-G	-0.24	0.3	C319H397N126O234P33	
1916.445416	6	16093296.59	y35+CMCT	-1.61	0.54	C348H439N139O243P34	
1642.525121	7	260112448.71	y35+CMCT	-0.68	0.06	C348H439N139O243P34	
1891.270048	6	13070117.78	y35+CMCT-G	-1.88	0.5	C343H434N134O242P34	
1653.648662	7	21586794.96	y36	0.36	0.47	C344H426N141O248P35	
1446.823515	8	23024419.89	y36	5.09	0.43	C344H426N141O248P35	
1689.53883	7	153961183.78	y36+CMCT	3.01	0.09	C358H451N144O249P35	
1738.830155	7	326845705.72	y37+CMCT	2.25	0.05	C368H463N149O256P36	
1717.242069	7	42432446.83	y37+CMCT-G	-3.31	0.24	C363H458N144O255P36	
1471.06314	8	30505240.6	y37-G	-1.88	0.44	C349H433N141O254P36	
1176.646479	10	81700904.59	y37-G	-4.07	0.37	C349H433N141O254P36	
