spectrum:	/Users/eva-maria/Data_exchange_folder/new_FTMS-Scanner/Spectral_data/0603_2x_7-.csv
limit_error:	6.5	2020-03-12
noise_limit:	3030000.0
outlier_limit:	0.65
shape_limit:	0.6
					shape_error=sqrt(sum_or_squares/Intensity)
Observed ions: 
m/z 	z 	I 	fragment 	error_/ppm 	shape_error 	formula 	qual.factor
957.308404	5	18222323.75	w15	-1.61	0.27	C141H176N51O109P15	0.9
1425.907791	4	12943941.43654458	w18	-5.91	0.36	C168H211N59O131P18	1.6
1140.528227	5	39147328.72	w18	-2.89	0.15	C168H211N59O131P18	0.6
1229.565425	5	3927458.1162590543	w19+CMCT-G	-4.6	0.42	C187H243N62O138P19	0.9
1382.191566	5	23443080.73	w21+CMCT	0.35	0.24	C210H270N71O155P21	0.9
1443.197438	5	35798977.21	w22+CMCT	-1.32	0.24	C219H282N74O162P22	1.3
1361.851542	6	20949575.75	w25+CMCT	0.71	0.47	C247H317N84O184P25	7.6
1216.447721	7	91182818.95	w26+CMCT	-1.12	0.18	C257H329N89O191P26	1.8
1194.864226	7	13164777.646688988	w26+CMCT-G	-5.33	0.41	C252H324N84O190P26	2.6
548.102817	1	121836064.45	y02	-1.33	0.12	C18H24N5O13P1	1.3
893.149882	1	228484071.18	y03	-1.23	0.16	C28H36N10O20P2	3.7
1222.204931	1	117616039.69	y04	1.17	0.06	C38H48N15O26P3	0.7
610.598002	2	24044935.37	y04	-0.18	0.11	C38H48N15O26P3	0.2
763.117577	2	111390483.51710184	y05	-1.54	0.21	C47H60N18O33P4	3.0
888.71713	2	6264670.69	y05+CMCT	-1.7	0.49	C61H85N21O34P4	2.8
915.63946	2	282837280.32	y06	0.07	0.06	C56H72N21O40P5	1.7
1068.651685	2	166308022.51	y07	-0.34	0.04	C65H83N23O48P6	0.8
1241.174601	2	280247799.93	y08	-0.94	0.05	C75H95N28O55P7	1.5
827.11449	3	42322893.66	y08	-0.32	0.06	C75H95N28O55P7	0.3
1173.650818	2	14552356.51	y08-A	1.96	0.23	C70H90N23O55P7	0.5
1413.696624	2	166318877.97744507	y09	-2.02	0.03	C85H107N33O62P8	0.7
942.129259	3	368790141.94	y09	-1.39	0.04	C85H107N33O62P8	1.8
891.777422	3	11739181.37	y09-G	-3.74	0.46	C80H102N28O61P8	3.9
1566.707862	2	29503710.83	y10	-2.73	0.14	C94H118N35O70P9	0.4
1044.1387	3	297040107.83	y10	-0.29	0.04	C94H118N35O70P9	1.5
1127.872116	3	12754196.82	y10+CMCT	-0.12	0.49	C108H143N38O71P9	5.7
1153.823666	3	311605836.6	y11	0.43	0.04	C104H130N40O76P10	1.5
865.116801	4	13307633.45	y11	1.43	0.38	C104H130N40O76P10	2.0
1237.558241	3	23443473.05	y11+CMCT	1.47	0.31	C118H155N43O77P10	1.7
1108.803984	3	23168673.437172007	y11-A	-0.92	0.2	C99H125N35O76P10	0.6
1103.475053	3	29000511.95	y11-G	1.53	0.17	C99H125N35O75P10	0.5
1263.50802	3	252938861.37	y12	0.53	0.06	C114H142N45O82P11	1.5
947.377939	4	216241076.56	y12	-0.79	0.05	C114H142N45O82P11	1.2
1347.240728	3	19954086.57	y12+CMCT	0.1	0.33	C128H167N48O83P11	1.8
1213.159853	3	11411060.05	y12-G	1.91	0.51	C109H137N40O81P11	6.2
1365.516701	3	71740265.2	y13	0.67	0.1	C123H153N47O90P12	0.6
1023.883367	4	305944217.72	y13	-1.61	0.07	C123H153N47O90P12	2.0
1449.252502	3	18644933.53	y13+CMCT	2.39	0.31	C137H178N50O91P12	1.4
1086.685167	4	26021729.42	y13+CMCT	0.19	0.24	C137H178N50O91P12	0.9
1467.52113	3	23709807.29	y14	-2.1	0.24	C132H164N49O98P13	0.9
1100.390492	4	175240228.31	y14	-0.77	0.04	C132H164N49O98P13	0.9
1163.188555	4	40268856.06960801	y14+CMCT	-2.34	0.15	C146H189N52O99P13	0.6
1066.627081	4	16853179.79	y14-A	-0.6	0.36	C127H159N44O98P13	2.0
1062.628925	4	19555246.84	y14-G	-0.06	0.35	C127H159N44O97P13	2.1
1176.898225	4	166170270.65	y15	0.47	0.06	C141H175N51O106P14	1.0
1239.696523	4	34166793.59	y15+CMCT	-0.87	0.2	C155H200N54O107P14	0.8
1139.134153	4	14067733.97	y15-G	-1.02	0.47	C136H170N46O105P14	5.1
1253.156417	4	111028495.29	y16	-1.25	0.16	C150H187N54O113P15	1.8
1002.324407	5	54140039.68	y16	-0.53	0.08	C150H187N54O113P15	0.4
1315.960408	4	34542312.579996295	y16+CMCT	1.88	0.13	C164H212N57O114P15	0.4
1329.416589	4	77341238.49	y17	-1.29	0.11	C159H199N57O120P16	0.8
1063.33243	5	72600369.36	y17	-0.72	0.07	C159H199N57O120P16	0.5
1392.214798	4	41343238.16	y17+CMCT	-2.48	0.16	C173H224N60O121P16	0.7
1358.455425	4	16798512.8	y17+CMCT-A	0.59	0.38	C168H219N55O121P16	2.5
1124.53786	5	112193415.22	y18	-0.35	0.06	C168H210N59O128P17	0.7
1174.776421	5	17365084.23939368	y18+CMCT	-1.52	0.32	C182H235N62O129P17	1.4
1492.188596	4	31537019.01324762	y19	1.41	0.2	C178H222N64O135P18	0.8
1193.546791	5	293139273.730901	y19	-0.79	0.03	C178H222N64O135P18	1.3
1243.78682	5	99615411.3	y19+CMCT	-0.7	0.1	C192H247N67O136P18	0.9
1521.21373	4	8094962.941925028	y19+CMCT-A	-5.97	0.46	C187H242N62O136P18	2.7
1216.777191	5	17483051.88	y19+CMCT-A	0.33	0.35	C187H242N62O136P18	1.9
1517.220796	4	39645960.9	y19+CMCT-G	-2.17	0.23	C187H242N62O135P18	1.3
1166.536593	5	20211882.178642448	y19-A	-0.21	0.23	C173H217N59O135P18	0.7
1939.559802	3	12189183.19	y19-G	-4.2	0.55	C173H217N59O134P18	9.8
1304.990867	5	98494158.08	y20+CMCT	-1.45	0.07	C201H258N69O144P19	0.7
1227.741713	5	86889596.13	y20-A	-0.15	0.09	C182H228N61O143P19	0.7
1224.54108	5	96971456.18	y20-G	-1.5	0.13	C182H228N61O142P19	1.2
1315.959808	5	29476853.96	y21	1.48	0.15	C196H244N68O151P20	0.4
1366.199115	5	219032241.97	y21+CMCT	0.95	0.04	C210H269N71O152P20	1.1
1339.181767	5	16571816.36	y21+CMCT-A	-3.84	0.46	C205H264N66O152P20	5.4
1427.207698	5	136749253.35	y22+CMCT	1.14	0.04	C219H281N74O159P21	0.7
1445.974685	5	25433611.483513117	y23	-0.64	0.32	C215H268N76O165P22	2.1
1496.219184	5	116668077.29	y23+CMCT	2.42	0.08	C229H293N79O166P22	0.9
1246.677157	6	79844974.31922491	y23+CMCT	-1.01	0.09	C229H293N79O166P22	0.6
1255.815292	6	3268257440.92	y24	-0.57	0.15	C224H279N78O173P23	48.3
1297.684154	6	249065212.6	y24+CMCT	1.17	0.04	C238H304N81O174P23	1.2
1275.170962	6	19514619.627486385	y24+CMCT-A	-2.03	0.41	C233H299N76O174P23	3.9
1233.307171	6	102944637.86830853	y24-A	0.2	0.34	C219H274N73O173P23	10.2
1230.640275	6	211058284.52265164	y24-G	-0.68	0.15	C219H274N73O172P23	3.1
1348.523363	6	192514670.38433647	y25+CMCT	0.38	0.05	C247H316N84O181P24	1.0
1326.010359	6	12452841.84	y25+CMCT-A	-2.57	0.51	C242H311N79O181P24	6.7
1406.031518	6	354579241.36	y26+CMCT	0.54	0.05	C257H328N89O188P25	1.9
1205.024369	7	34822592.51	y26+CMCT	-0.79	0.24	C257H328N89O188P25	1.3
1383.523171	6	28043287.43	y26+CMCT-A	1.08	0.29	C252H323N84O188P25	1.7
1380.856879	6	53445775.46	y26+CMCT-G	0.74	0.16	C252H323N84O187P25	0.9
1183.439708	7	12886677.88	y26+CMCT-G	-6.02	0.53	C252H323N84O187P25	8.5

 
 



Original data of remodelled ions:
m/z 	z 	I 	fragment 	error 	shape_error 	formula 
650.58075	2	12162928.3	w04	-0.81	0.34	C38H49N15O29P4	
763.11852	1	102013349.52	a03-G	7.05	0.23	C24H30N8O17P2	
763.117577	2	158441348.16	y05	-1.54	0.21	C47H60N18O33P4	
973.117169	1	39400798.66	w03	-0.15	0.02	C28H37N10O23P3	
974.617797	2	187340780.51	c06	-0.02	0.04	C57H71N23O43P6	
993.789807	3	62469910.96	y10-G	0.62	0.38	C89H113N30O69P9	
1063.131728	5	67660832.89	a17	4.57	0.21	C159H196N56O121P16	
1063.33243	5	72600369.36	y17	-0.72	0.07	C159H199N57O120P16	
1062.628925	4	19555246.84	y14-G	-0.06	0.35	C127H159N44O97P13	
1070.794554	3	27046536.43	w10	0.1	0.17	C94H119N35O73P10	
1070.452443	3	52093915.84	c10	1.75	0.09	C94H116N34O74P10	
1108.635234	2	47342306.28	w07	0.02	0.09	C65H84N23O51P7	
1108.803984	3	40653042.37	y11-A	-0.92	0.2	C99H125N35O76P10	
1124.335664	5	107549479.63	a18	3.32	0.22	C168H207N58O129P17	
1140.327711	5	34094801.18	c18	2.21	0.28	C168H208N58O132P18	
1163.337564	5	36828866.61	y19-G	-0.25	0.16	C173H217N59O134P18	
1163.188555	4	43645173.7	y14+CMCT	-2.34	0.15	C146H189N52O99P13	
1163.136032	5	26721509.68	a19-G	3.87	0.17	C173H214N58O135P18	
1166.536593	5	31557908.7	y19-A	-0.21	0.23	C173H217N59O135P18	
1166.333185	5	33017464.19	a19-A	2.29	0.29	C173H214N58O136P18	
1174.575843	5	19150999.05	a18+CMCT	3.38	0.37	C182H232N61O130P17	
1174.776421	5	24585972.95	y18+CMCT	-1.52	0.32	C182H235N62O129P17	
1190.765394	5	147737869.17	w18+CMCT	-5.1	0.11	C182H236N62O132P18	
1193.346291	5	271860670.03	a19	4.09	0.17	C178H219N63O136P18	
1194.864226	7	16186779.86	w26+CMCT-G	-5.33	0.41	C252H324N84O190P26	
1193.546791	5	280644784.75	y19	-0.79	0.03	C178H222N64O135P18	
1205.122575	2	14581301.13	c08-G	3.46	0.25	C70H88N22O58P8	
1205.630664	2	18914993.9	w08-G	-2.96	0.25	C70H91N23O57P8	
1218.487688	3	29655024.36	y12-A	-1.22	0.36	C109H137N40O82P11	
1229.565425	5	17193737.93	w19+CMCT-G	-4.6	0.42	C187H243N62O138P19	
1230.16524	7	212317642.75	RNA+CMCT-G-H2O	-0.93	0.08	C262H333N89O193P26	
1230.640275	6	219847926.8	y24-G	-0.68	0.15	C219H274N73O172P23	
1232.452303	7	2524561233.27	RNA+CMCT-A-H2O	0.75	0.26	C262H333N89O194P26	
1233.307171	6	98901625.62	y24-A	0.2	0.34	C219H274N73O173P23	
1232.73866	7	3103612063.67	RNA+CMCT-G	-0.54	0.02	C262H335N89O194P26	
1235.881979	7	186403089.88	RNA+CMCT-C-H2O	0.34	0.06	C263H333N91O193P26	
1235.024194	7	3038691674.1	RNA+CMCT-A	-0.1	0.02	C262H335N89O195P26	
1236.806813	6	104375179.76	a24-A	-1.65	0.34	C220H273N76O171P23	
1243.584295	5	89801632.41	a19+CMCT	2.36	0.24	C192H244N66O137P18	
1246.342971	6	57149495.29	a23+CMCT	0.4	0.36	C229H291N79O166P22	
1247.425159	4	219849665.22	c15+CMCT	-0.41	0.05	C153H198N49O113P15	
1246.677157	6	79023735.11	y23+CMCT	-1.01	0.09	C229H293N79O166P22	
1259.774117	5	246044925.38	w19+CMCT	-5.43	0.16	C192H248N67O139P19	
1260.004013	6	121818986.18	w23+CMCT	-1.69	0.15	C229H294N79O169P23	
1259.669082	6	226698182.19	c23+CMCT	-0.89	0.04	C229H292N79O169P23	
1259.573547	5	234323726.39	c19+CMCT	-0.86	0.04	C192H245N66O140P19	
