m/z	z	I	Res.	
755.47673	17-	57574520	75253	
756.77011	17-	9406297	73412	
757.76887	17-	4804172	65389	
759.44706	6-	4927847	94706	
761.77696	6-	7861064	70769	
762.99657	8-	8565136	48559	
764.11251	4-	4515963	87225	
764.77019	3-	4548590	86613	
765.52485	2-	5183217	78948	
765.55288	16-	4325421	75120	
770.25264	17-	5080226	71560	
772.11441	1-	9739985	72310	
773.18347	15-	6777336	75728	
777.61650	16-	13245319	75870	
778.61657	16-	16292968	74012	
780.05359	16-	16929626	73408	
781.42805	16-	4904931	76034	
782.64851	2-	11160085	74904	
784.31474	5-	9517767	71060	
787.05741	16-	345889056	73878	
787.86987	16-	7226138	78202	
788.43087	16-	52326636	70466	
788.80665	2-	9014703	67956	
789.49197	16-	25963672	73008	
789.55499	16-	5615744	70038	
789.83062	2-	5310496	71163	
790.74416	16-	4202016	57829	
791.43466	16-	7494330	71464	
794.44239	16-	5590539	70240	
795.75641	16-	4353587	53116	
798.38421	4-	12242816	75342	
802.12401	2-	7557866	78779	
802.22479	10-	6633317	74933	
802.60781	2-	6235416	79841	
802.75841	16-	107904376	77988	
802.81271	16-	4440081	97386	
803.13181	1-	11620246	76494	
803.19605	2-	5389844	72254	
804.13187	16-	20578768	70267	
805.19335	16-	5289105	76940	
806.12390	2-	6057120	69934	
806.78696	15-	6984558	63843	
807.13564	16-	3264406	50087	
811.11802	8-	6870960	70410	
814.11921	2-	13947615	79993	
818.45891	16-	8602175	71563	
818.74234	13-	6264077	75182	
822.63212	2-	9668784	74327	
828.48520	14-	4964186	74526	
829.52550	15-	5338398	68945	
830.65837	15-	6970001	65428	
832.12375	15-	7546241	60103	
833.54751	16-	3068125	65317	
834.33994	5-	10792069	67235	
837.12870	5-	7436969	66424	
839.59574	15-	256542112	69691	
840.59571	15-	6209417	48151	
841.06084	15-	51508036	66374	
841.92757	5-	4423725	68180	
841.99250	15-	9575889	71915	
842.26004	15-	25173980	66509	
843.06287	3-	3228948	58036	
843.10192	2-	7788642	72013	
843.52584	15-	3927149	50501	
843.72834	3-	5318456	60118	
844.08990	2-	8693865	68689	
844.12790	3-	5052454	76431	
844.28162	8-	3367954	64732	
845.28615	13-	7889538	67380	
847.12861	3-	4547825	48856	
850.27205	14-	2842795	68918	
853.13480	3-	7840691	60616	
854.47149	6-	4648335	66304	
856.34258	15-	79846504	67515	
856.96588	6-	7648553	60427	
857.80896	15-	18778178	66137	
858.94032	15-	7293438	67998	
868.82811	13-	6265446	67233	
870.64454	2-	5816399	57565	
871.99615	7-	7046705	63590	
873.09016	15-	7974795	70074	
874.91173	4-	6806479	62610	
878.38794	4-	9095735	68985	
886.97366	12-	5584982	66122	
888.15218	13-	3098569	66247	
889.13568	2-	5774897	71206	
890.20750	7-	7202837	66127	
891.73212	15-	7422937	64567	
891.85464	3-	6862599	64736	
892.29335	13-	6815407	59591	
894.13435	2-	4579556	69163	
898.19346	1-	11880270	69958	
899.63931	14-	336977824	63948	
900.71120	7-	6825775	65338	
900.99052	14-	6099647	55838	
901.00579	5-	4004718	66163	
901.20956	14-	85018704	63389	
901.99768	14-	5010035	52079	
902.42283	14-	44061228	61937	
902.85278	14-	5448052	62663	
903.28192	14-	3113181	57751	
903.35223	1-	9801079	60272	
903.84951	14-	13573421	61711	
904.64288	14-	8373115	51362	
906.58296	5-	3340433	40352	
908.00605	7-	4152498	51747	
911.61708	13-	2812262	68937	
915.81161	12-	11480232	58717	
917.58384	14-	113153056	63188	
917.69898	14-	4820388	72299	
918.86774	14-	3552832	63184	
919.15387	14-	29525210	63318	
920.36557	14-	15215689	61407	
921.79677	2-	6064407	60080	
922.58727	14-	4264250	67045	
926.66120	2-	6112469	64085	
934.90025	4-	7381365	64211	
935.14255	3-	8640005	64099	
935.52785	14-	5943096	65122	
935.68703	5-	7538412	59490	
936.80319	11-	4877766	50343	
936.99754	3-	3230566	66201	
941.31525	12-	6217526	61943	
942.45592	13-	6133270	62758	
945.25586	4-	4324197	61452	
945.45519	13-	3565298	61035	
949.83279	3-	4012034	67608	
955.13321	1-	15899476	54081	
960.15053	1-	8571879	57861	
960.30269	13-	3455730	63775	
961.78010	13-	3917007	44205	
962.25064	12-	4616886	67228	
966.64875	2-	9492850	61980	
966.73562	12-	9443053	55949	
968.92187	13-	573507776	60655	
969.92215	13-	10951620	55195	
970.61255	13-	144970256	58928	
971.68638	13-	10122815	45116	
971.91779	13-	71196048	59108	
972.38128	13-	10136327	57253	
973.07408	13-	4318242	39853	
973.45434	13-	18821954	61195	
974.31081	13-	10201798	53352	
974.98935	13-	6281184	60360	
975.69557	13-	3885708	53151	
976.65584	6-	4499116	51597	
977.36516	4-	3621824	59324	
978.16065	1-	24962010	59946	
979.14344	1-	10463100	68218	
988.24584	13-	166970304	58040	
989.39825	13-	3072505	57551	
989.93634	13-	45273552	58981	
990.78476	13-	3375475	49022	
991.24250	13-	24478738	57132	
991.62917	13-	4272709	55454	
992.24006	12-	3493791	35250	
992.77885	13-	6649219	53944	
993.63009	13-	6514233	48244	
994.15387	2-	6105432	59640	
995.14118	1-	12395368	58381	
996.17507	1-	8269261	68038	
999.16100	11-	5929096	60989	
1007.57087	13-	14075408	57871	
1021.08024	12-	7493853	59620	
1026.98254	11-	4006971	63378	
1041.92803	12-	2590329	35768	
1049.74991	12-	380193984	54476	
1050.83506	12-	5927255	48789	
1051.58360	12-	117535464	54173	
1052.79723	12-	2938815	71403	
1052.99821	12-	59685476	52277	
1053.49922	12-	17712570	54163	
1054.67265	12-	54869228	53428	
1055.58840	12-	10293524	48362	
1056.50412	12-	13038425	51262	
1057.83848	1-	8115757	56479	
1057.91932	12-	8738778	55910	
1059.59220	12-	6337194	45489	
1064.51105	12-	3436909	51593	
1069.17109	1-	7524297	60377	
1070.65058	12-	4244377	63262	
1070.68498	12-	132897992	52430	
1071.76843	4-	3329335	48008	
1072.51690	12-	37113308	53022	
1073.93194	12-	19468300	50120	
1074.35126	12-	4102121	54792	
1075.60681	12-	21508034	53121	
1076.52238	12-	2702118	49423	
1077.44035	12-	5192714	51754	
1091.61835	12-	12315592	45581	
1093.45198	12-	3425528	57454	
1099.71013	2-	4978696	61716	
1109.17863	1-	7278652	59212	
1145.27621	11-	136752784	48888	
1145.60626	1-	5819679	87388	
1147.27411	11-	42798984	48768	
1148.81734	11-	22773522	48154	
1149.36316	11-	4182439	47921	
1150.59146	11-	2764567	72230	
1150.64550	11-	75047552	48561	
1151.64232	11-	3844624	40340	
1152.64530	11-	23847294	48796	
1154.18764	11-	13130548	47388	
1155.00560	1-	6623491	49822	
1156.01300	11-	18625186	49499	
1157.91746	11-	4835969	54498	
1159.46572	11-	2677166	47898	
1161.58807	4-	3776534	45604	
1168.11363	11-	50684096	46539	
1170.11187	11-	12881836	46266	
1171.65656	11-	9393451	50410	
1172.11457	11-	3173646	44506	
1173.48338	11-	25620946	48079	
1175.48187	11-	8977203	44520	
1176.93715	11-	4700125	44442	
1178.85033	11-	7500280	43734	
1190.95120	11-	5427652	45503	
1220.22815	1-	10769501	46573	
1237.25831	1-	6718943	52589	
1259.84658	5-	4266338	82591	
1259.90760	10-	70676864	44770	
1261.92957	7-	2941633	49023	
1262.10753	10-	28032040	44507	
1263.50531	10-	3769363	43788	
1263.90614	10-	12986738	44141	
1265.71520	5-	3466869	45940	
1265.81606	10-	51610136	44632	
1268.01264	10-	18567962	43977	
