m/z 	z 	I 	fragment 
1594.89037	3	46510287	y15
1195.913534	4	90285365	y15
956.530055	5	43276224	y15
1678.62588	3	81005927	y15+CMCT
1709.898531	3	57065902	y16
1282.181222	4	431646186	y16
1025.539252	5	222688964	y16
1244.414618	4	58287676	y16-G
1793.64046	3	54294916	y16+CMCT
1344.979576	4	168692955	y16+CMCT
1075.782251	5	81694382	y16+CMCT
1743.297138	3	27268341	y16+CMCT-G
1358.43399	4	78107055	y17
1086.551308	5	135823974	y17
905.290818	6	9798379	y17
1895.32088	3	12806565	y17+CMCT
1421.235464	4	87762016	y17+CMCT
1136.788009	5	72740107	y17+CMCT
1844.965342	3	29003594	y17+CMCT-G
1440.695029	4	113431941	y18
1152.35993	5	90886746	y18
960.131178	6	50746876	y18
1503.504587	4	135822933	y18+CMCT
1202.601439	5	140204450	y18+CMCT
1123.484914	6	54939920	y21
1748.525915	4	77495034	y21+CMCT
1398.622221	5	170535465	y21+CMCT
1165.354411	6	349792157	y21+CMCT
1414.191722	5	65162789	y22
1178.330301	6	104978357	y22
1009.851365	7	33226874.1	y22
1464.432696	5	417486748	y22+CMCT
1220.191702	6	674005386	y22+CMCT
1045.73887	7	64766356	y22+CMCT
1437.42075	5	31047039	y22+CMCT-A
1229.170202	6	66334680	y23
1053.429399	7	51411634	y23
1525.446985	5	279042973	y23+CMCT
1271.0354	6	183695588	y23+CMCT
1089.31366	7	176486323	y23+CMCT
1280.173254	6	147273078	y24
1586.652351	5	64748270	y24+CMCT
1322.037476	6	103519411	y24+CMCT
1133.033903	7	147160495	y24+CMCT
1337.68041	6	63289275	y25
1146.439293	7	155434158	y25
1655.664472	5	107321174	y25+CMCT
1379.544836	6	387803331	y25+CMCT
1182.322644	7	1071512957	y25+CMCT
1357.046301	6	26122656	y25+CMCT-A
1163.031394	7	111467500	y25+CMCT-A
1160.744453	7	55333703	y25+CMCT-G
1430.390601	6	73976053	y26+CMCT
1225.905067	7	211481481	y26+CMCT
1206.608527	7	30572616	y26+CMCT-A
1487.889893	6	674273443	y27+CMCT
1275.19253	7	1329744842	y27+CMCT
1465.38115	6	33200720	y27+CMCT-A
1462.717964	6	75965444	y27+CMCT-G
1253.617565	7	38316699	y27+CMCT-G
1542.733586	6	28190562	y28+CMCT
1322.198904	7	483488958	y28+CMCT
1156.800385	8	35032201	y28+CMCT
1824.474038	5	24260411	y28+CMCT-A
1302.905816	7	29750331	y28+CMCT-A
1821.279095	5	35446552	y28+CMCT-G
1300.624735	7	55068087	y28+CMCT-G
1365.78149	7	376403001	y29+CMCT
1346.487888	7	27214472	y29+CMCT-A
1651.085464	6	22945988	y30+CMCT
1415.068987	7	485082913	y30+CMCT
1238.063991	8	318685219	y30+CMCT
1395.774262	7	50264608	y30+CMCT-A
1458.646762	7	165152021	y31+CMCT
1276.191916	8	72428614	y31+CMCT
1439.350325	7	43937495	y31+CMCT-A
1507.938963	7	150918010	y32+CMCT
1319.321956	8	411846239	y32+CMCT
1362.454229	8	725173951	y33+CMCT
1345.571299	8	89039747	y33+CMCT-A
1343.576752	8	59912771	y33+CMCT-G
1405.588282	8	780002186	y34+CMCT
1388.707383	8	125884380	y34+CMCT-A
1386.707894	8	118372248	y34+CMCT-G
1443.837775	8	407509510	y35+CMCT
1630.951936	7	25149515	y35+CMCT-A
1424.956968	8	35109030	y35+CMCT-G
1317.193494	9	199514617	y36+CMCT
1351.198304	9	218412065	y37+CMCT
1389.536262	9	696097619	y38+CMCT
1767.528096	7	21329256	y38+CMCT-A
1374.529454	9	67596008	y38+CMCT-A
1372.750182	9	91842475	y38+CMCT-G
