m/z 	z 	I 	fragment 
1793.631165	3	52194230	y16+CMCT
1344.98013	4	116072352	y16+CMCT
1075.780961	5	46233861	y16+CMCT
1311.218534	4	22639448	y16+CMCT-A
1358.43534	4	130065012	y17
1086.550151	5	112330849	y17
905.29018	6	9010442	y17
1421.237458	4	56016405	y17+CMCT
1136.789348	5	47402251	y17+CMCT
1440.697589	4	88246185	y18
1152.360733	5	89528833	y18
960.130526	6	58487981	y18
1125.347762	5	15102839	y18-A
1503.500379	4	90258756	y18+CMCT
1202.600458	5	88743796	y18+CMCT
1123.485773	6	40424454	y21
1748.52915	4	70631840	y21+CMCT
1398.620473	5	153368226	y21+CMCT
1165.354294	6	259575161	y21+CMCT
1414.19573	5	22432232	y22
1178.32705	6	86638801	y22
1009.85201	7	11117885	y22
1830.797921	4	37477855	y22+CMCT
1464.432853	5	311403614	y22+CMCT
1220.19284	6	499399869	y22+CMCT
1195.020225	6	24897992	y22+CMCT-G
1475.201449	5	25164955	y23
1053.429584	7	45157416	y23
1525.445945	5	229688114	y23+CMCT
1271.034029	6	163956946	y23+CMCT
1089.312456	7	156881039	y23+CMCT
1280.174992	6	18933317	y24
1586.657434	5	39917784	y24+CMCT
1322.040417	6	80905953	y24+CMCT
1133.034491	7	136690093	y24+CMCT
1113.735849	7	28672653	y24+CMCT-A
1337.677917	6	50638436	y25
1146.437418	7	114663447	y25
1655.65716	5	105405469	y25+CMCT
1379.545463	6	328182874	y25+CMCT
1182.322484	7	936120383	y25+CMCT
1357.032838	6	34923552	y25+CMCT-A
1163.032664	7	88567179	y25+CMCT-A
1160.745904	7	76688608	y25+CMCT-G
1430.393473	6	32549698	y26+CMCT
1225.902813	7	189522970	y26+CMCT
1487.890155	6	590010878	y27+CMCT
1275.192934	7	999316505	y27+CMCT
1465.38427	6	24517354	y27+CMCT-A
1462.715542	6	65812405	y27+CMCT-G
1253.616032	7	46753418	y27+CMCT-G
1542.734027	6	20470481	y28+CMCT
1322.198754	7	404263299	y28+CMCT
1302.904748	7	24619892	y28+CMCT-A
1300.623908	7	30038249	y28+CMCT-G
1365.781805	7	310516199	y29+CMCT
1194.926729	8	56520406	y29+CMCT
1415.068072	7	400984575	y30+CMCT
1238.063044	8	271398896	y30+CMCT
1395.782491	7	32755780	y30+CMCT-A
1393.496037	7	36254447	y30+CMCT-G
1458.645073	7	125704267	y31+CMCT
1276.193099	8	188305080	y31+CMCT
1759.430003	6	31488950	y32+CMCT
1507.936843	7	123565162	y32+CMCT
1319.319913	8	391574207	y32+CMCT
1302.437299	8	37596808	y32+CMCT-A
1557.231932	7	25379963	y33+CMCT
1362.455213	8	608216991	y33+CMCT
1345.571574	8	108985020	y33+CMCT-A
1343.567733	8	16440836	y33+CMCT-G
1405.586326	8	673799867	y34+CMCT
1388.704849	8	56841887	y34+CMCT-A
1386.703912	8	91255541	y34+CMCT-G
1650.250765	7	20967918	y35+CMCT
1443.835809	8	331406251	y35+CMCT
1283.301488	9	2510751733	y35+CMCT
1268.29559	9	207794366	y35+CMCT-A
1424.955016	8	40164449	y35+CMCT-G
1266.51824	9	158481052	y35+CMCT-G
1317.192913	9	154450418	y36+CMCT
1951.119806	6	28083672	y36+CMCT-G
1351.196105	9	157351229	y37+CMCT
1389.534474	9	590773050	y38+CMCT
1374.524752	9	111255663	y38+CMCT-A
1372.751479	9	38046910	y38+CMCT-G
